246010, 3648, 1802, 888, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
246045, 3446, 2089, 712, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
246079, 3434, 2127, 689, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
246114, 3475, 2042, 661, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
246149, 3401, 2322, 678, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
246183, 3411, 2244, 629, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
246218, 3386, 2314, 651, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
246252, 3418, 2245, 632, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
246287, 3422, 2246, 699, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
246322, 3422, 2275, 715, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
246356, 3381, 2287, 659, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
246391, 3377, 2274, 692, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
246426, 3362, 2297, 673, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
246468, 3351, 2289, 652, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
246511, 3335, 2347, 619, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
246554, 3338, 2354, 647, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
246597, 3343, 2328, 615, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
246639, 3362, 2308, 622, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
246682, 3369, 2329, 606, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
246725, 3331, 2366, 614, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
246768, 3343, 2334, 609, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
246810, 3351, 2310, 601, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
246853, 3353, 2308, 592, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
246896, 3318, 2330, 610, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
246939, 3315, 2364, 615, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
246982, 3328, 2388, 643, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
247016, 3268, 2454, 632, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
247051, 3218, 2543, 617, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
247085, 3279, 2443, 638, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
247120, 3185, 2499, 627, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
247154, 3265, 2475, 670, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
247189, 3232, 2467, 701, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
247223, 3226, 2495, 772, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
247258, 3253, 2417, 747, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
247292, 3170, 2462, 763, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
247327, 3229, 2449, 745, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
247361, 3224, 2472, 735, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
247396, 3205, 2501, 705, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
247431, 3199, 2528, 686, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
247469, 3194, 2534, 680, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
247507, 3210, 2529, 685, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
247545, 3182, 2566, 681, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
247583, 3220, 2491, 690, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
247622, 3207, 2517, 713, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
247660, 3173, 2521, 717, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
247698, 3197, 2508, 718, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
247736, 3176, 2530, 719, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
247775, 3194, 2521, 713, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
247813, 3203, 2556, 718, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
247851, 3198, 2529, 701, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
247889, 3196, 2525, 718, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
247928, 3202, 2554, 742, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
247968, 3200, 2527, 717, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
248008, 3197, 2514, 728, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
248048, 3181, 2519, 725, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
248089, 3197, 2514, 718, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
248129, 3196, 2535, 702, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
248169, 3207, 2536, 701, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
