150086, 3024, 1934, 2122, 84, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
150122, 2981, 1945, 2148, 84, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
150157, 2986, 1901, 2118, 84, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
150193, 2982, 1957, 2147, 84, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
150228, 2956, 1950, 2144, 84, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
150264, 3019, 1908, 2125, 84, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
150299, 2976, 1948, 2122, 84, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
150335, 3024, 1861, 2119, 84, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
150370, 3049, 1864, 2090, 84, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
150406, 3046, 1896, 2115, 84, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
150446, 3068, 1893, 2104, 84, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
150487, 3049, 1890, 2113, 84, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
150528, 3070, 1884, 2089, 84, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
150568, 3078, 1900, 2057, 84, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
150609, 3080, 1861, 2079, 84, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
150650, 3064, 1863, 2047, 84, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
150690, 3064, 1852, 2069, 84, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
150731, 3083, 1863, 2047, 84, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
150772, 3064, 1911, 2052, 84, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
150813, 3065, 1889, 2079, 84, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
150853, 3041, 1907, 2076, 84, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
150894, 3065, 1863, 2082, 84, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
150934, 3111, 1850, 2070, 84, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
150975, 3085, 1866, 2036, 84, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
151016, 3048, 1894, 2059, 84, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
151056, 3059, 1917, 2066, 84, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
151097, 3061, 1913, 2059, 84, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
151137, 3052, 1915, 2064, 84, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
151178, 3056, 1897, 2039, 84, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
151219, 3046, 1889, 2062, 84, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
151254, 3080, 1873, 2067, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
151290, 3053, 1883, 2061, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
151326, 3097, 1888, 2068, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
151362, 3097, 1867, 2077, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
151398, 3077, 1869, 2066, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
151433, 3061, 1863, 2093, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
151469, 3073, 1854, 2057, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
151505, 3079, 1861, 2047, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
151541, 3091, 1899, 2051, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
151577, 3095, 1903, 2037, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
151613, 3096, 1913, 2040, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
151657, 3070, 1883, 2019, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
151701, 3069, 1892, 2037, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
151746, 3065, 1903, 2031, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
151790, 3069, 1905, 2033, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
151835, 3084, 1910, 2058, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
151879, 3078, 1923, 2054, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
151923, 3089, 1899, 2027, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
151968, 3084, 1911, 2016, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
152012, 3052, 1926, 2031, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
152057, 3083, 1866, 2029, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
152087, 3062, 1963, 2038, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
152118, 3079, 1935, 2030, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
152149, 3045, 1921, 2030, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
152180, 3076, 1930, 2021, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
152211, 3060, 1950, 2032, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
152241, 3048, 1963, 2028, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
152272, 3028, 1961, 2026, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
152303, 3044, 1986, 2032, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
152334, 3032, 1972, 2026, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
152365, 3052, 1975, 2050, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
152396, 3030, 1986, 2018, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
