223131, 3479, 1624, 1611, 75, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
223171, 3510, 1606, 1607, 75, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
223212, 3476, 1572, 1620, 75, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
223252, 3466, 1588, 1623, 75, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
223293, 3486, 1590, 1610, 75, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
223338, 3469, 1566, 1626, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
223384, 3489, 1573, 1632, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
223430, 3460, 1548, 1612, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
223475, 3472, 1579, 1605, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
223521, 3518, 1590, 1607, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
223567, 3407, 1508, 1627, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
223613, 3461, 1591, 1581, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
223658, 3493, 1601, 1590, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
223704, 3482, 1614, 1589, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
223750, 3480, 1602, 1590, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
223796, 3472, 1587, 1582, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
223825, 3494, 1584, 1590, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
223855, 3465, 1575, 1585, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
223884, 3492, 1620, 1595, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
223914, 3473, 1604, 1562, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
223943, 3468, 1586, 1575, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
223973, 3483, 1601, 1583, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
224002, 3478, 1593, 1589, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
224032, 3492, 1592, 1599, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
224061, 3462, 1605, 1577, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
224091, 3493, 1588, 1579, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
224131, 3483, 1619, 1594, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
224171, 3608, 1725, 1608, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
224211, 3471, 1620, 1574, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
224252, 3499, 1592, 1576, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
224292, 3484, 1593, 1582, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
224332, 3487, 1615, 1581, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
224373, 3491, 1599, 1580, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
224413, 3472, 1608, 1580, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
224453, 3488, 1586, 1573, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
224494, 3467, 1604, 1584, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
224537, 3487, 1604, 1563, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
224581, 3477, 1607, 1574, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
224624, 3486, 1600, 1590, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
224668, 3463, 1601, 1572, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
224711, 3492, 1604, 1576, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
224755, 3473, 1598, 1581, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
224798, 3491, 1610, 1566, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
224842, 3478, 1608, 1571, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
224885, 3472, 1570, 1580, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
224929, 3494, 1594, 1585, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
224973, 3491, 1599, 1569, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
225006, 3482, 1613, 1571, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
225039, 3508, 1592, 1586, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
225072, 3487, 1600, 1566, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
225105, 3490, 1603, 1576, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
225138, 3476, 1597, 1567, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
225171, 3493, 1594, 1566, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
225204, 3505, 1605, 1562, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
225237, 3479, 1597, 1569, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
225270, 3505, 1589, 1576, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
225304, 3517, 1574, 1582, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
225340, 3495, 1604, 1583, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
225377, 3491, 1586, 1568, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
225414, 3472, 1601, 1577, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
225450, 3479, 1584, 1574, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
225487, 3482, 1593, 1581, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
225524, 3497, 1587, 1581, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
225561, 3486, 1594, 1573, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
225597, 3480, 1599, 1559, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
225634, 3499, 1579, 1580, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
225671, 3484, 1575, 1563, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
225708, 3513, 1572, 1558, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
225747, 3511, 1596, 1585, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
225787, 3497, 1570, 1558, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
225826, 3506, 1581, 1581, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
225866, 3506, 1583, 1594, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
225906, 3496, 1605, 1580, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
225945, 3587, 1639, 1568, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
225985, 3474, 1583, 1570, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
226024, 3500, 1592, 1566, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
226064, 3480, 1594, 1548, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
226104, 3497, 1572, 1565, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
226143, 3506, 1568, 1560, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
226183, 3496, 1585, 1586, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
226223, 3489, 1589, 1581, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
226263, 3505, 1581, 1574, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
226303, 3496, 1573, 1558, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
226342, 3490, 1572, 1567, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
226382, 3501, 1578, 1569, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
226422, 3482, 1576, 1575, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
226462, 3495, 1599, 1563, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
226502, 3480, 1567, 1558, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
226537, 3471, 1584, 1578, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
226573, 3487, 1588, 1559, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
226608, 3487, 1595, 1555, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
