544638, 3359, 1467, 1929, 78, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
544674, 3392, 1497, 1931, 78, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
544711, 3394, 1464, 1919, 78, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
544747, 3409, 1406, 1905, 78, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
544783, 3385, 1463, 1886, 78, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
544819, 3417, 1510, 1882, 78, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
544855, 3416, 1476, 1882, 78, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
544892, 3422, 1443, 1832, 78, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
544929, 3410, 1490, 1838, 78, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
544966, 3414, 1499, 1916, 78, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
545004, 3430, 1432, 1884, 78, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
545041, 3399, 1429, 1903, 78, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
545079, 3406, 1383, 1907, 78, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
545116, 3384, 1421, 1904, 78, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
545154, 3405, 1428, 1925, 78, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
545191, 3409, 1466, 1908, 78, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
545229, 3394, 1422, 1902, 78, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
545266, 3437, 1446, 1869, 78, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
545304, 3409, 1412, 1846, 78, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
545345, 3401, 1441, 1868, 77, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
545387, 3397, 1470, 1892, 77, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
545429, 3411, 1447, 1893, 77, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
545471, 3397, 1503, 1886, 77, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
545513, 3399, 1458, 1881, 77, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
545554, 3401, 1461, 1881, 77, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
545596, 3413, 1459, 1872, 77, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
545638, 3414, 1433, 1893, 77, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
545680, 3396, 1456, 1837, 77, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
545722, 3400, 1505, 1881, 77, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
545759, 3391, 1474, 1888, 77, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
545796, 3403, 1479, 1876, 77, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
545833, 3395, 1479, 1878, 77, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
545870, 3367, 1468, 1879, 77, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
545907, 3387, 1475, 1860, 77, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
545944, 3390, 1474, 1854, 77, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
545981, 3380, 1467, 1866, 77, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
546018, 3435, 1463, 1860, 77, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
546055, 3429, 1430, 1876, 77, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
546092, 3392, 1454, 1873, 77, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
546130, 3408, 1471, 1830, 73, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
546169, 3409, 1445, 1831, 73, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
546207, 3420, 1486, 1825, 73, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
546246, 3422, 1500, 1799, 73, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
546285, 3420, 1504, 1830, 73, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
546323, 3414, 1496, 1815, 73, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
546362, 3398, 1493, 1831, 73, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
546401, 3418, 1484, 1846, 73, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
546439, 3430, 1449, 1842, 73, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
546478, 3430, 1471, 1836, 73, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
