273312, 2910, 2541, 1481, 86, 65a10da7-4116-456b-ac44-25440d1410d6, , sujud, sujud, , 
273348, 2910, 2548, 1496, 86, 65a10da7-4116-456b-ac44-25440d1410d6, , sujud, sujud, , 
273384, 2873, 2564, 1496, 86, 65a10da7-4116-456b-ac44-25440d1410d6, , sujud, sujud, , 
273420, 2899, 2567, 1512, 86, 65a10da7-4116-456b-ac44-25440d1410d6, , sujud, sujud, , 
273456, 2931, 2521, 1517, 86, 65a10da7-4116-456b-ac44-25440d1410d6, , sujud, sujud, , 
273492, 2925, 2548, 1477, 86, 65a10da7-4116-456b-ac44-25440d1410d6, , sujud, sujud, , 
273528, 2954, 2511, 1474, 86, 65a10da7-4116-456b-ac44-25440d1410d6, , sujud, sujud, , 
273564, 2968, 2531, 1420, 86, 65a10da7-4116-456b-ac44-25440d1410d6, , sujud, sujud, , 
273607, 2966, 2493, 1448, 86, 65a10da7-4116-456b-ac44-25440d1410d6, , sujud, sujud, , 
273651, 2988, 2503, 1435, 86, 65a10da7-4116-456b-ac44-25440d1410d6, , sujud, sujud, , 
273695, 2960, 2499, 1396, 86, 65a10da7-4116-456b-ac44-25440d1410d6, , sujud, sujud, , 
273739, 2989, 2502, 1379, 86, 65a10da7-4116-456b-ac44-25440d1410d6, , sujud, sujud, , 
273783, 2980, 2517, 1371, 86, 65a10da7-4116-456b-ac44-25440d1410d6, , sujud, sujud, , 
273826, 3009, 2496, 1359, 86, 65a10da7-4116-456b-ac44-25440d1410d6, , sujud, sujud, , 
273870, 3022, 2505, 1339, 86, 65a10da7-4116-456b-ac44-25440d1410d6, , sujud, sujud, , 
273914, 3030, 2485, 1337, 86, 65a10da7-4116-456b-ac44-25440d1410d6, , sujud, sujud, , 
273958, 3045, 2510, 1305, 86, 65a10da7-4116-456b-ac44-25440d1410d6, , sujud, sujud, , 
274002, 3021, 2504, 1320, 86, 65a10da7-4116-456b-ac44-25440d1410d6, , sujud, sujud, , 
274038, 3048, 2469, 1318, 86, 65a10da7-4116-456b-ac44-25440d1410d6, , sujud, sujud, , 
274075, 3043, 2495, 1315, 86, 65a10da7-4116-456b-ac44-25440d1410d6, , sujud, sujud, , 
274111, 3015, 2513, 1323, 86, 65a10da7-4116-456b-ac44-25440d1410d6, , sujud, sujud, , 
274148, 2989, 2526, 1346, 86, 65a10da7-4116-456b-ac44-25440d1410d6, , sujud, sujud, , 
274185, 3008, 2492, 1365, 86, 65a10da7-4116-456b-ac44-25440d1410d6, , sujud, sujud, , 
274221, 2985, 2498, 1392, 86, 65a10da7-4116-456b-ac44-25440d1410d6, , sujud, sujud, , 
274258, 3018, 2509, 1375, 86, 65a10da7-4116-456b-ac44-25440d1410d6, , sujud, sujud, , 
274294, 2985, 2519, 1369, 86, 65a10da7-4116-456b-ac44-25440d1410d6, , sujud, sujud, , 
274331, 3002, 2520, 1354, 86, 65a10da7-4116-456b-ac44-25440d1410d6, , sujud, sujud, , 
274368, 2996, 2510, 1342, 86, 65a10da7-4116-456b-ac44-25440d1410d6, , sujud, sujud, , 
274402, 2997, 2497, 1348, 86, 65a10da7-4116-456b-ac44-25440d1410d6, , sujud, sujud, , 
274437, 2993, 2537, 1353, 86, 65a10da7-4116-456b-ac44-25440d1410d6, , sujud, sujud, , 
274472, 3010, 2519, 1345, 86, 65a10da7-4116-456b-ac44-25440d1410d6, , sujud, sujud, , 
274507, 3006, 2501, 1344, 86, 65a10da7-4116-456b-ac44-25440d1410d6, , sujud, sujud, , 
274542, 2988, 2508, 1359, 86, 65a10da7-4116-456b-ac44-25440d1410d6, , sujud, sujud, , 
274576, 2986, 2503, 1356, 86, 65a10da7-4116-456b-ac44-25440d1410d6, , sujud, sujud, , 
274611, 2987, 2522, 1374, 86, 65a10da7-4116-456b-ac44-25440d1410d6, , sujud, sujud, , 
274646, 2999, 2522, 1393, 86, 65a10da7-4116-456b-ac44-25440d1410d6, , sujud, sujud, , 
274681, 2981, 2542, 1364, 86, 65a10da7-4116-456b-ac44-25440d1410d6, , sujud, sujud, , 
274716, 2974, 2536, 1365, 86, 65a10da7-4116-456b-ac44-25440d1410d6, , sujud, sujud, , 
274751, 2988, 2524, 1347, 86, 65a10da7-4116-456b-ac44-25440d1410d6, , sujud, sujud, , 
274790, 2985, 2548, 1358, 86, 65a10da7-4116-456b-ac44-25440d1410d6, , sujud, sujud, , 
274830, 2984, 2532, 1355, 86, 65a10da7-4116-456b-ac44-25440d1410d6, , sujud, sujud, , 
274870, 2986, 2527, 1346, 86, 65a10da7-4116-456b-ac44-25440d1410d6, , sujud, sujud, , 
274910, 2997, 2544, 1366, 86, 65a10da7-4116-456b-ac44-25440d1410d6, , sujud, sujud, , 
274950, 2998, 2524, 1358, 86, 65a10da7-4116-456b-ac44-25440d1410d6, , sujud, sujud, , 
274989, 2980, 2521, 1358, 86, 65a10da7-4116-456b-ac44-25440d1410d6, , sujud, sujud, , 
275029, 2975, 2551, 1342, 86, 65a10da7-4116-456b-ac44-25440d1410d6, , sujud, sujud, , 
275069, 2977, 2544, 1360, 86, 65a10da7-4116-456b-ac44-25440d1410d6, , sujud, sujud, , 
275109, 2975, 2526, 1357, 86, 65a10da7-4116-456b-ac44-25440d1410d6, , sujud, sujud, , 
275149, 2982, 2555, 1369, 86, 65a10da7-4116-456b-ac44-25440d1410d6, , sujud, sujud, , 
275185, 2988, 2533, 1360, 86, 65a10da7-4116-456b-ac44-25440d1410d6, , sujud, sujud, , 
275222, 2987, 2542, 1362, 86, 65a10da7-4116-456b-ac44-25440d1410d6, , sujud, sujud, , 
275259, 2963, 2558, 1362, 86, 65a10da7-4116-456b-ac44-25440d1410d6, , sujud, sujud, , 
275295, 2958, 2559, 1365, 86, 65a10da7-4116-456b-ac44-25440d1410d6, , sujud, sujud, , 
