128877, 3785, 1080, 1318, 98, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
128917, 3778, 1096, 1319, 98, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
128958, 3768, 1047, 1307, 98, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
128998, 3774, 1094, 1305, 98, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
129039, 3795, 1080, 1317, 98, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
129072, 3780, 1064, 1282, 98, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
129105, 3801, 1084, 1311, 98, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
129139, 3797, 1058, 1273, 98, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
129172, 3793, 1056, 1319, 98, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
129206, 3798, 1081, 1328, 98, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
129239, 3804, 1068, 1320, 98, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
129273, 3804, 1027, 1322, 98, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
129306, 3807, 1045, 1318, 98, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
129340, 3824, 1038, 1281, 98, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
129373, 3829, 1051, 1306, 98, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
129407, 3806, 1034, 1256, 98, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
129448, 3820, 1042, 1224, 98, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
129490, 3817, 1031, 1264, 98, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
129531, 3815, 1062, 1256, 98, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
129573, 3852, 1007, 1250, 98, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
129615, 3805, 1029, 1268, 98, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
129656, 3815, 1019, 1255, 98, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
129698, 3808, 1057, 1281, 98, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
129739, 3815, 1021, 1256, 98, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
129781, 3833, 1069, 1262, 98, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
129823, 3817, 1037, 1263, 98, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
129864, 3822, 1041, 1262, 100, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
129906, 3828, 1033, 1271, 100, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
129947, 3813, 1044, 1254, 100, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
129989, 3806, 1048, 1256, 100, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
130031, 3819, 1035, 1263, 100, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
130072, 3805, 1051, 1238, 100, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
130114, 3800, 1046, 1252, 100, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
130156, 3819, 1053, 1265, 100, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
130197, 3814, 1064, 1277, 100, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
130239, 3804, 1033, 1250, 100, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
130281, 3809, 1059, 1264, 100, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
130316, 3813, 1042, 1272, 100, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
130351, 3797, 1044, 1284, 100, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
130386, 3830, 1065, 1266, 100, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
130421, 3816, 1053, 1258, 100, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
130456, 3809, 1050, 1252, 100, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
130491, 3814, 1067, 1255, 100, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
130526, 3817, 1040, 1245, 100, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
130561, 3826, 1048, 1243, 100, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
130596, 3854, 1041, 1217, 100, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
130631, 3817, 1065, 1187, 100, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
130671, 3829, 1095, 1191, 100, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
130711, 3832, 1088, 1204, 100, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
