231328, 2625, 2578, 1874, 94, cc58c152-d701-4573-9382-5705a4634143, , sujud, sujud, , 
231367, 2654, 2586, 1876, 94, cc58c152-d701-4573-9382-5705a4634143, , sujud, sujud, , 
231406, 2673, 2569, 1854, 94, cc58c152-d701-4573-9382-5705a4634143, , sujud, sujud, , 
231445, 2693, 2572, 1820, 94, cc58c152-d701-4573-9382-5705a4634143, , sujud, sujud, , 
231483, 2703, 2570, 1797, 94, cc58c152-d701-4573-9382-5705a4634143, , sujud, sujud, , 
231522, 2683, 2564, 1777, 94, cc58c152-d701-4573-9382-5705a4634143, , sujud, sujud, , 
231561, 2695, 2584, 1761, 94, cc58c152-d701-4573-9382-5705a4634143, , sujud, sujud, , 
231600, 2710, 2579, 1733, 94, cc58c152-d701-4573-9382-5705a4634143, , sujud, sujud, , 
231636, 2731, 2614, 1713, 94, cc58c152-d701-4573-9382-5705a4634143, , sujud, sujud, , 
231673, 2740, 2599, 1694, 94, cc58c152-d701-4573-9382-5705a4634143, , sujud, sujud, , 
231710, 2724, 2599, 1702, 94, cc58c152-d701-4573-9382-5705a4634143, , sujud, sujud, , 
231747, 2721, 2619, 1678, 94, cc58c152-d701-4573-9382-5705a4634143, , sujud, sujud, , 
231784, 2763, 2616, 1677, 94, cc58c152-d701-4573-9382-5705a4634143, , sujud, sujud, , 
231821, 2738, 2617, 1657, 94, cc58c152-d701-4573-9382-5705a4634143, , sujud, sujud, , 
231858, 2759, 2599, 1666, 94, cc58c152-d701-4573-9382-5705a4634143, , sujud, sujud, , 
231895, 2761, 2604, 1653, 94, cc58c152-d701-4573-9382-5705a4634143, , sujud, sujud, , 
231932, 2756, 2580, 1642, 94, cc58c152-d701-4573-9382-5705a4634143, , sujud, sujud, , 
231969, 2751, 2609, 1645, 94, cc58c152-d701-4573-9382-5705a4634143, , sujud, sujud, , 
232005, 2761, 2624, 1651, 94, cc58c152-d701-4573-9382-5705a4634143, , sujud, sujud, , 
232042, 2762, 2621, 1618, 94, cc58c152-d701-4573-9382-5705a4634143, , sujud, sujud, , 
232079, 2763, 2623, 1635, 94, cc58c152-d701-4573-9382-5705a4634143, , sujud, sujud, , 
232116, 2760, 2628, 1624, 94, cc58c152-d701-4573-9382-5705a4634143, , sujud, sujud, , 
232153, 2742, 2645, 1639, 94, cc58c152-d701-4573-9382-5705a4634143, , sujud, sujud, , 
232190, 2741, 2624, 1642, 94, cc58c152-d701-4573-9382-5705a4634143, , sujud, sujud, , 
232227, 2752, 2589, 1649, 94, cc58c152-d701-4573-9382-5705a4634143, , sujud, sujud, , 
232264, 2741, 2627, 1653, 94, cc58c152-d701-4573-9382-5705a4634143, , sujud, sujud, , 
232301, 2738, 2604, 1661, 94, cc58c152-d701-4573-9382-5705a4634143, , sujud, sujud, , 
232338, 2729, 2628, 1666, 94, cc58c152-d701-4573-9382-5705a4634143, , sujud, sujud, , 
232375, 2739, 2623, 1639, 94, cc58c152-d701-4573-9382-5705a4634143, , sujud, sujud, , 
232414, 2739, 2623, 1639, 94, cc58c152-d701-4573-9382-5705a4634143, , sujud, sujud, , 
232453, 2755, 2629, 1619, 94, cc58c152-d701-4573-9382-5705a4634143, , sujud, sujud, , 
232493, 2775, 2601, 1619, 94, cc58c152-d701-4573-9382-5705a4634143, , sujud, sujud, , 
232532, 2754, 2622, 1633, 94, cc58c152-d701-4573-9382-5705a4634143, , sujud, sujud, , 
232572, 2742, 2624, 1621, 94, cc58c152-d701-4573-9382-5705a4634143, , sujud, sujud, , 
232611, 2765, 2610, 1629, 94, cc58c152-d701-4573-9382-5705a4634143, , sujud, sujud, , 
232650, 2760, 2612, 1622, 94, cc58c152-d701-4573-9382-5705a4634143, , sujud, sujud, , 
232690, 2780, 2608, 1640, 94, cc58c152-d701-4573-9382-5705a4634143, , sujud, sujud, , 
232729, 2770, 2646, 1627, 94, cc58c152-d701-4573-9382-5705a4634143, , sujud, sujud, , 
232769, 2741, 2615, 1642, 94, cc58c152-d701-4573-9382-5705a4634143, , sujud, sujud, , 
232809, 2758, 2637, 1643, 93, cc58c152-d701-4573-9382-5705a4634143, , sujud, sujud, , 
232849, 2767, 2628, 1637, 93, cc58c152-d701-4573-9382-5705a4634143, , sujud, sujud, , 
232889, 2767, 2638, 1617, 93, cc58c152-d701-4573-9382-5705a4634143, , sujud, sujud, , 
232929, 2752, 2616, 1610, 93, cc58c152-d701-4573-9382-5705a4634143, , sujud, sujud, , 
232970, 2759, 2635, 1610, 93, cc58c152-d701-4573-9382-5705a4634143, , sujud, sujud, , 
233010, 2757, 2636, 1605, 93, cc58c152-d701-4573-9382-5705a4634143, , sujud, sujud, , 
233050, 2775, 2619, 1617, 93, cc58c152-d701-4573-9382-5705a4634143, , sujud, sujud, , 
233090, 2762, 2624, 1612, 93, cc58c152-d701-4573-9382-5705a4634143, , sujud, sujud, , 
233130, 2761, 2647, 1608, 93, cc58c152-d701-4573-9382-5705a4634143, , sujud, sujud, , 
233171, 2751, 2640, 1616, 93, cc58c152-d701-4573-9382-5705a4634143, , sujud, sujud, , 
233207, 2751, 2623, 1620, 93, cc58c152-d701-4573-9382-5705a4634143, , sujud, sujud, , 
233244, 2759, 2636, 1606, 93, cc58c152-d701-4573-9382-5705a4634143, , sujud, sujud, , 
233280, 2763, 2629, 1615, 93, cc58c152-d701-4573-9382-5705a4634143, , sujud, sujud, , 
233317, 2739, 2640, 1632, 93, cc58c152-d701-4573-9382-5705a4634143, , sujud, sujud, , 
233354, 2768, 2639, 1638, 93, cc58c152-d701-4573-9382-5705a4634143, , sujud, sujud, , 
233390, 2763, 2599, 1599, 93, cc58c152-d701-4573-9382-5705a4634143, , sujud, sujud, , 
233427, 2717, 2563, 1631, 93, cc58c152-d701-4573-9382-5705a4634143, , sujud, sujud, , 
233464, 2727, 2610, 1653, 93, cc58c152-d701-4573-9382-5705a4634143, , sujud, sujud, , 
233500, 2717, 2609, 1735, 93, cc58c152-d701-4573-9382-5705a4634143, , sujud, sujud, , 
