154876, 2756, 2611, 1625, 81, 39104313-4435-406d-9e3b-b12c1961b9ee, , sujud, sujud, , 
154916, 2752, 2627, 1620, 81, 39104313-4435-406d-9e3b-b12c1961b9ee, , sujud, sujud, , 
154956, 2780, 2598, 1589, 81, 39104313-4435-406d-9e3b-b12c1961b9ee, , sujud, sujud, , 
154995, 2752, 2644, 1593, 81, 39104313-4435-406d-9e3b-b12c1961b9ee, , sujud, sujud, , 
155035, 2764, 2649, 1573, 81, 39104313-4435-406d-9e3b-b12c1961b9ee, , sujud, sujud, , 
155074, 2753, 2667, 1576, 81, 39104313-4435-406d-9e3b-b12c1961b9ee, , sujud, sujud, , 
155114, 2748, 2678, 1570, 81, 39104313-4435-406d-9e3b-b12c1961b9ee, , sujud, sujud, , 
155154, 2764, 2677, 1569, 81, 39104313-4435-406d-9e3b-b12c1961b9ee, , sujud, sujud, , 
155191, 2758, 2662, 1573, 81, 39104313-4435-406d-9e3b-b12c1961b9ee, , sujud, sujud, , 
155229, 2760, 2675, 1557, 81, 39104313-4435-406d-9e3b-b12c1961b9ee, , sujud, sujud, , 
155266, 2723, 2681, 1561, 81, 39104313-4435-406d-9e3b-b12c1961b9ee, , sujud, sujud, , 
155304, 2748, 2670, 1583, 81, 39104313-4435-406d-9e3b-b12c1961b9ee, , sujud, sujud, , 
155342, 2732, 2670, 1560, 81, 39104313-4435-406d-9e3b-b12c1961b9ee, , sujud, sujud, , 
155379, 2754, 2646, 1569, 81, 39104313-4435-406d-9e3b-b12c1961b9ee, , sujud, sujud, , 
155417, 2764, 2676, 1579, 81, 39104313-4435-406d-9e3b-b12c1961b9ee, , sujud, sujud, , 
155455, 2760, 2654, 1551, 81, 39104313-4435-406d-9e3b-b12c1961b9ee, , sujud, sujud, , 
155492, 2746, 2658, 1572, 81, 39104313-4435-406d-9e3b-b12c1961b9ee, , sujud, sujud, , 
155530, 2738, 2688, 1576, 81, 39104313-4435-406d-9e3b-b12c1961b9ee, , sujud, sujud, , 
155568, 2739, 2649, 1584, 81, 39104313-4435-406d-9e3b-b12c1961b9ee, , sujud, sujud, , 
155610, 2749, 2657, 1557, 81, 39104313-4435-406d-9e3b-b12c1961b9ee, , sujud, sujud, , 
155652, 2759, 2650, 1570, 81, 39104313-4435-406d-9e3b-b12c1961b9ee, , sujud, sujud, , 
155694, 2754, 2677, 1571, 81, 39104313-4435-406d-9e3b-b12c1961b9ee, , sujud, sujud, , 
155736, 2764, 2686, 1561, 81, 39104313-4435-406d-9e3b-b12c1961b9ee, , sujud, sujud, , 
155778, 2751, 2677, 1549, 81, 39104313-4435-406d-9e3b-b12c1961b9ee, , sujud, sujud, , 
