67295, 3032, 2228, 1680, 63, 19748bbc-7dc7-4de0-bc94-8bdf3798f2c3, , sujud, sujud, , 
67335, 3076, 2248, 1650, 63, 19748bbc-7dc7-4de0-bc94-8bdf3798f2c3, , sujud, sujud, , 
67374, 3074, 2252, 1636, 63, 19748bbc-7dc7-4de0-bc94-8bdf3798f2c3, , sujud, sujud, , 
67414, 3055, 2270, 1630, 63, 19748bbc-7dc7-4de0-bc94-8bdf3798f2c3, , sujud, sujud, , 
67454, 3066, 2260, 1662, 63, 19748bbc-7dc7-4de0-bc94-8bdf3798f2c3, , sujud, sujud, , 
67493, 3054, 2267, 1644, 63, 19748bbc-7dc7-4de0-bc94-8bdf3798f2c3, , sujud, sujud, , 
67533, 3072, 2223, 1670, 63, 19748bbc-7dc7-4de0-bc94-8bdf3798f2c3, , sujud, sujud, , 
67573, 3055, 2230, 1656, 63, 19748bbc-7dc7-4de0-bc94-8bdf3798f2c3, , sujud, sujud, , 
67613, 3047, 2250, 1662, 63, 19748bbc-7dc7-4de0-bc94-8bdf3798f2c3, , sujud, sujud, , 
67649, 3072, 2218, 1638, 63, 19748bbc-7dc7-4de0-bc94-8bdf3798f2c3, , sujud, sujud, , 
67685, 3074, 2203, 1630, 63, 19748bbc-7dc7-4de0-bc94-8bdf3798f2c3, , sujud, sujud, , 
67722, 3084, 2251, 1617, 63, 19748bbc-7dc7-4de0-bc94-8bdf3798f2c3, , sujud, sujud, , 
67758, 3074, 2234, 1626, 63, 19748bbc-7dc7-4de0-bc94-8bdf3798f2c3, , sujud, sujud, , 
67794, 3096, 2265, 1611, 63, 19748bbc-7dc7-4de0-bc94-8bdf3798f2c3, , sujud, sujud, , 
67831, 3087, 2237, 1602, 63, 19748bbc-7dc7-4de0-bc94-8bdf3798f2c3, , sujud, sujud, , 
67867, 3074, 2262, 1614, 63, 19748bbc-7dc7-4de0-bc94-8bdf3798f2c3, , sujud, sujud, , 
67903, 3087, 2234, 1603, 63, 19748bbc-7dc7-4de0-bc94-8bdf3798f2c3, , sujud, sujud, , 
67940, 3096, 2253, 1609, 63, 19748bbc-7dc7-4de0-bc94-8bdf3798f2c3, , sujud, sujud, , 
67976, 3070, 2239, 1597, 63, 19748bbc-7dc7-4de0-bc94-8bdf3798f2c3, , sujud, sujud, , 
68013, 3080, 2236, 1626, 63, 19748bbc-7dc7-4de0-bc94-8bdf3798f2c3, , sujud, sujud, , 
68058, 3086, 2218, 1612, 63, 19748bbc-7dc7-4de0-bc94-8bdf3798f2c3, , sujud, sujud, , 
68104, 3084, 2212, 1619, 63, 19748bbc-7dc7-4de0-bc94-8bdf3798f2c3, , sujud, sujud, , 
68149, 3081, 2234, 1594, 63, 19748bbc-7dc7-4de0-bc94-8bdf3798f2c3, , sujud, sujud, , 
