67261, 2712, 2740, 1466, 49, beecc9f5-207c-405b-a8e3-a9d7e94a98bf, , sujud, sujud, , 
67297, 2789, 2678, 1453, 49, beecc9f5-207c-405b-a8e3-a9d7e94a98bf, , sujud, sujud, , 
67333, 2798, 2664, 1438, 49, beecc9f5-207c-405b-a8e3-a9d7e94a98bf, , sujud, sujud, , 
67369, 2789, 2708, 1376, 49, beecc9f5-207c-405b-a8e3-a9d7e94a98bf, , sujud, sujud, , 
67406, 2819, 2711, 1336, 49, beecc9f5-207c-405b-a8e3-a9d7e94a98bf, , sujud, sujud, , 
67442, 2831, 2702, 1320, 49, beecc9f5-207c-405b-a8e3-a9d7e94a98bf, , sujud, sujud, , 
67478, 2881, 2720, 1262, 49, beecc9f5-207c-405b-a8e3-a9d7e94a98bf, , sujud, sujud, , 
67515, 2847, 2733, 1240, 49, beecc9f5-207c-405b-a8e3-a9d7e94a98bf, , sujud, sujud, , 
67551, 2883, 2707, 1189, 49, beecc9f5-207c-405b-a8e3-a9d7e94a98bf, , sujud, sujud, , 
67587, 2891, 2737, 1173, 49, beecc9f5-207c-405b-a8e3-a9d7e94a98bf, , sujud, sujud, , 
67624, 2893, 2749, 1114, 49, beecc9f5-207c-405b-a8e3-a9d7e94a98bf, , sujud, sujud, , 
67662, 2926, 2704, 1090, 49, beecc9f5-207c-405b-a8e3-a9d7e94a98bf, , sujud, sujud, , 
67700, 2933, 2718, 1054, 49, beecc9f5-207c-405b-a8e3-a9d7e94a98bf, , sujud, sujud, , 
67738, 2912, 2736, 1019, 49, beecc9f5-207c-405b-a8e3-a9d7e94a98bf, , sujud, sujud, , 
67776, 2917, 2766, 1004, 49, beecc9f5-207c-405b-a8e3-a9d7e94a98bf, , sujud, sujud, , 
67814, 2927, 2729, 996, 49, beecc9f5-207c-405b-a8e3-a9d7e94a98bf, , sujud, sujud, , 
67852, 2945, 2743, 977, 49, beecc9f5-207c-405b-a8e3-a9d7e94a98bf, , sujud, sujud, , 
67890, 2927, 2767, 977, 49, beecc9f5-207c-405b-a8e3-a9d7e94a98bf, , sujud, sujud, , 
67928, 2936, 2750, 996, 49, beecc9f5-207c-405b-a8e3-a9d7e94a98bf, , sujud, sujud, , 
67966, 2947, 2724, 1007, 49, beecc9f5-207c-405b-a8e3-a9d7e94a98bf, , sujud, sujud, , 
68004, 2897, 2752, 995, 49, beecc9f5-207c-405b-a8e3-a9d7e94a98bf, , sujud, sujud, , 
68043, 2876, 2769, 1039, 49, beecc9f5-207c-405b-a8e3-a9d7e94a98bf, , sujud, sujud, , 
68082, 2901, 2767, 1035, 49, beecc9f5-207c-405b-a8e3-a9d7e94a98bf, , sujud, sujud, , 
68122, 2865, 2782, 1045, 49, beecc9f5-207c-405b-a8e3-a9d7e94a98bf, , sujud, sujud, , 
68162, 2906, 2758, 1057, 49, beecc9f5-207c-405b-a8e3-a9d7e94a98bf, , sujud, sujud, , 
68201, 2921, 2730, 1091, 49, beecc9f5-207c-405b-a8e3-a9d7e94a98bf, , sujud, sujud, , 
68241, 2895, 2713, 1106, 49, beecc9f5-207c-405b-a8e3-a9d7e94a98bf, , sujud, sujud, , 
68281, 2925, 2692, 1110, 49, beecc9f5-207c-405b-a8e3-a9d7e94a98bf, , sujud, sujud, , 
68320, 2900, 2698, 1094, 49, beecc9f5-207c-405b-a8e3-a9d7e94a98bf, , sujud, sujud, , 
68360, 2945, 2710, 1046, 49, beecc9f5-207c-405b-a8e3-a9d7e94a98bf, , sujud, sujud, , 
68400, 2918, 2733, 1055, 49, beecc9f5-207c-405b-a8e3-a9d7e94a98bf, , sujud, sujud, , 
68440, 2916, 2726, 1029, 49, beecc9f5-207c-405b-a8e3-a9d7e94a98bf, , sujud, sujud, , 
68474, 2933, 2745, 997, 49, beecc9f5-207c-405b-a8e3-a9d7e94a98bf, , sujud, sujud, , 
68509, 2927, 2748, 1007, 49, beecc9f5-207c-405b-a8e3-a9d7e94a98bf, , sujud, sujud, , 
68544, 2943, 2736, 995, 49, beecc9f5-207c-405b-a8e3-a9d7e94a98bf, , sujud, sujud, , 
68579, 2926, 2741, 1004, 49, beecc9f5-207c-405b-a8e3-a9d7e94a98bf, , sujud, sujud, , 
