121791, 3302, 2427, 582, 98, a5f9d287-b692-4114-97ce-4b2acc9000d1, , sujud, sujud, , 
121829, 3287, 2407, 591, 98, a5f9d287-b692-4114-97ce-4b2acc9000d1, , sujud, sujud, , 
121868, 3289, 2416, 644, 98, a5f9d287-b692-4114-97ce-4b2acc9000d1, , sujud, sujud, , 
121906, 3291, 2384, 676, 98, a5f9d287-b692-4114-97ce-4b2acc9000d1, , sujud, sujud, , 
121945, 3314, 2367, 643, 98, a5f9d287-b692-4114-97ce-4b2acc9000d1, , sujud, sujud, , 
121983, 3350, 2397, 650, 98, a5f9d287-b692-4114-97ce-4b2acc9000d1, , sujud, sujud, , 
122021, 3300, 2433, 620, 98, a5f9d287-b692-4114-97ce-4b2acc9000d1, , sujud, sujud, , 
122059, 3296, 2429, 610, 98, a5f9d287-b692-4114-97ce-4b2acc9000d1, , sujud, sujud, , 
122097, 3303, 2417, 591, 98, a5f9d287-b692-4114-97ce-4b2acc9000d1, , sujud, sujud, , 
122136, 3305, 2410, 589, 98, a5f9d287-b692-4114-97ce-4b2acc9000d1, , sujud, sujud, , 
122174, 3283, 2439, 603, 98, a5f9d287-b692-4114-97ce-4b2acc9000d1, , sujud, sujud, , 
122212, 3289, 2409, 560, 98, a5f9d287-b692-4114-97ce-4b2acc9000d1, , sujud, sujud, , 
122250, 3302, 2439, 603, 98, a5f9d287-b692-4114-97ce-4b2acc9000d1, , sujud, sujud, , 
122289, 3269, 2459, 609, 98, a5f9d287-b692-4114-97ce-4b2acc9000d1, , sujud, sujud, , 
122327, 3312, 2445, 631, 98, a5f9d287-b692-4114-97ce-4b2acc9000d1, , sujud, sujud, , 
122365, 3308, 2438, 627, 98, a5f9d287-b692-4114-97ce-4b2acc9000d1, , sujud, sujud, , 
122403, 3287, 2448, 620, 98, a5f9d287-b692-4114-97ce-4b2acc9000d1, , sujud, sujud, , 
122442, 3296, 2454, 633, 98, a5f9d287-b692-4114-97ce-4b2acc9000d1, , sujud, sujud, , 
122479, 3279, 2430, 610, 98, a5f9d287-b692-4114-97ce-4b2acc9000d1, , sujud, sujud, , 
122517, 3308, 2379, 612, 98, a5f9d287-b692-4114-97ce-4b2acc9000d1, , sujud, sujud, , 
122555, 3286, 2420, 615, 98, a5f9d287-b692-4114-97ce-4b2acc9000d1, , sujud, sujud, , 
122593, 3315, 2422, 600, 98, a5f9d287-b692-4114-97ce-4b2acc9000d1, , sujud, sujud, , 
122630, 3191, 2479, 608, 98, a5f9d287-b692-4114-97ce-4b2acc9000d1, , sujud, sujud, , 
122668, 3297, 2404, 636, 98, a5f9d287-b692-4114-97ce-4b2acc9000d1, , sujud, sujud, , 
