90396, 2661, 2890, 1207, 95, 147296d4-2737-4f40-b7bc-e5e928aa654e, , sujud, sujud, , 
90436, 2648, 2937, 1216, 95, 147296d4-2737-4f40-b7bc-e5e928aa654e, , sujud, sujud, , 
90476, 2687, 2924, 1197, 95, 147296d4-2737-4f40-b7bc-e5e928aa654e, , sujud, sujud, , 
90516, 2675, 2934, 1199, 95, 147296d4-2737-4f40-b7bc-e5e928aa654e, , sujud, sujud, , 
90556, 2686, 2882, 1182, 95, 147296d4-2737-4f40-b7bc-e5e928aa654e, , sujud, sujud, , 
90596, 2685, 2891, 1186, 95, 147296d4-2737-4f40-b7bc-e5e928aa654e, , sujud, sujud, , 
90636, 2710, 2936, 1209, 95, 147296d4-2737-4f40-b7bc-e5e928aa654e, , sujud, sujud, , 
90676, 2718, 2884, 1186, 95, 147296d4-2737-4f40-b7bc-e5e928aa654e, , sujud, sujud, , 
90716, 2697, 2881, 1184, 95, 147296d4-2737-4f40-b7bc-e5e928aa654e, , sujud, sujud, , 
90754, 2683, 2924, 1192, 95, 147296d4-2737-4f40-b7bc-e5e928aa654e, , sujud, sujud, , 
90793, 2703, 2889, 1174, 95, 147296d4-2737-4f40-b7bc-e5e928aa654e, , sujud, sujud, , 
90831, 2704, 2889, 1176, 95, 147296d4-2737-4f40-b7bc-e5e928aa654e, , sujud, sujud, , 
90870, 2730, 2870, 1164, 95, 147296d4-2737-4f40-b7bc-e5e928aa654e, , sujud, sujud, , 
90908, 2726, 2903, 1187, 95, 147296d4-2737-4f40-b7bc-e5e928aa654e, , sujud, sujud, , 
90947, 2741, 2831, 1181, 95, 147296d4-2737-4f40-b7bc-e5e928aa654e, , sujud, sujud, , 
90985, 2721, 2865, 1168, 95, 147296d4-2737-4f40-b7bc-e5e928aa654e, , sujud, sujud, , 
91024, 2734, 2858, 1178, 95, 147296d4-2737-4f40-b7bc-e5e928aa654e, , sujud, sujud, , 
