134011, 1506, 1744, 3479, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
134051, 1501, 1693, 3478, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
134092, 1585, 1661, 3473, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
134130, 1591, 1672, 3435, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
134169, 1591, 1669, 3457, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
134207, 1592, 1729, 3424, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
134246, 1621, 1633, 3439, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
134284, 1643, 1656, 3460, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
134323, 1684, 1636, 3409, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
134361, 1590, 1629, 3460, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
134400, 1635, 1632, 3452, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
134438, 1632, 1644, 3446, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
134477, 1599, 1618, 3481, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
134516, 1593, 1606, 3494, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
134553, 1597, 1613, 3505, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
134590, 1582, 1626, 3484, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
134627, 1540, 1611, 3489, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
134664, 1549, 1598, 3502, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
134701, 1528, 1625, 3510, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
134738, 1500, 1588, 3495, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
134775, 1492, 1628, 3515, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
134812, 1491, 1635, 3520, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
134849, 1462, 1628, 3508, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
134887, 1509, 1581, 3519, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
134929, 1455, 1622, 3530, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
134971, 1455, 1607, 3542, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
135013, 1479, 1625, 3520, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
135055, 1467, 1618, 3530, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
135097, 1469, 1638, 3538, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
135139, 1436, 1666, 3509, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
135181, 1445, 1638, 3535, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
135223, 1442, 1623, 3526, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
135265, 1419, 1655, 3534, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
135307, 1425, 1651, 3529, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
135342, 1415, 1656, 3528, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
135378, 1440, 1657, 3528, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
135413, 1418, 1675, 3522, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
135449, 1427, 1648, 3551, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
135485, 1431, 1669, 3516, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
135520, 1431, 1688, 3521, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
135556, 1413, 1664, 3528, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
135592, 1415, 1669, 3532, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
135627, 1416, 1672, 3522, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
135663, 1407, 1673, 3532, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
135699, 1406, 1663, 3531, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
135737, 1395, 1671, 3520, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
135776, 1424, 1660, 3515, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
135815, 1398, 1662, 3524, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
135854, 1426, 1677, 3530, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
135893, 1405, 1684, 3530, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
135932, 1375, 1678, 3537, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
135971, 1379, 1685, 3530, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
136010, 1403, 1684, 3523, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
136049, 1397, 1684, 3538, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
136088, 1404, 1665, 3535, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
136130, 1411, 1659, 3528, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
136172, 1403, 1665, 3535, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
136214, 1405, 1664, 3533, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
136256, 1378, 1679, 3530, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
136298, 1378, 1687, 3527, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
136340, 1387, 1676, 3529, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
136382, 1394, 1679, 3547, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
136424, 1382, 1683, 3519, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
136466, 1366, 1682, 3538, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
136508, 1383, 1635, 3504, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
136542, 1404, 1662, 3556, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
136576, 1360, 1705, 3537, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
136611, 1376, 1652, 3519, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
136645, 1383, 1682, 3512, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
136680, 1405, 1690, 3532, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
136714, 1396, 1692, 3532, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
136749, 1375, 1713, 3521, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
136783, 1381, 1686, 3504, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
136818, 1389, 1676, 3526, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
136852, 1380, 1686, 3546, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
136887, 1391, 1704, 3528, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
136928, 1384, 1698, 3511, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
136970, 1407, 1701, 3500, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
137012, 1398, 1702, 3505, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
137053, 1388, 1712, 3514, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
137095, 1404, 1719, 3507, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
137137, 1384, 1651, 3517, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
137178, 1404, 1691, 3534, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
137220, 1390, 1694, 3518, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
137262, 1392, 1691, 3512, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
137304, 1394, 1691, 3536, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
137339, 1400, 1682, 3533, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
137374, 1407, 1689, 3543, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
137409, 1409, 1685, 3525, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
137445, 1394, 1696, 3518, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
137480, 1391, 1685, 3537, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
137515, 1353, 1694, 3536, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
137550, 1390, 1678, 3522, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
137586, 1386, 1688, 3533, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
137621, 1369, 1683, 3542, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
137656, 1381, 1663, 3532, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
137692, 1392, 1684, 3525, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
137731, 1398, 1676, 3528, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
137770, 1377, 1671, 3532, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
137809, 1360, 1681, 3541, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
137849, 1376, 1693, 3543, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
137888, 1379, 1673, 3541, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
137927, 1372, 1680, 3553, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
137967, 1365, 1696, 3549, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
138006, 1367, 1679, 3543, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
138045, 1370, 1698, 3540, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
138085, 1355, 1678, 3539, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
138126, 1356, 1684, 3533, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
138168, 1356, 1693, 3524, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
138210, 1367, 1709, 3542, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
138252, 1368, 1689, 3540, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
138294, 1359, 1690, 3522, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
138336, 1363, 1679, 3546, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
138378, 1364, 1684, 3545, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
138420, 1353, 1682, 3530, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
