118969, 2881, 2422, 1744, 102, b595649f-dfbf-47a8-a048-064c9b3ae2b0, , sujud, sujud, , 
119010, 2917, 2348, 1776, 102, b595649f-dfbf-47a8-a048-064c9b3ae2b0, , sujud, sujud, , 
119051, 2877, 2362, 1801, 102, b595649f-dfbf-47a8-a048-064c9b3ae2b0, , sujud, sujud, , 
119092, 2896, 2337, 1798, 102, b595649f-dfbf-47a8-a048-064c9b3ae2b0, , sujud, sujud, , 
119133, 2879, 2372, 1800, 102, b595649f-dfbf-47a8-a048-064c9b3ae2b0, , sujud, sujud, , 
119174, 2879, 2383, 1793, 102, b595649f-dfbf-47a8-a048-064c9b3ae2b0, , sujud, sujud, , 
119215, 2881, 2371, 1778, 102, b595649f-dfbf-47a8-a048-064c9b3ae2b0, , sujud, sujud, , 
119256, 2894, 2383, 1769, 102, b595649f-dfbf-47a8-a048-064c9b3ae2b0, , sujud, sujud, , 
119297, 2889, 2408, 1772, 102, b595649f-dfbf-47a8-a048-064c9b3ae2b0, , sujud, sujud, , 
119338, 2877, 2389, 1772, 102, b595649f-dfbf-47a8-a048-064c9b3ae2b0, , sujud, sujud, , 
119379, 2906, 2395, 1785, 102, b595649f-dfbf-47a8-a048-064c9b3ae2b0, , sujud, sujud, , 
119420, 2869, 2385, 1784, 102, b595649f-dfbf-47a8-a048-064c9b3ae2b0, , sujud, sujud, , 
119461, 2872, 2407, 1795, 102, b595649f-dfbf-47a8-a048-064c9b3ae2b0, , sujud, sujud, , 
119503, 2879, 2388, 1803, 102, b595649f-dfbf-47a8-a048-064c9b3ae2b0, , sujud, sujud, , 
119540, 2885, 2387, 1803, 102, b595649f-dfbf-47a8-a048-064c9b3ae2b0, , sujud, sujud, , 
119577, 2894, 2394, 1783, 102, b595649f-dfbf-47a8-a048-064c9b3ae2b0, , sujud, sujud, , 
119614, 2881, 2389, 1769, 102, b595649f-dfbf-47a8-a048-064c9b3ae2b0, , sujud, sujud, , 
119651, 2868, 2397, 1780, 102, b595649f-dfbf-47a8-a048-064c9b3ae2b0, , sujud, sujud, , 
119688, 2874, 2377, 1771, 102, b595649f-dfbf-47a8-a048-064c9b3ae2b0, , sujud, sujud, , 
119725, 2882, 2402, 1761, 102, b595649f-dfbf-47a8-a048-064c9b3ae2b0, , sujud, sujud, , 
119762, 2881, 2395, 1784, 102, b595649f-dfbf-47a8-a048-064c9b3ae2b0, , sujud, sujud, , 
119799, 2896, 2399, 1782, 102, b595649f-dfbf-47a8-a048-064c9b3ae2b0, , sujud, sujud, , 
119836, 2891, 2394, 1790, 102, b595649f-dfbf-47a8-a048-064c9b3ae2b0, , sujud, sujud, , 
