110195, 2797, 696, 3004, 92, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
110240, 2791, 623, 3008, 92, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
110284, 2808, 600, 3021, 92, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
110328, 2793, 622, 2987, 92, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
110372, 2803, 640, 3007, 92, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
110416, 2837, 637, 2991, 92, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
110461, 2822, 598, 2995, 92, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
110495, 2816, 641, 2984, 92, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
110529, 2826, 669, 2992, 92, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
110563, 2817, 635, 2993, 92, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
110597, 2842, 622, 3000, 92, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
110631, 2806, 678, 3018, 92, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
110665, 2803, 679, 3024, 92, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
110699, 2771, 655, 3026, 92, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
110733, 2786, 665, 3019, 92, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
110767, 2796, 611, 3038, 92, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
110801, 2781, 628, 3037, 92, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
110835, 2774, 651, 3005, 92, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
110879, 2770, 694, 3014, 92, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
110924, 2785, 620, 3015, 92, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
110969, 2795, 663, 3013, 92, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
111014, 2789, 664, 3002, 92, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
111059, 2790, 632, 3035, 92, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
111104, 2777, 633, 3013, 92, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
111149, 2792, 624, 3009, 92, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
111194, 2794, 617, 3011, 92, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
111239, 2804, 610, 3000, 92, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
111284, 2818, 607, 3019, 92, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
111319, 2815, 593, 3017, 92, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
111355, 2810, 594, 2996, 92, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
111391, 2823, 621, 3006, 92, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
111427, 2847, 625, 3006, 92, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
111463, 2835, 638, 2983, 92, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
111499, 2835, 671, 2986, 92, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
111535, 2836, 670, 2972, 92, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
111571, 2853, 678, 2960, 92, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
111607, 2829, 668, 2991, 92, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
111643, 2847, 671, 2968, 92, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
111678, 2836, 680, 2974, 92, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
111713, 2844, 726, 2968, 92, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
111748, 2821, 686, 2959, 92, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
111783, 2850, 697, 2964, 92, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
111818, 2860, 696, 2947, 92, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
111853, 2844, 739, 2928, 92, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
111888, 2824, 753, 2933, 92, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
111923, 2846, 765, 2947, 92, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
111958, 2854, 756, 2934, 92, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
111993, 2856, 743, 2946, 92, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
112029, 2841, 747, 2943, 92, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
112071, 2844, 747, 2941, 92, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
112113, 2830, 722, 2946, 92, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
112155, 2816, 729, 2946, 92, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
112197, 2839, 747, 2946, 92, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
112239, 2830, 720, 2970, 92, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
112281, 2833, 759, 2961, 92, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
112323, 2850, 760, 2943, 92, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
112365, 2841, 739, 2928, 92, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
112407, 2852, 744, 2944, 92, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
112450, 2855, 782, 2934, 92, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
112485, 2842, 752, 2928, 92, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
112521, 2825, 770, 2931, 92, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
112556, 2851, 754, 2940, 92, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
112592, 2851, 768, 2936, 92, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
112627, 2852, 773, 2938, 92, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
112663, 2876, 750, 2933, 92, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
112698, 2847, 787, 2933, 92, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
112734, 2846, 775, 2928, 92, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
112769, 2861, 771, 2924, 92, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
112805, 2839, 791, 2928, 92, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
112841, 2844, 785, 2930, 92, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
112880, 2838, 769, 2934, 91, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
112919, 2831, 795, 2935, 91, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
112959, 2830, 784, 2942, 91, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
112998, 2828, 786, 2953, 91, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
113038, 2838, 791, 2934, 91, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
113077, 2846, 768, 2938, 91, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
113116, 2838, 773, 2937, 91, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
113156, 2835, 777, 2947, 91, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
113195, 2841, 762, 2932, 91, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
113235, 2829, 752, 2927, 91, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
113275, 2821, 764, 2927, 91, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
113315, 2858, 776, 2916, 91, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
113355, 2857, 765, 2933, 91, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
113395, 2854, 794, 2923, 91, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
113436, 2856, 776, 2946, 91, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
113476, 2827, 792, 2935, 91, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
113516, 2852, 778, 2908, 91, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
113556, 2868, 771, 2925, 91, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
113596, 2839, 778, 2920, 91, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
113637, 2866, 766, 2916, 91, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
