219155, 1912, 1488, 3387, 80, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
219193, 1743, 1761, 3347, 80, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
219231, 1979, 1512, 3338, 80, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
219269, 1976, 1580, 3261, 80, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
219308, 1897, 1598, 3293, 80, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
219345, 1942, 1599, 3320, 81, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
219383, 2008, 1574, 3217, 81, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
219421, 2004, 1603, 3291, 81, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
219459, 1932, 1685, 3293, 81, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
219497, 1906, 1713, 3278, 81, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
219535, 1910, 1667, 3242, 81, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
219573, 1906, 1665, 3324, 81, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
219611, 1865, 1678, 3284, 81, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
219649, 1848, 1654, 3320, 81, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
219687, 1923, 1639, 3264, 81, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
219728, 1933, 1648, 3285, 81, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
219770, 1981, 1548, 3283, 81, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
219811, 1969, 1604, 3247, 81, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
219853, 2031, 1588, 3239, 81, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
219895, 2027, 1605, 3231, 81, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
219936, 2081, 1602, 3207, 81, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
219978, 2097, 1620, 3215, 81, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
220019, 2132, 1588, 3205, 81, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
220061, 2085, 1625, 3251, 81, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
220103, 2199, 1514, 3191, 81, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
220139, 2126, 1557, 3193, 81, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
220176, 2139, 1564, 3196, 81, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
220213, 2116, 1519, 3215, 81, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
220249, 2129, 1524, 3212, 81, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
220286, 2113, 1537, 3216, 81, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
220323, 2143, 1521, 3237, 81, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
220360, 2085, 1546, 3236, 81, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
220396, 2081, 1521, 3249, 81, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
220433, 2087, 1485, 3261, 81, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
220470, 2083, 1541, 3256, 81, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
