119699, 3501, -1006, -1861, 88, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
119739, 3743, -985, -1967, 88, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
119773, 3757, -691, -1988, 88, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
119808, 3596, -743, -1729, 88, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
119843, 3642, -684, -1864, 88, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
119878, 3655, -629, -1927, 88, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
119913, 3666, -496, -1998, 88, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
119947, 3657, -708, -1848, 88, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
119982, 3593, -838, -1909, 88, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
120017, 3582, -773, -1878, 88, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
120052, 3592, -595, -1874, 88, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
120087, 3527, -645, -2031, 88, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
120125, 3542, -539, -1972, 88, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
120163, 3531, -613, -1892, 88, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
120201, 3614, -644, -1876, 88, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
120239, 3629, -571, -1850, 88, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
120277, 3642, -696, -1953, 88, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
120315, 3654, -535, -1969, 88, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
120353, 3576, -541, -1940, 88, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
120391, 3668, -609, -1914, 88, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
120429, 3675, -689, -1873, 88, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
120467, 3627, -677, -1964, 88, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
120505, 3608, -647, -1919, 88, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
120543, 3592, -576, -1923, 88, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
120582, 3594, -564, -1907, 88, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
120621, 3585, -579, -1972, 88, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
120660, 3554, -644, -1949, 88, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
120699, 3564, -628, -1913, 88, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
120737, 3560, -597, -1965, 88, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
120776, 3598, -641, -1970, 88, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
120815, 3639, -620, -1889, 88, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
120854, 3624, -680, -1949, 88, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
120893, 3548, -678, -1902, 88, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
120934, 3590, -687, -1906, 88, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
120975, 3590, -665, -1956, 88, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
121016, 3572, -648, -2009, 88, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
121057, 3520, -653, -1993, 88, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
121098, 3545, -645, -1966, 88, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
121139, 3530, -682, -1981, 88, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
121180, 3588, -669, -1983, 88, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
121221, 3542, -645, -2014, 88, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
121262, 3544, -697, -1944, 88, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
121303, 3589, -655, -1959, 88, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
121338, 3566, -697, -1929, 89, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
121373, 3589, -682, -1924, 89, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
121408, 3572, -668, -1992, 89, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
121443, 3560, -671, -1960, 89, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
121478, 3549, -599, -1960, 89, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
121513, 3532, -623, -2008, 89, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
121548, 3583, -638, -2010, 89, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
121583, 3552, -647, -1913, 89, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
121618, 3566, -648, -1927, 89, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
121653, 3568, -665, -1955, 89, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
121688, 3564, -587, -1948, 89, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
121728, 3503, -656, -1967, 89, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
121768, 3559, -633, -1980, 89, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
121809, 3579, -625, -1939, 89, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
121849, 3595, -676, -1918, 89, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
121890, 3572, -659, -1977, 89, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
121930, 3565, -640, -1953, 89, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
121970, 3623, -646, -1960, 89, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
122011, 3584, -643, -1937, 89, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
122051, 3522, -643, -1952, 89, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
122092, 3548, -624, -1989, 89, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
122130, 3604, -592, -2039, 89, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
122169, 3589, -490, -1952, 89, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
122208, 3556, -595, -1979, 89, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
122247, 3603, -665, -1975, 89, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
122286, 3592, -673, -1924, 89, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
122324, 3569, -619, -1979, 89, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
122363, 3540, -624, -1975, 89, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
122402, 3573, -597, -1982, 89, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
122441, 3552, -677, -1959, 89, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
122480, 3571, -661, -1969, 89, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
122519, 3580, -680, -1964, 89, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
