343094, 3214, 1038, -2250, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
343131, 3104, 1144, -2350, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
343168, 3033, 1155, -2507, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
343206, 2980, 795, -2361, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
343243, 3003, 1001, -2378, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
343280, 3170, 1071, -2439, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
343318, 3222, 980, -2486, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
343359, 3266, 955, -2429, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
343401, 3165, 824, -2470, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
343442, 3236, 787, -2457, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
343484, 3215, 725, -2431, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
343526, 3163, 1122, -2569, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
343567, 3159, 874, -2579, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
343609, 2999, 681, -2517, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
343650, 3020, 689, -2622, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
343692, 2999, 613, -2640, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
343734, 3061, 618, -2671, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
343771, 2948, 610, -2498, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
343808, 3090, 732, -2909, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
343846, 2976, 1050, -2786, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
343883, 2997, 663, -2660, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
343921, 3039, 549, -2640, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
343958, 3003, 706, -2691, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
343995, 2979, 625, -2771, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
344033, 3021, 725, -2759, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
344070, 2978, 762, -2746, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
344108, 2986, 768, -2704, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
344145, 3000, 719, -2687, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
344183, 3003, 734, -2724, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
344221, 3006, 773, -2707, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
344258, 3006, 765, -2688, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
344296, 2994, 763, -2714, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
344334, 2986, 769, -2702, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
344372, 2973, 756, -2690, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
344409, 3013, 702, -2725, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
344447, 2979, 808, -2670, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
344485, 3008, 785, -2696, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
344523, 2990, 767, -2687, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
344562, 3016, 735, -2688, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
344602, 3013, 714, -2703, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
344641, 3047, 736, -2694, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
344681, 3023, 735, -2677, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
344721, 3033, 766, -2662, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
344760, 2998, 756, -2675, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
