53909, 2607, -2013, -2445, 96, 16e63d50-9578-4d6e-8e2e-7dd247fd9fa6, , ruku, ruku, , 
53948, 2661, -1947, -2449, 96, 16e63d50-9578-4d6e-8e2e-7dd247fd9fa6, , ruku, ruku, , 
53987, 2664, -1998, -2497, 96, 16e63d50-9578-4d6e-8e2e-7dd247fd9fa6, , ruku, ruku, , 
54026, 2618, -1917, -2484, 96, 16e63d50-9578-4d6e-8e2e-7dd247fd9fa6, , ruku, ruku, , 
54065, 2718, -1900, -2501, 96, 16e63d50-9578-4d6e-8e2e-7dd247fd9fa6, , ruku, ruku, , 
54104, 2678, -1936, -2471, 96, 16e63d50-9578-4d6e-8e2e-7dd247fd9fa6, , ruku, ruku, , 
54143, 2709, -1953, -2468, 96, 16e63d50-9578-4d6e-8e2e-7dd247fd9fa6, , ruku, ruku, , 
54182, 2661, -1942, -2454, 96, 16e63d50-9578-4d6e-8e2e-7dd247fd9fa6, , ruku, ruku, , 
54221, 2716, -1931, -2495, 96, 16e63d50-9578-4d6e-8e2e-7dd247fd9fa6, , ruku, ruku, , 
54260, 2700, -1892, -2437, 96, 16e63d50-9578-4d6e-8e2e-7dd247fd9fa6, , ruku, ruku, , 
54296, 2712, -1872, -2436, 96, 16e63d50-9578-4d6e-8e2e-7dd247fd9fa6, , ruku, ruku, , 
54333, 2749, -1963, -2422, 96, 16e63d50-9578-4d6e-8e2e-7dd247fd9fa6, , ruku, ruku, , 
54369, 2731, -1916, -2396, 96, 16e63d50-9578-4d6e-8e2e-7dd247fd9fa6, , ruku, ruku, , 
54406, 2724, -1874, -2425, 96, 16e63d50-9578-4d6e-8e2e-7dd247fd9fa6, , ruku, ruku, , 
54442, 2728, -1940, -2404, 96, 16e63d50-9578-4d6e-8e2e-7dd247fd9fa6, , ruku, ruku, , 
54479, 2742, -1928, -2379, 96, 16e63d50-9578-4d6e-8e2e-7dd247fd9fa6, , ruku, ruku, , 
54515, 2781, -1891, -2382, 96, 16e63d50-9578-4d6e-8e2e-7dd247fd9fa6, , ruku, ruku, , 
54552, 2777, -1922, -2352, 96, 16e63d50-9578-4d6e-8e2e-7dd247fd9fa6, , ruku, ruku, , 
54588, 2772, -1908, -2396, 96, 16e63d50-9578-4d6e-8e2e-7dd247fd9fa6, , ruku, ruku, , 
54625, 2762, -1933, -2388, 96, 16e63d50-9578-4d6e-8e2e-7dd247fd9fa6, , ruku, ruku, , 
54662, 2759, -1939, -2377, 96, 16e63d50-9578-4d6e-8e2e-7dd247fd9fa6, , ruku, ruku, , 
54699, 2767, -1872, -2373, 96, 16e63d50-9578-4d6e-8e2e-7dd247fd9fa6, , ruku, ruku, , 
54736, 2761, -1881, -2400, 96, 16e63d50-9578-4d6e-8e2e-7dd247fd9fa6, , ruku, ruku, , 
54773, 2762, -1962, -2388, 96, 16e63d50-9578-4d6e-8e2e-7dd247fd9fa6, , ruku, ruku, , 
54810, 2752, -1903, -2368, 96, 16e63d50-9578-4d6e-8e2e-7dd247fd9fa6, , ruku, ruku, , 
54848, 2772, -1871, -2381, 96, 16e63d50-9578-4d6e-8e2e-7dd247fd9fa6, , ruku, ruku, , 
54885, 2734, -1924, -2381, 96, 16e63d50-9578-4d6e-8e2e-7dd247fd9fa6, , ruku, ruku, , 
54922, 2791, -1961, -2352, 96, 16e63d50-9578-4d6e-8e2e-7dd247fd9fa6, , ruku, ruku, , 
54959, 2797, -1909, -2365, 96, 16e63d50-9578-4d6e-8e2e-7dd247fd9fa6, , ruku, ruku, , 
54996, 2755, -1933, -2375, 96, 16e63d50-9578-4d6e-8e2e-7dd247fd9fa6, , ruku, ruku, , 
55034, 2749, -1926, -2389, 96, 16e63d50-9578-4d6e-8e2e-7dd247fd9fa6, , ruku, ruku, , 
55074, 2800, -1900, -2381, 96, 16e63d50-9578-4d6e-8e2e-7dd247fd9fa6, , ruku, ruku, , 
55114, 2765, -1912, -2397, 96, 16e63d50-9578-4d6e-8e2e-7dd247fd9fa6, , ruku, ruku, , 
55155, 2748, -1910, -2397, 96, 16e63d50-9578-4d6e-8e2e-7dd247fd9fa6, , ruku, ruku, , 
55195, 2783, -1937, -2388, 96, 16e63d50-9578-4d6e-8e2e-7dd247fd9fa6, , ruku, ruku, , 
55236, 2767, -1930, -2394, 96, 16e63d50-9578-4d6e-8e2e-7dd247fd9fa6, , ruku, ruku, , 
55276, 2770, -1871, -2409, 96, 16e63d50-9578-4d6e-8e2e-7dd247fd9fa6, , ruku, ruku, , 
55316, 2777, -1916, -2396, 96, 16e63d50-9578-4d6e-8e2e-7dd247fd9fa6, , ruku, ruku, , 
55357, 2752, -1935, -2403, 96, 16e63d50-9578-4d6e-8e2e-7dd247fd9fa6, , ruku, ruku, , 
55397, 2751, -1938, -2367, 96, 16e63d50-9578-4d6e-8e2e-7dd247fd9fa6, , ruku, ruku, , 
55438, 2739, -1916, -2390, 96, 16e63d50-9578-4d6e-8e2e-7dd247fd9fa6, , ruku, ruku, , 
