107098, 2749, -1374, -2683, 95, 813477e4-02b4-44f8-bdf3-77c525d9bfb7, , ruku, ruku, , 
107138, 2797, -1394, -2698, 95, 813477e4-02b4-44f8-bdf3-77c525d9bfb7, , ruku, ruku, , 
107179, 2792, -1382, -2663, 95, 813477e4-02b4-44f8-bdf3-77c525d9bfb7, , ruku, ruku, , 
107220, 2820, -1440, -2639, 95, 813477e4-02b4-44f8-bdf3-77c525d9bfb7, , ruku, ruku, , 
107260, 2802, -1439, -2678, 95, 813477e4-02b4-44f8-bdf3-77c525d9bfb7, , ruku, ruku, , 
107301, 2813, -1399, -2685, 95, 813477e4-02b4-44f8-bdf3-77c525d9bfb7, , ruku, ruku, , 
107341, 2817, -1368, -2692, 95, 813477e4-02b4-44f8-bdf3-77c525d9bfb7, , ruku, ruku, , 
107382, 2797, -1349, -2684, 95, 813477e4-02b4-44f8-bdf3-77c525d9bfb7, , ruku, ruku, , 
107423, 2804, -1388, -2695, 95, 813477e4-02b4-44f8-bdf3-77c525d9bfb7, , ruku, ruku, , 
107458, 2789, -1364, -2659, 95, 813477e4-02b4-44f8-bdf3-77c525d9bfb7, , ruku, ruku, , 
107494, 2841, -1388, -2689, 95, 813477e4-02b4-44f8-bdf3-77c525d9bfb7, , ruku, ruku, , 
107529, 2800, -1384, -2672, 95, 813477e4-02b4-44f8-bdf3-77c525d9bfb7, , ruku, ruku, , 
107565, 2813, -1335, -2683, 95, 813477e4-02b4-44f8-bdf3-77c525d9bfb7, , ruku, ruku, , 
107600, 2820, -1336, -2685, 95, 813477e4-02b4-44f8-bdf3-77c525d9bfb7, , ruku, ruku, , 
107636, 2812, -1334, -2655, 95, 813477e4-02b4-44f8-bdf3-77c525d9bfb7, , ruku, ruku, , 
107671, 2841, -1403, -2645, 95, 813477e4-02b4-44f8-bdf3-77c525d9bfb7, , ruku, ruku, , 
107707, 2845, -1339, -2671, 95, 813477e4-02b4-44f8-bdf3-77c525d9bfb7, , ruku, ruku, , 
107742, 2872, -1365, -2659, 95, 813477e4-02b4-44f8-bdf3-77c525d9bfb7, , ruku, ruku, , 
107778, 2847, -1408, -2620, 95, 813477e4-02b4-44f8-bdf3-77c525d9bfb7, , ruku, ruku, , 
107814, 2822, -1366, -2660, 95, 813477e4-02b4-44f8-bdf3-77c525d9bfb7, , ruku, ruku, , 
107855, 2818, -1336, -2679, 95, 813477e4-02b4-44f8-bdf3-77c525d9bfb7, , ruku, ruku, , 
107897, 2831, -1370, -2649, 95, 813477e4-02b4-44f8-bdf3-77c525d9bfb7, , ruku, ruku, , 
107938, 2848, -1388, -2623, 95, 813477e4-02b4-44f8-bdf3-77c525d9bfb7, , ruku, ruku, , 
107980, 2865, -1355, -2631, 95, 813477e4-02b4-44f8-bdf3-77c525d9bfb7, , ruku, ruku, , 
108022, 2853, -1367, -2652, 95, 813477e4-02b4-44f8-bdf3-77c525d9bfb7, , ruku, ruku, , 
108063, 2840, -1357, -2644, 95, 813477e4-02b4-44f8-bdf3-77c525d9bfb7, , ruku, ruku, , 
108105, 2861, -1302, -2643, 95, 813477e4-02b4-44f8-bdf3-77c525d9bfb7, , ruku, ruku, , 
108146, 2834, -1366, -2632, 95, 813477e4-02b4-44f8-bdf3-77c525d9bfb7, , ruku, ruku, , 
108188, 2839, -1408, -2641, 95, 813477e4-02b4-44f8-bdf3-77c525d9bfb7, , ruku, ruku, , 
108230, 2857, -1362, -2607, 95, 813477e4-02b4-44f8-bdf3-77c525d9bfb7, , ruku, ruku, , 
108268, 2864, -1386, -2637, 95, 813477e4-02b4-44f8-bdf3-77c525d9bfb7, , ruku, ruku, , 
108307, 2861, -1400, -2624, 95, 813477e4-02b4-44f8-bdf3-77c525d9bfb7, , ruku, ruku, , 
108346, 2839, -1391, -2613, 95, 813477e4-02b4-44f8-bdf3-77c525d9bfb7, , ruku, ruku, , 
108385, 2856, -1395, -2628, 95, 813477e4-02b4-44f8-bdf3-77c525d9bfb7, , ruku, ruku, , 
108424, 2888, -1369, -2615, 95, 813477e4-02b4-44f8-bdf3-77c525d9bfb7, , ruku, ruku, , 
108462, 2867, -1392, -2616, 95, 813477e4-02b4-44f8-bdf3-77c525d9bfb7, , ruku, ruku, , 
108501, 2866, -1350, -2636, 95, 813477e4-02b4-44f8-bdf3-77c525d9bfb7, , ruku, ruku, , 
108540, 2816, -1366, -2615, 95, 813477e4-02b4-44f8-bdf3-77c525d9bfb7, , ruku, ruku, , 
108579, 2877, -1349, -2639, 95, 813477e4-02b4-44f8-bdf3-77c525d9bfb7, , ruku, ruku, , 
108618, 2871, -1385, -2602, 95, 813477e4-02b4-44f8-bdf3-77c525d9bfb7, , ruku, ruku, , 
108654, 2848, -1366, -2624, 95, 813477e4-02b4-44f8-bdf3-77c525d9bfb7, , ruku, ruku, , 
108690, 2860, -1375, -2625, 95, 813477e4-02b4-44f8-bdf3-77c525d9bfb7, , ruku, ruku, , 
108726, 2863, -1395, -2616, 95, 813477e4-02b4-44f8-bdf3-77c525d9bfb7, , ruku, ruku, , 
108762, 2876, -1358, -2606, 95, 813477e4-02b4-44f8-bdf3-77c525d9bfb7, , ruku, ruku, , 
