100891, 3356, -1734, -1555, 91, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
100927, 3368, -1675, -1561, 91, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
100963, 3437, -1522, -1724, 91, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
100999, 3508, -1595, -1828, 91, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
101035, 3492, -1557, -1736, 91, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
101071, 3520, -1615, -1672, 91, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
101107, 3457, -1675, -1643, 91, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
101143, 3408, -1651, -1707, 91, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
101179, 3410, -1631, -1648, 91, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
101215, 3344, -1623, -1629, 91, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
101255, 3343, -1546, -1672, 91, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
101295, 3395, -1514, -1778, 91, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
101336, 3398, -1598, -1650, 91, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
101376, 3455, -1627, -1645, 91, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
101417, 3485, -1721, -1561, 91, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
101457, 3453, -1659, -1652, 91, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
101497, 3443, -1568, -1681, 91, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
101538, 3398, -1563, -1544, 91, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
101578, 3453, -1593, -1569, 91, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
101619, 3347, -1574, -1496, 91, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
101660, 3546, -1502, -1515, 91, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
101701, 3440, -1345, -1837, 91, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
101742, 3342, -1436, -1873, 91, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
101783, 3326, -1441, -1875, 91, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
101825, 3310, -1484, -1912, 91, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
101866, 3386, -1640, -1887, 91, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
101907, 3329, -1561, -1860, 91, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
101948, 3329, -1447, -1915, 91, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
101989, 3304, -1587, -1999, 91, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
102031, 3371, -1582, -1949, 91, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
102065, 3351, -1654, -1957, 91, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
102100, 3367, -1506, -1923, 91, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
102135, 3374, -1522, -1876, 91, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
102170, 3343, -1513, -1964, 91, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
102205, 3306, -1667, -1953, 91, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
102240, 3321, -1644, -1960, 91, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
102275, 3334, -1696, -2006, 91, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
102310, 3331, -1616, -1943, 91, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
102345, 3377, -1458, -1822, 91, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
102380, 3380, -1386, -1734, 91, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
102415, 3420, -1395, -1699, 91, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
102455, 3445, -1415, -1726, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
102495, 3453, -1499, -1672, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
102536, 3452, -1438, -1680, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
102576, 3434, -1393, -1741, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
102617, 3453, -1418, -1756, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
102657, 3434, -1483, -1726, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
102697, 3444, -1491, -1666, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
