107619, 3455, -971, -2296, 91, 64b656b3-7153-4544-a40d-ec310ceaf2db, , ruku, ruku, , 
107664, 3378, -1053, -2219, 91, 64b656b3-7153-4544-a40d-ec310ceaf2db, , ruku, ruku, , 
107698, 3341, -1070, -2203, 91, 64b656b3-7153-4544-a40d-ec310ceaf2db, , ruku, ruku, , 
107733, 3400, -1153, -2332, 91, 64b656b3-7153-4544-a40d-ec310ceaf2db, , ruku, ruku, , 
107767, 3244, -1107, -2271, 91, 64b656b3-7153-4544-a40d-ec310ceaf2db, , ruku, ruku, , 
107802, 3123, -1169, -2245, 91, 64b656b3-7153-4544-a40d-ec310ceaf2db, , ruku, ruku, , 
107837, 3186, -1170, -2309, 91, 64b656b3-7153-4544-a40d-ec310ceaf2db, , ruku, ruku, , 
107871, 3198, -1078, -2325, 91, 64b656b3-7153-4544-a40d-ec310ceaf2db, , ruku, ruku, , 
107906, 3173, -1037, -2335, 91, 64b656b3-7153-4544-a40d-ec310ceaf2db, , ruku, ruku, , 
107940, 3248, -1128, -2286, 91, 64b656b3-7153-4544-a40d-ec310ceaf2db, , ruku, ruku, , 
107975, 3230, -1126, -2302, 91, 64b656b3-7153-4544-a40d-ec310ceaf2db, , ruku, ruku, , 
108010, 3273, -1084, -2296, 91, 64b656b3-7153-4544-a40d-ec310ceaf2db, , ruku, ruku, , 
108048, 3260, -1166, -2276, 91, 64b656b3-7153-4544-a40d-ec310ceaf2db, , ruku, ruku, , 
108086, 3240, -1107, -2316, 91, 64b656b3-7153-4544-a40d-ec310ceaf2db, , ruku, ruku, , 
108124, 3285, -1108, -2345, 91, 64b656b3-7153-4544-a40d-ec310ceaf2db, , ruku, ruku, , 
108163, 3183, -1094, -2315, 91, 64b656b3-7153-4544-a40d-ec310ceaf2db, , ruku, ruku, , 
108201, 3167, -1137, -2329, 91, 64b656b3-7153-4544-a40d-ec310ceaf2db, , ruku, ruku, , 
108239, 3173, -1120, -2314, 91, 64b656b3-7153-4544-a40d-ec310ceaf2db, , ruku, ruku, , 
108277, 3181, -1089, -2331, 91, 64b656b3-7153-4544-a40d-ec310ceaf2db, , ruku, ruku, , 
108316, 3209, -1116, -2367, 91, 64b656b3-7153-4544-a40d-ec310ceaf2db, , ruku, ruku, , 
108354, 3187, -1121, -2340, 91, 64b656b3-7153-4544-a40d-ec310ceaf2db, , ruku, ruku, , 
108392, 3187, -1131, -2331, 91, 64b656b3-7153-4544-a40d-ec310ceaf2db, , ruku, ruku, , 
108431, 3216, -1133, -2333, 91, 64b656b3-7153-4544-a40d-ec310ceaf2db, , ruku, ruku, , 
108466, 3190, -1150, -2332, 92, 64b656b3-7153-4544-a40d-ec310ceaf2db, , ruku, ruku, , 
108501, 3187, -1138, -2342, 92, 64b656b3-7153-4544-a40d-ec310ceaf2db, , ruku, ruku, , 
108536, 3186, -1165, -2343, 92, 64b656b3-7153-4544-a40d-ec310ceaf2db, , ruku, ruku, , 
108572, 3128, -1144, -2364, 92, 64b656b3-7153-4544-a40d-ec310ceaf2db, , ruku, ruku, , 
108607, 3149, -1128, -2365, 92, 64b656b3-7153-4544-a40d-ec310ceaf2db, , ruku, ruku, , 
108642, 3172, -1120, -2375, 92, 64b656b3-7153-4544-a40d-ec310ceaf2db, , ruku, ruku, , 
108678, 3161, -1146, -2402, 92, 64b656b3-7153-4544-a40d-ec310ceaf2db, , ruku, ruku, , 
108713, 3171, -1161, -2396, 92, 64b656b3-7153-4544-a40d-ec310ceaf2db, , ruku, ruku, , 
108748, 3161, -1184, -2390, 92, 64b656b3-7153-4544-a40d-ec310ceaf2db, , ruku, ruku, , 
108784, 3153, -1148, -2389, 92, 64b656b3-7153-4544-a40d-ec310ceaf2db, , ruku, ruku, , 
108823, 3136, -1151, -2396, 92, 64b656b3-7153-4544-a40d-ec310ceaf2db, , ruku, ruku, , 
108862, 3107, -1179, -2390, 92, 64b656b3-7153-4544-a40d-ec310ceaf2db, , ruku, ruku, , 
108901, 3108, -1163, -2426, 92, 64b656b3-7153-4544-a40d-ec310ceaf2db, , ruku, ruku, , 
108941, 3128, -1133, -2446, 92, 64b656b3-7153-4544-a40d-ec310ceaf2db, , ruku, ruku, , 
108980, 3111, -1188, -2400, 92, 64b656b3-7153-4544-a40d-ec310ceaf2db, , ruku, ruku, , 
109019, 3116, -1129, -2440, 92, 64b656b3-7153-4544-a40d-ec310ceaf2db, , ruku, ruku, , 
109058, 3142, -1077, -2470, 92, 64b656b3-7153-4544-a40d-ec310ceaf2db, , ruku, ruku, , 
109098, 3139, -1121, -2466, 92, 64b656b3-7153-4544-a40d-ec310ceaf2db, , ruku, ruku, , 
109137, 3117, -1163, -2452, 92, 64b656b3-7153-4544-a40d-ec310ceaf2db, , ruku, ruku, , 
109176, 3113, -1153, -2427, 92, 64b656b3-7153-4544-a40d-ec310ceaf2db, , ruku, ruku, , 
109216, 3103, -1137, -2437, 92, 64b656b3-7153-4544-a40d-ec310ceaf2db, , ruku, ruku, , 
109255, 3131, -1181, -2427, 93, 64b656b3-7153-4544-a40d-ec310ceaf2db, , ruku, ruku, , 
109294, 3094, -1180, -2437, 93, 64b656b3-7153-4544-a40d-ec310ceaf2db, , ruku, ruku, , 
109333, 3109, -1226, -2447, 93, 64b656b3-7153-4544-a40d-ec310ceaf2db, , ruku, ruku, , 
109373, 3074, -1142, -2462, 93, 64b656b3-7153-4544-a40d-ec310ceaf2db, , ruku, ruku, , 
109412, 3088, -1152, -2440, 93, 64b656b3-7153-4544-a40d-ec310ceaf2db, , ruku, ruku, , 
109451, 3111, -1169, -2446, 93, 64b656b3-7153-4544-a40d-ec310ceaf2db, , ruku, ruku, , 
109491, 3099, -1192, -2436, 93, 64b656b3-7153-4544-a40d-ec310ceaf2db, , ruku, ruku, , 
109530, 3099, -1173, -2431, 93, 64b656b3-7153-4544-a40d-ec310ceaf2db, , ruku, ruku, , 
109569, 3116, -1174, -2427, 93, 64b656b3-7153-4544-a40d-ec310ceaf2db, , ruku, ruku, , 
109609, 3129, -1154, -2415, 93, 64b656b3-7153-4544-a40d-ec310ceaf2db, , ruku, ruku, , 
109646, 3155, -1154, -2403, 93, 64b656b3-7153-4544-a40d-ec310ceaf2db, , ruku, ruku, , 
109683, 3182, -1116, -2437, 93, 64b656b3-7153-4544-a40d-ec310ceaf2db, , ruku, ruku, , 
109721, 3107, -1170, -2425, 93, 64b656b3-7153-4544-a40d-ec310ceaf2db, , ruku, ruku, , 
109758, 3194, -1262, -2492, 93, 64b656b3-7153-4544-a40d-ec310ceaf2db, , ruku, ruku, , 
109796, 3193, -1271, -2424, 93, 64b656b3-7153-4544-a40d-ec310ceaf2db, , ruku, ruku, , 
109833, 3204, -1300, -2357, 93, 64b656b3-7153-4544-a40d-ec310ceaf2db, , ruku, ruku, , 
