161768, 4252, 864, -1448, 72, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
161813, 4079, 792, -1648, 72, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
161858, 4016, 851, -1631, 72, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
161903, 4029, 925, -1647, 72, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
161948, 4033, 774, -1481, 72, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
161993, 3883, 929, -1419, 72, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
162039, 3829, 931, -1355, 72, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
162070, 3805, 781, -1421, 72, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
162102, 3822, 824, -1459, 72, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
162134, 3719, 633, -1567, 72, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
162165, 3681, 735, -1596, 72, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
162197, 3671, 789, -1542, 72, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
162229, 3820, 821, -1456, 72, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
162261, 3785, 734, -1371, 72, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
162292, 3848, 632, -1426, 72, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
162324, 3820, 749, -1402, 72, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
162356, 3824, 597, -1415, 72, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
162388, 3808, 583, -1442, 72, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
162429, 3771, 629, -1438, 72, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
162471, 3799, 672, -1445, 72, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
162512, 3808, 679, -1459, 72, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
162554, 3830, 668, -1407, 72, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
162595, 3824, 688, -1431, 72, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
