41049, 3287, 1483, -2182, 61, 8dcf9fb2-6974-44fb-baf4-ab1a6f137d4c, , ruku, ruku, , 
41085, 3027, 1834, -2068, 61, 8dcf9fb2-6974-44fb-baf4-ab1a6f137d4c, , ruku, ruku, , 
41121, 2839, 1977, -2180, 61, 8dcf9fb2-6974-44fb-baf4-ab1a6f137d4c, , ruku, ruku, , 
41158, 3139, 1722, -2129, 61, 8dcf9fb2-6974-44fb-baf4-ab1a6f137d4c, , ruku, ruku, , 
41194, 3033, 1504, -2425, 61, 8dcf9fb2-6974-44fb-baf4-ab1a6f137d4c, , ruku, ruku, , 
41230, 2925, 1495, -2447, 61, 8dcf9fb2-6974-44fb-baf4-ab1a6f137d4c, , ruku, ruku, , 
41267, 2899, 1318, -2369, 61, 8dcf9fb2-6974-44fb-baf4-ab1a6f137d4c, , ruku, ruku, , 
41303, 3081, 1449, -2329, 61, 8dcf9fb2-6974-44fb-baf4-ab1a6f137d4c, , ruku, ruku, , 
41339, 3041, 1065, -2554, 61, 8dcf9fb2-6974-44fb-baf4-ab1a6f137d4c, , ruku, ruku, , 
41376, 2930, 1353, -2446, 61, 8dcf9fb2-6974-44fb-baf4-ab1a6f137d4c, , ruku, ruku, , 
41412, 2942, 1088, -2611, 61, 8dcf9fb2-6974-44fb-baf4-ab1a6f137d4c, , ruku, ruku, , 
41449, 3012, 1185, -2588, 61, 8dcf9fb2-6974-44fb-baf4-ab1a6f137d4c, , ruku, ruku, , 
41489, 3010, 1083, -2662, 61, 8dcf9fb2-6974-44fb-baf4-ab1a6f137d4c, , ruku, ruku, , 
41530, 2896, 1160, -2554, 61, 8dcf9fb2-6974-44fb-baf4-ab1a6f137d4c, , ruku, ruku, , 
41570, 2974, 1075, -2623, 61, 8dcf9fb2-6974-44fb-baf4-ab1a6f137d4c, , ruku, ruku, , 
41611, 3008, 1047, -2572, 61, 8dcf9fb2-6974-44fb-baf4-ab1a6f137d4c, , ruku, ruku, , 
41652, 2993, 1125, -2650, 61, 8dcf9fb2-6974-44fb-baf4-ab1a6f137d4c, , ruku, ruku, , 
41692, 3090, 910, -2674, 61, 8dcf9fb2-6974-44fb-baf4-ab1a6f137d4c, , ruku, ruku, , 
41733, 3054, 931, -2697, 61, 8dcf9fb2-6974-44fb-baf4-ab1a6f137d4c, , ruku, ruku, , 
41773, 2998, 949, -2737, 61, 8dcf9fb2-6974-44fb-baf4-ab1a6f137d4c, , ruku, ruku, , 
41814, 3017, 930, -2672, 61, 8dcf9fb2-6974-44fb-baf4-ab1a6f137d4c, , ruku, ruku, , 
41855, 3017, 942, -2691, 61, 8dcf9fb2-6974-44fb-baf4-ab1a6f137d4c, , ruku, ruku, , 
41894, 2928, 1003, -2559, 61, 8dcf9fb2-6974-44fb-baf4-ab1a6f137d4c, , ruku, ruku, , 
41933, 2973, 998, -2624, 61, 8dcf9fb2-6974-44fb-baf4-ab1a6f137d4c, , ruku, ruku, , 
41972, 2974, 991, -2588, 61, 8dcf9fb2-6974-44fb-baf4-ab1a6f137d4c, , ruku, ruku, , 
42011, 3014, 912, -2673, 61, 8dcf9fb2-6974-44fb-baf4-ab1a6f137d4c, , ruku, ruku, , 
42051, 3010, 961, -2638, 61, 8dcf9fb2-6974-44fb-baf4-ab1a6f137d4c, , ruku, ruku, , 
42090, 3030, 896, -2673, 61, 8dcf9fb2-6974-44fb-baf4-ab1a6f137d4c, , ruku, ruku, , 
42129, 3012, 963, -2603, 61, 8dcf9fb2-6974-44fb-baf4-ab1a6f137d4c, , ruku, ruku, , 
42168, 2994, 994, -2644, 61, 8dcf9fb2-6974-44fb-baf4-ab1a6f137d4c, , ruku, ruku, , 
42207, 2978, 1011, -2586, 61, 8dcf9fb2-6974-44fb-baf4-ab1a6f137d4c, , ruku, ruku, , 
42247, 3023, 973, -2640, 61, 8dcf9fb2-6974-44fb-baf4-ab1a6f137d4c, , ruku, ruku, , 
42283, 3045, 1006, -2595, 63, 8dcf9fb2-6974-44fb-baf4-ab1a6f137d4c, , ruku, ruku, , 
42320, 3025, 977, -2623, 63, 8dcf9fb2-6974-44fb-baf4-ab1a6f137d4c, , ruku, ruku, , 
42356, 3005, 994, -2597, 63, 8dcf9fb2-6974-44fb-baf4-ab1a6f137d4c, , ruku, ruku, , 
42393, 3049, 981, -2592, 63, 8dcf9fb2-6974-44fb-baf4-ab1a6f137d4c, , ruku, ruku, , 
42430, 3029, 980, -2596, 63, 8dcf9fb2-6974-44fb-baf4-ab1a6f137d4c, , ruku, ruku, , 
42466, 3107, 939, -2564, 63, 8dcf9fb2-6974-44fb-baf4-ab1a6f137d4c, , ruku, ruku, , 
42503, 3177, 961, -2585, 63, 8dcf9fb2-6974-44fb-baf4-ab1a6f137d4c, , ruku, ruku, , 
42540, 3211, 1006, -2601, 63, 8dcf9fb2-6974-44fb-baf4-ab1a6f137d4c, , ruku, ruku, , 
42576, 3166, 1147, -2419, 63, 8dcf9fb2-6974-44fb-baf4-ab1a6f137d4c, , ruku, ruku, , 
