55531, 3092, -448, -2624, 58, 84c4f237-e613-47cc-9db6-52aff5cad7de, , ruku, ruku, , 
55572, 3064, -478, -2631, 58, 84c4f237-e613-47cc-9db6-52aff5cad7de, , ruku, ruku, , 
55613, 3120, -544, -2620, 58, 84c4f237-e613-47cc-9db6-52aff5cad7de, , ruku, ruku, , 
55655, 3179, -555, -2661, 58, 84c4f237-e613-47cc-9db6-52aff5cad7de, , ruku, ruku, , 
55691, 3229, -544, -2671, 58, 84c4f237-e613-47cc-9db6-52aff5cad7de, , ruku, ruku, , 
55727, 3186, -490, -2647, 58, 84c4f237-e613-47cc-9db6-52aff5cad7de, , ruku, ruku, , 
55763, 3147, -511, -2629, 58, 84c4f237-e613-47cc-9db6-52aff5cad7de, , ruku, ruku, , 
55799, 3139, -508, -2606, 58, 84c4f237-e613-47cc-9db6-52aff5cad7de, , ruku, ruku, , 
55836, 3133, -516, -2614, 58, 84c4f237-e613-47cc-9db6-52aff5cad7de, , ruku, ruku, , 
55872, 3134, -516, -2618, 58, 84c4f237-e613-47cc-9db6-52aff5cad7de, , ruku, ruku, , 
55908, 3056, -493, -2672, 58, 84c4f237-e613-47cc-9db6-52aff5cad7de, , ruku, ruku, , 
55944, 3066, -577, -2651, 58, 84c4f237-e613-47cc-9db6-52aff5cad7de, , ruku, ruku, , 
55980, 3085, -560, -2616, 58, 84c4f237-e613-47cc-9db6-52aff5cad7de, , ruku, ruku, , 
56017, 3095, -531, -2684, 58, 84c4f237-e613-47cc-9db6-52aff5cad7de, , ruku, ruku, , 
56056, 3119, -510, -2651, 58, 84c4f237-e613-47cc-9db6-52aff5cad7de, , ruku, ruku, , 
56096, 3115, -489, -2627, 58, 84c4f237-e613-47cc-9db6-52aff5cad7de, , ruku, ruku, , 
56136, 3098, -556, -2683, 58, 84c4f237-e613-47cc-9db6-52aff5cad7de, , ruku, ruku, , 
56176, 3118, -527, -2668, 58, 84c4f237-e613-47cc-9db6-52aff5cad7de, , ruku, ruku, , 
56216, 3082, -520, -2661, 58, 84c4f237-e613-47cc-9db6-52aff5cad7de, , ruku, ruku, , 
56256, 3097, -525, -2646, 58, 84c4f237-e613-47cc-9db6-52aff5cad7de, , ruku, ruku, , 
56296, 3065, -494, -2691, 58, 84c4f237-e613-47cc-9db6-52aff5cad7de, , ruku, ruku, , 
56336, 3108, -492, -2647, 58, 84c4f237-e613-47cc-9db6-52aff5cad7de, , ruku, ruku, , 
56376, 3107, -507, -2639, 58, 84c4f237-e613-47cc-9db6-52aff5cad7de, , ruku, ruku, , 
56416, 3128, -484, -2655, 58, 84c4f237-e613-47cc-9db6-52aff5cad7de, , ruku, ruku, , 
56452, 3082, -532, -2625, 58, 84c4f237-e613-47cc-9db6-52aff5cad7de, , ruku, ruku, , 
56488, 3156, -517, -2638, 58, 84c4f237-e613-47cc-9db6-52aff5cad7de, , ruku, ruku, , 
