159652, 3382, -984, -2226, 88, e2835db5-65e1-49d8-bfd2-96d4a1a9e002, , ruku, ruku, , 
159690, 3312, -1111, -2277, 88, e2835db5-65e1-49d8-bfd2-96d4a1a9e002, , ruku, ruku, , 
159728, 3283, -814, -2245, 88, e2835db5-65e1-49d8-bfd2-96d4a1a9e002, , ruku, ruku, , 
159765, 3271, -950, -2233, 88, e2835db5-65e1-49d8-bfd2-96d4a1a9e002, , ruku, ruku, , 
159803, 3399, -1027, -2258, 88, e2835db5-65e1-49d8-bfd2-96d4a1a9e002, , ruku, ruku, , 
159841, 3255, -1018, -2215, 88, e2835db5-65e1-49d8-bfd2-96d4a1a9e002, , ruku, ruku, , 
159879, 3340, -1105, -2176, 88, e2835db5-65e1-49d8-bfd2-96d4a1a9e002, , ruku, ruku, , 
159917, 3324, -992, -2272, 88, e2835db5-65e1-49d8-bfd2-96d4a1a9e002, , ruku, ruku, , 
159957, 3359, -940, -2230, 88, e2835db5-65e1-49d8-bfd2-96d4a1a9e002, , ruku, ruku, , 
159998, 3239, -1033, -2199, 88, e2835db5-65e1-49d8-bfd2-96d4a1a9e002, , ruku, ruku, , 
160039, 3368, -1124, -2176, 88, e2835db5-65e1-49d8-bfd2-96d4a1a9e002, , ruku, ruku, , 
160080, 3353, -1064, -2189, 88, e2835db5-65e1-49d8-bfd2-96d4a1a9e002, , ruku, ruku, , 
160120, 3306, -970, -2216, 88, e2835db5-65e1-49d8-bfd2-96d4a1a9e002, , ruku, ruku, , 
160161, 3309, -1098, -2187, 88, e2835db5-65e1-49d8-bfd2-96d4a1a9e002, , ruku, ruku, , 
160202, 3306, -950, -2207, 88, e2835db5-65e1-49d8-bfd2-96d4a1a9e002, , ruku, ruku, , 
160243, 3318, -1063, -2190, 88, e2835db5-65e1-49d8-bfd2-96d4a1a9e002, , ruku, ruku, , 
160283, 3348, -983, -2155, 88, e2835db5-65e1-49d8-bfd2-96d4a1a9e002, , ruku, ruku, , 
160324, 3331, -1048, -2190, 88, e2835db5-65e1-49d8-bfd2-96d4a1a9e002, , ruku, ruku, , 
160365, 3402, -1012, -2109, 88, e2835db5-65e1-49d8-bfd2-96d4a1a9e002, , ruku, ruku, , 
160406, 3356, -1039, -2202, 88, e2835db5-65e1-49d8-bfd2-96d4a1a9e002, , ruku, ruku, , 
160447, 3320, -1004, -2162, 88, e2835db5-65e1-49d8-bfd2-96d4a1a9e002, , ruku, ruku, , 
160485, 3329, -955, -2161, 88, e2835db5-65e1-49d8-bfd2-96d4a1a9e002, , ruku, ruku, , 
160523, 3384, -1019, -2174, 88, e2835db5-65e1-49d8-bfd2-96d4a1a9e002, , ruku, ruku, , 
160561, 3371, -1040, -2155, 88, e2835db5-65e1-49d8-bfd2-96d4a1a9e002, , ruku, ruku, , 
160599, 3335, -1004, -2154, 88, e2835db5-65e1-49d8-bfd2-96d4a1a9e002, , ruku, ruku, , 
160637, 3388, -1039, -2175, 88, e2835db5-65e1-49d8-bfd2-96d4a1a9e002, , ruku, ruku, , 
160675, 3334, -1061, -2139, 88, e2835db5-65e1-49d8-bfd2-96d4a1a9e002, , ruku, ruku, , 
160713, 3374, -1021, -2135, 88, e2835db5-65e1-49d8-bfd2-96d4a1a9e002, , ruku, ruku, , 
160751, 3344, -1018, -2139, 88, e2835db5-65e1-49d8-bfd2-96d4a1a9e002, , ruku, ruku, , 
