98404, 3060, -1402, -2171, 97, 033a4d5e-9223-455c-9545-76d48d7aa8ae, , ruku, ruku, , 
98440, 3063, -1377, -2188, 97, 033a4d5e-9223-455c-9545-76d48d7aa8ae, , ruku, ruku, , 
98476, 2910, -1192, -2396, 97, 033a4d5e-9223-455c-9545-76d48d7aa8ae, , ruku, ruku, , 
98512, 3191, -1155, -2480, 97, 033a4d5e-9223-455c-9545-76d48d7aa8ae, , ruku, ruku, , 
98547, 3079, -1200, -2321, 97, 033a4d5e-9223-455c-9545-76d48d7aa8ae, , ruku, ruku, , 
98583, 3413, -1277, -1909, 97, 033a4d5e-9223-455c-9545-76d48d7aa8ae, , ruku, ruku, , 
98619, 3573, -1114, -1921, 97, 033a4d5e-9223-455c-9545-76d48d7aa8ae, , ruku, ruku, , 
98655, 3378, -1121, -2124, 97, 033a4d5e-9223-455c-9545-76d48d7aa8ae, , ruku, ruku, , 
98695, 3366, -1297, -1965, 97, 033a4d5e-9223-455c-9545-76d48d7aa8ae, , ruku, ruku, , 
98735, 3265, -1150, -2245, 97, 033a4d5e-9223-455c-9545-76d48d7aa8ae, , ruku, ruku, , 
98775, 3229, -1195, -2244, 97, 033a4d5e-9223-455c-9545-76d48d7aa8ae, , ruku, ruku, , 
98815, 3263, -1175, -2182, 97, 033a4d5e-9223-455c-9545-76d48d7aa8ae, , ruku, ruku, , 
98856, 2853, -1110, -2187, 97, 033a4d5e-9223-455c-9545-76d48d7aa8ae, , ruku, ruku, , 
98896, 3203, -1291, -2465, 97, 033a4d5e-9223-455c-9545-76d48d7aa8ae, , ruku, ruku, , 
98936, 3320, -1121, -2297, 97, 033a4d5e-9223-455c-9545-76d48d7aa8ae, , ruku, ruku, , 
98976, 3267, -1184, -2209, 97, 033a4d5e-9223-455c-9545-76d48d7aa8ae, , ruku, ruku, , 
99016, 3273, -1162, -2239, 97, 033a4d5e-9223-455c-9545-76d48d7aa8ae, , ruku, ruku, , 
99057, 3365, -1216, -2192, 97, 033a4d5e-9223-455c-9545-76d48d7aa8ae, , ruku, ruku, , 
99095, 3332, -1343, -2181, 97, 033a4d5e-9223-455c-9545-76d48d7aa8ae, , ruku, ruku, , 
99134, 3282, -1152, -2259, 97, 033a4d5e-9223-455c-9545-76d48d7aa8ae, , ruku, ruku, , 
99173, 3201, -1298, -2269, 97, 033a4d5e-9223-455c-9545-76d48d7aa8ae, , ruku, ruku, , 
99212, 3189, -1286, -2182, 97, 033a4d5e-9223-455c-9545-76d48d7aa8ae, , ruku, ruku, , 
99251, 3145, -1161, -2308, 97, 033a4d5e-9223-455c-9545-76d48d7aa8ae, , ruku, ruku, , 
99290, 3242, -1202, -2199, 97, 033a4d5e-9223-455c-9545-76d48d7aa8ae, , ruku, ruku, , 
99329, 3169, -1264, -2196, 97, 033a4d5e-9223-455c-9545-76d48d7aa8ae, , ruku, ruku, , 
99368, 3242, -1516, -2209, 97, 033a4d5e-9223-455c-9545-76d48d7aa8ae, , ruku, ruku, , 
99407, 3272, -1607, -2106, 97, 033a4d5e-9223-455c-9545-76d48d7aa8ae, , ruku, ruku, , 
99446, 3222, -1484, -2174, 97, 033a4d5e-9223-455c-9545-76d48d7aa8ae, , ruku, ruku, , 
99482, 3193, -1318, -2245, 97, 033a4d5e-9223-455c-9545-76d48d7aa8ae, , ruku, ruku, , 
99519, 3135, -1253, -2339, 97, 033a4d5e-9223-455c-9545-76d48d7aa8ae, , ruku, ruku, , 
99556, 3171, -1353, -2218, 97, 033a4d5e-9223-455c-9545-76d48d7aa8ae, , ruku, ruku, , 
99593, 3150, -1331, -2257, 97, 033a4d5e-9223-455c-9545-76d48d7aa8ae, , ruku, ruku, , 
99630, 3174, -1315, -2305, 97, 033a4d5e-9223-455c-9545-76d48d7aa8ae, , ruku, ruku, , 
99667, 3154, -1388, -2254, 97, 033a4d5e-9223-455c-9545-76d48d7aa8ae, , ruku, ruku, , 
99704, 3224, -1283, -2252, 97, 033a4d5e-9223-455c-9545-76d48d7aa8ae, , ruku, ruku, , 
99741, 3181, -1348, -2261, 97, 033a4d5e-9223-455c-9545-76d48d7aa8ae, , ruku, ruku, , 
99778, 3179, -1349, -2228, 97, 033a4d5e-9223-455c-9545-76d48d7aa8ae, , ruku, ruku, , 
99815, 3167, -1317, -2259, 97, 033a4d5e-9223-455c-9545-76d48d7aa8ae, , ruku, ruku, , 
99852, 3181, -1315, -2237, 97, 033a4d5e-9223-455c-9545-76d48d7aa8ae, , ruku, ruku, , 
99894, 3210, -1350, -2231, 97, 033a4d5e-9223-455c-9545-76d48d7aa8ae, , ruku, ruku, , 
99936, 3180, -1350, -2187, 97, 033a4d5e-9223-455c-9545-76d48d7aa8ae, , ruku, ruku, , 
