48580, 3555, -1139, -1792, 49, 2568e401-d660-460b-abfe-8f6de92a1fa3, , ruku, ruku, , 
48618, 3430, -934, -1774, 49, 2568e401-d660-460b-abfe-8f6de92a1fa3, , ruku, ruku, , 
48656, 3484, -915, -1692, 49, 2568e401-d660-460b-abfe-8f6de92a1fa3, , ruku, ruku, , 
48694, 3511, -947, -1799, 49, 2568e401-d660-460b-abfe-8f6de92a1fa3, , ruku, ruku, , 
48732, 3437, -982, -2025, 49, 2568e401-d660-460b-abfe-8f6de92a1fa3, , ruku, ruku, , 
48770, 3498, -1220, -1994, 49, 2568e401-d660-460b-abfe-8f6de92a1fa3, , ruku, ruku, , 
48808, 3488, -1112, -1821, 49, 2568e401-d660-460b-abfe-8f6de92a1fa3, , ruku, ruku, , 
48846, 3595, -1002, -1906, 49, 2568e401-d660-460b-abfe-8f6de92a1fa3, , ruku, ruku, , 
48885, 3585, -988, -1850, 49, 2568e401-d660-460b-abfe-8f6de92a1fa3, , ruku, ruku, , 
48921, 3594, -864, -1860, 49, 2568e401-d660-460b-abfe-8f6de92a1fa3, , ruku, ruku, , 
48957, 3549, -917, -1833, 49, 2568e401-d660-460b-abfe-8f6de92a1fa3, , ruku, ruku, , 
48994, 3582, -956, -1897, 49, 2568e401-d660-460b-abfe-8f6de92a1fa3, , ruku, ruku, , 
49030, 3545, -972, -1933, 49, 2568e401-d660-460b-abfe-8f6de92a1fa3, , ruku, ruku, , 
49067, 3540, -981, -1922, 49, 2568e401-d660-460b-abfe-8f6de92a1fa3, , ruku, ruku, , 
49103, 3473, -989, -1948, 49, 2568e401-d660-460b-abfe-8f6de92a1fa3, , ruku, ruku, , 
49140, 3492, -973, -1967, 49, 2568e401-d660-460b-abfe-8f6de92a1fa3, , ruku, ruku, , 
49176, 3488, -946, -1950, 49, 2568e401-d660-460b-abfe-8f6de92a1fa3, , ruku, ruku, , 
49213, 3498, -979, -1927, 49, 2568e401-d660-460b-abfe-8f6de92a1fa3, , ruku, ruku, , 
49249, 3515, -937, -1915, 49, 2568e401-d660-460b-abfe-8f6de92a1fa3, , ruku, ruku, , 
