13574, 2624, 182, -3049, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
13608, 2671, 417, -3112, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
13641, 2710, 421, -3166, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
13675, 2801, 280, -3164, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
13708, 2702, 15, -3143, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
13742, 2655, 142, -3109, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
13778, 2630, 235, -3105, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
13814, 2602, 250, -3142, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
13850, 2561, 537, -3157, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
13887, 2679, -4, -3000, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
13923, 2613, 236, -3104, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
13959, 2711, 312, -3111, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
13995, 2770, 137, -3164, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
14032, 2696, 197, -2969, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
14068, 2711, 80, -3115, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
14104, 2532, 246, -2997, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
14141, 2807, 190, -3249, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
14184, 2802, 383, -3111, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
14228, 2695, 222, -3090, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
14271, 2618, 228, -3160, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
14315, 2657, 257, -3267, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
14358, 2497, -389, -3144, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
14402, 2703, -348, -3049, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
14445, 2566, 224, -3144, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
14489, 2626, 248, -3126, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
14532, 2626, -65, -3098, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
14576, 2723, -46, -3150, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
