234701, 3325, -928, -2305, 93, bfad8658-3f98-4fb8-b483-e9952cd7964b, , ruku, ruku, , 
234740, 3274, -643, -2343, 93, bfad8658-3f98-4fb8-b483-e9952cd7964b, , ruku, ruku, , 
234779, 3262, -901, -2338, 93, bfad8658-3f98-4fb8-b483-e9952cd7964b, , ruku, ruku, , 
234818, 3287, -856, -2279, 93, bfad8658-3f98-4fb8-b483-e9952cd7964b, , ruku, ruku, , 
234857, 3221, -836, -2408, 93, bfad8658-3f98-4fb8-b483-e9952cd7964b, , ruku, ruku, , 
234896, 3297, -884, -2362, 93, bfad8658-3f98-4fb8-b483-e9952cd7964b, , ruku, ruku, , 
234935, 3220, -907, -2376, 93, bfad8658-3f98-4fb8-b483-e9952cd7964b, , ruku, ruku, , 
234973, 3207, -1070, -2404, 93, bfad8658-3f98-4fb8-b483-e9952cd7964b, , ruku, ruku, , 
235011, 3246, -1006, -2406, 93, bfad8658-3f98-4fb8-b483-e9952cd7964b, , ruku, ruku, , 
235049, 3212, -943, -2267, 93, bfad8658-3f98-4fb8-b483-e9952cd7964b, , ruku, ruku, , 
235087, 3270, -1102, -2381, 93, bfad8658-3f98-4fb8-b483-e9952cd7964b, , ruku, ruku, , 
235125, 3230, -789, -2384, 93, bfad8658-3f98-4fb8-b483-e9952cd7964b, , ruku, ruku, , 
235163, 3265, -1024, -2370, 93, bfad8658-3f98-4fb8-b483-e9952cd7964b, , ruku, ruku, , 
235201, 3291, -997, -2326, 93, bfad8658-3f98-4fb8-b483-e9952cd7964b, , ruku, ruku, , 
235239, 3230, -884, -2369, 93, bfad8658-3f98-4fb8-b483-e9952cd7964b, , ruku, ruku, , 
235277, 3255, -1066, -2306, 93, bfad8658-3f98-4fb8-b483-e9952cd7964b, , ruku, ruku, , 
235315, 3248, -896, -2379, 93, bfad8658-3f98-4fb8-b483-e9952cd7964b, , ruku, ruku, , 
235353, 3245, -942, -2319, 93, bfad8658-3f98-4fb8-b483-e9952cd7964b, , ruku, ruku, , 
235391, 3287, -993, -2303, 93, bfad8658-3f98-4fb8-b483-e9952cd7964b, , ruku, ruku, , 
235430, 3200, -982, -2307, 93, bfad8658-3f98-4fb8-b483-e9952cd7964b, , ruku, ruku, , 
