98153, 3078, 580, -2584, 66, 46f9246e-8a30-4eaf-ac96-7ecafaef1aaa, , ruku, ruku, , 
98194, 3191, 633, -2656, 66, 46f9246e-8a30-4eaf-ac96-7ecafaef1aaa, , ruku, ruku, , 
98235, 3066, 339, -2297, 66, 46f9246e-8a30-4eaf-ac96-7ecafaef1aaa, , ruku, ruku, , 
98270, 3052, 634, -2249, 66, 46f9246e-8a30-4eaf-ac96-7ecafaef1aaa, , ruku, ruku, , 
98306, 3246, 555, -2490, 66, 46f9246e-8a30-4eaf-ac96-7ecafaef1aaa, , ruku, ruku, , 
98342, 3514, 450, -2723, 66, 46f9246e-8a30-4eaf-ac96-7ecafaef1aaa, , ruku, ruku, , 
98378, 3413, 570, -2598, 66, 46f9246e-8a30-4eaf-ac96-7ecafaef1aaa, , ruku, ruku, , 
98414, 3312, 490, -2417, 66, 46f9246e-8a30-4eaf-ac96-7ecafaef1aaa, , ruku, ruku, , 
98450, 3237, 482, -2457, 66, 46f9246e-8a30-4eaf-ac96-7ecafaef1aaa, , ruku, ruku, , 
98486, 3140, 537, -2495, 66, 46f9246e-8a30-4eaf-ac96-7ecafaef1aaa, , ruku, ruku, , 
98522, 3211, 458, -2627, 66, 46f9246e-8a30-4eaf-ac96-7ecafaef1aaa, , ruku, ruku, , 
98558, 3172, 374, -2527, 66, 46f9246e-8a30-4eaf-ac96-7ecafaef1aaa, , ruku, ruku, , 
98594, 3196, 208, -2643, 66, 46f9246e-8a30-4eaf-ac96-7ecafaef1aaa, , ruku, ruku, , 
98630, 3150, 317, -2600, 66, 46f9246e-8a30-4eaf-ac96-7ecafaef1aaa, , ruku, ruku, , 
98673, 3140, 300, -2652, 66, 46f9246e-8a30-4eaf-ac96-7ecafaef1aaa, , ruku, ruku, , 
98717, 3230, 162, -2595, 66, 46f9246e-8a30-4eaf-ac96-7ecafaef1aaa, , ruku, ruku, , 
98761, 3194, 344, -2608, 66, 46f9246e-8a30-4eaf-ac96-7ecafaef1aaa, , ruku, ruku, , 
98804, 3226, 313, -2662, 66, 46f9246e-8a30-4eaf-ac96-7ecafaef1aaa, , ruku, ruku, , 
98848, 3128, 464, -2597, 66, 46f9246e-8a30-4eaf-ac96-7ecafaef1aaa, , ruku, ruku, , 
98892, 3189, 311, -2589, 66, 46f9246e-8a30-4eaf-ac96-7ecafaef1aaa, , ruku, ruku, , 
98935, 3170, 363, -2557, 66, 46f9246e-8a30-4eaf-ac96-7ecafaef1aaa, , ruku, ruku, , 
98979, 3160, 364, -2528, 66, 46f9246e-8a30-4eaf-ac96-7ecafaef1aaa, , ruku, ruku, , 
99023, 3183, 437, -2542, 66, 46f9246e-8a30-4eaf-ac96-7ecafaef1aaa, , ruku, ruku, , 
99067, 3187, 337, -2583, 66, 46f9246e-8a30-4eaf-ac96-7ecafaef1aaa, , ruku, ruku, , 
99102, 3206, 387, -2615, 66, 46f9246e-8a30-4eaf-ac96-7ecafaef1aaa, , ruku, ruku, , 
99138, 3189, 367, -2553, 66, 46f9246e-8a30-4eaf-ac96-7ecafaef1aaa, , ruku, ruku, , 
99174, 3262, 444, -2564, 66, 46f9246e-8a30-4eaf-ac96-7ecafaef1aaa, , ruku, ruku, , 
99209, 3371, 10, -2657, 66, 46f9246e-8a30-4eaf-ac96-7ecafaef1aaa, , ruku, ruku, , 
99245, 3279, 592, -2517, 66, 46f9246e-8a30-4eaf-ac96-7ecafaef1aaa, , ruku, ruku, , 
99281, 3304, 480, -2670, 66, 46f9246e-8a30-4eaf-ac96-7ecafaef1aaa, , ruku, ruku, , 
99316, 3167, 640, -2250, 66, 46f9246e-8a30-4eaf-ac96-7ecafaef1aaa, , ruku, ruku, , 
99352, 3344, 569, -2436, 66, 46f9246e-8a30-4eaf-ac96-7ecafaef1aaa, , ruku, ruku, , 
99388, 3366, 490, -2339, 66, 46f9246e-8a30-4eaf-ac96-7ecafaef1aaa, , ruku, ruku, , 
99424, 3398, 633, -2407, 66, 46f9246e-8a30-4eaf-ac96-7ecafaef1aaa, , ruku, ruku, , 
