71532, 3296, -1190, -2056, 60, 9065fcae-0510-47f5-87a5-5b1aa5371743, , ruku, ruku, , 
71571, 3253, -1381, -2121, 60, 9065fcae-0510-47f5-87a5-5b1aa5371743, , ruku, ruku, , 
71608, 3269, -1325, -2139, 60, 9065fcae-0510-47f5-87a5-5b1aa5371743, , ruku, ruku, , 
71646, 3336, -1211, -2117, 60, 9065fcae-0510-47f5-87a5-5b1aa5371743, , ruku, ruku, , 
71683, 3387, -1269, -2066, 60, 9065fcae-0510-47f5-87a5-5b1aa5371743, , ruku, ruku, , 
71721, 3422, -1205, -1974, 60, 9065fcae-0510-47f5-87a5-5b1aa5371743, , ruku, ruku, , 
71759, 3437, -1177, -1975, 60, 9065fcae-0510-47f5-87a5-5b1aa5371743, , ruku, ruku, , 
71796, 3426, -1172, -2038, 60, 9065fcae-0510-47f5-87a5-5b1aa5371743, , ruku, ruku, , 
71834, 3425, -1209, -2034, 60, 9065fcae-0510-47f5-87a5-5b1aa5371743, , ruku, ruku, , 
71871, 3399, -1131, -1996, 60, 9065fcae-0510-47f5-87a5-5b1aa5371743, , ruku, ruku, , 
71909, 3413, -1182, -1991, 60, 9065fcae-0510-47f5-87a5-5b1aa5371743, , ruku, ruku, , 
71947, 3414, -1146, -2034, 60, 9065fcae-0510-47f5-87a5-5b1aa5371743, , ruku, ruku, , 
71985, 3360, -1104, -2007, 60, 9065fcae-0510-47f5-87a5-5b1aa5371743, , ruku, ruku, , 
72023, 3397, -1097, -2032, 60, 9065fcae-0510-47f5-87a5-5b1aa5371743, , ruku, ruku, , 
72062, 3414, -1114, -2059, 60, 9065fcae-0510-47f5-87a5-5b1aa5371743, , ruku, ruku, , 
72100, 3413, -1096, -2035, 60, 9065fcae-0510-47f5-87a5-5b1aa5371743, , ruku, ruku, , 
72138, 3428, -1093, -2059, 60, 9065fcae-0510-47f5-87a5-5b1aa5371743, , ruku, ruku, , 
72177, 3477, -1079, -2031, 60, 9065fcae-0510-47f5-87a5-5b1aa5371743, , ruku, ruku, , 
72215, 3439, -1023, -2058, 60, 9065fcae-0510-47f5-87a5-5b1aa5371743, , ruku, ruku, , 
72253, 3428, -1046, -2029, 60, 9065fcae-0510-47f5-87a5-5b1aa5371743, , ruku, ruku, , 
72292, 3430, -1069, -2066, 60, 9065fcae-0510-47f5-87a5-5b1aa5371743, , ruku, ruku, , 
72330, 3403, -1045, -2052, 60, 9065fcae-0510-47f5-87a5-5b1aa5371743, , ruku, ruku, , 
72369, 3450, -1003, -2028, 60, 9065fcae-0510-47f5-87a5-5b1aa5371743, , ruku, ruku, , 
72407, 3428, -1044, -2010, 60, 9065fcae-0510-47f5-87a5-5b1aa5371743, , ruku, ruku, , 
72446, 3464, -1064, -1987, 60, 9065fcae-0510-47f5-87a5-5b1aa5371743, , ruku, ruku, , 
72485, 3427, -1064, -1980, 60, 9065fcae-0510-47f5-87a5-5b1aa5371743, , ruku, ruku, , 
72523, 3455, -1057, -2007, 60, 9065fcae-0510-47f5-87a5-5b1aa5371743, , ruku, ruku, , 
