265108, 3581, -418, -1979, 75, e10d4d39-f288-4008-9e6f-f80709457ab5, , ruku, ruku, , 
265143, 3616, -579, -2099, 75, e10d4d39-f288-4008-9e6f-f80709457ab5, , ruku, ruku, , 
265179, 3664, -770, -1865, 75, e10d4d39-f288-4008-9e6f-f80709457ab5, , ruku, ruku, , 
265214, 3619, -851, -1901, 75, e10d4d39-f288-4008-9e6f-f80709457ab5, , ruku, ruku, , 
265250, 3638, -621, -1880, 75, e10d4d39-f288-4008-9e6f-f80709457ab5, , ruku, ruku, , 
265286, 3551, -532, -1998, 75, e10d4d39-f288-4008-9e6f-f80709457ab5, , ruku, ruku, , 
265328, 3560, -564, -1952, 74, e10d4d39-f288-4008-9e6f-f80709457ab5, , ruku, ruku, , 
265370, 3595, -496, -1843, 74, e10d4d39-f288-4008-9e6f-f80709457ab5, , ruku, ruku, , 
265412, 3731, -541, -1876, 74, e10d4d39-f288-4008-9e6f-f80709457ab5, , ruku, ruku, , 
265454, 3768, -577, -1851, 74, e10d4d39-f288-4008-9e6f-f80709457ab5, , ruku, ruku, , 
265497, 3672, -548, -1857, 74, e10d4d39-f288-4008-9e6f-f80709457ab5, , ruku, ruku, , 
265539, 3572, -417, -1872, 74, e10d4d39-f288-4008-9e6f-f80709457ab5, , ruku, ruku, , 
265581, 3566, -451, -1861, 74, e10d4d39-f288-4008-9e6f-f80709457ab5, , ruku, ruku, , 
265623, 3637, -485, -1870, 74, e10d4d39-f288-4008-9e6f-f80709457ab5, , ruku, ruku, , 
265665, 3636, -473, -1884, 74, e10d4d39-f288-4008-9e6f-f80709457ab5, , ruku, ruku, , 
265708, 3631, -510, -1932, 74, e10d4d39-f288-4008-9e6f-f80709457ab5, , ruku, ruku, , 
265748, 3607, -512, -1898, 74, e10d4d39-f288-4008-9e6f-f80709457ab5, , ruku, ruku, , 
265789, 3682, -493, -1907, 74, e10d4d39-f288-4008-9e6f-f80709457ab5, , ruku, ruku, , 
265830, 3634, -459, -1828, 74, e10d4d39-f288-4008-9e6f-f80709457ab5, , ruku, ruku, , 
265871, 3659, -496, -1900, 74, e10d4d39-f288-4008-9e6f-f80709457ab5, , ruku, ruku, , 
265912, 3751, -423, -2101, 74, e10d4d39-f288-4008-9e6f-f80709457ab5, , ruku, ruku, , 
265952, 3647, -497, -1903, 74, e10d4d39-f288-4008-9e6f-f80709457ab5, , ruku, ruku, , 
265993, 3633, -469, -1898, 74, e10d4d39-f288-4008-9e6f-f80709457ab5, , ruku, ruku, , 
266034, 3586, -496, -1928, 74, e10d4d39-f288-4008-9e6f-f80709457ab5, , ruku, ruku, , 
266075, 3605, -406, -1936, 74, e10d4d39-f288-4008-9e6f-f80709457ab5, , ruku, ruku, , 
266116, 3613, -426, -1915, 74, e10d4d39-f288-4008-9e6f-f80709457ab5, , ruku, ruku, , 
266157, 3646, -454, -1919, 74, e10d4d39-f288-4008-9e6f-f80709457ab5, , ruku, ruku, , 
266195, 3637, -476, -1906, 74, e10d4d39-f288-4008-9e6f-f80709457ab5, , ruku, ruku, , 
266234, 3653, -456, -1891, 74, e10d4d39-f288-4008-9e6f-f80709457ab5, , ruku, ruku, , 
266272, 3615, -479, -1951, 74, e10d4d39-f288-4008-9e6f-f80709457ab5, , ruku, ruku, , 
266311, 3572, -486, -1887, 74, e10d4d39-f288-4008-9e6f-f80709457ab5, , ruku, ruku, , 
266349, 3627, -476, -1917, 74, e10d4d39-f288-4008-9e6f-f80709457ab5, , ruku, ruku, , 
266388, 3621, -515, -1933, 74, e10d4d39-f288-4008-9e6f-f80709457ab5, , ruku, ruku, , 
266426, 3617, -490, -1885, 74, e10d4d39-f288-4008-9e6f-f80709457ab5, , ruku, ruku, , 
266465, 3606, -481, -1898, 74, e10d4d39-f288-4008-9e6f-f80709457ab5, , ruku, ruku, , 
266503, 3649, -484, -1950, 74, e10d4d39-f288-4008-9e6f-f80709457ab5, , ruku, ruku, , 
266542, 3614, -508, -1868, 74, e10d4d39-f288-4008-9e6f-f80709457ab5, , ruku, ruku, , 
266578, 3640, -496, -1905, 74, e10d4d39-f288-4008-9e6f-f80709457ab5, , ruku, ruku, , 
266615, 3597, -541, -1891, 74, e10d4d39-f288-4008-9e6f-f80709457ab5, , ruku, ruku, , 
266652, 3605, -521, -1944, 74, e10d4d39-f288-4008-9e6f-f80709457ab5, , ruku, ruku, , 
266688, 3613, -490, -1900, 74, e10d4d39-f288-4008-9e6f-f80709457ab5, , ruku, ruku, , 
266725, 3601, -483, -1924, 74, e10d4d39-f288-4008-9e6f-f80709457ab5, , ruku, ruku, , 
266762, 3628, -481, -1880, 74, e10d4d39-f288-4008-9e6f-f80709457ab5, , ruku, ruku, , 
266798, 3636, -512, -1919, 74, e10d4d39-f288-4008-9e6f-f80709457ab5, , ruku, ruku, , 
266835, 3632, -507, -1869, 74, e10d4d39-f288-4008-9e6f-f80709457ab5, , ruku, ruku, , 
266872, 3624, -509, -1872, 74, e10d4d39-f288-4008-9e6f-f80709457ab5, , ruku, ruku, , 
266909, 3615, -515, -1896, 74, e10d4d39-f288-4008-9e6f-f80709457ab5, , ruku, ruku, , 
266943, 3483, -545, -1979, 74, e10d4d39-f288-4008-9e6f-f80709457ab5, , ruku, ruku, , 
266978, 3941, -341, -1785, 74, e10d4d39-f288-4008-9e6f-f80709457ab5, , ruku, ruku, , 
267013, 3640, -525, -1897, 74, e10d4d39-f288-4008-9e6f-f80709457ab5, , ruku, ruku, , 
267048, 3657, -509, -1922, 74, e10d4d39-f288-4008-9e6f-f80709457ab5, , ruku, ruku, , 
267083, 3610, -533, -1919, 74, e10d4d39-f288-4008-9e6f-f80709457ab5, , ruku, ruku, , 
267117, 3653, -538, -1873, 74, e10d4d39-f288-4008-9e6f-f80709457ab5, , ruku, ruku, , 
267152, 3432, -533, -1902, 74, e10d4d39-f288-4008-9e6f-f80709457ab5, , ruku, ruku, , 
267187, 3646, -584, -1923, 74, e10d4d39-f288-4008-9e6f-f80709457ab5, , ruku, ruku, , 
267222, 3638, -497, -1905, 74, e10d4d39-f288-4008-9e6f-f80709457ab5, , ruku, ruku, , 
267257, 3646, -511, -1873, 74, e10d4d39-f288-4008-9e6f-f80709457ab5, , ruku, ruku, , 
267292, 3637, -544, -1868, 74, e10d4d39-f288-4008-9e6f-f80709457ab5, , ruku, ruku, , 
267331, 3628, -568, -1869, 74, e10d4d39-f288-4008-9e6f-f80709457ab5, , ruku, ruku, , 
267370, 3597, -542, -1873, 74, e10d4d39-f288-4008-9e6f-f80709457ab5, , ruku, ruku, , 
267410, 3615, -518, -1928, 74, e10d4d39-f288-4008-9e6f-f80709457ab5, , ruku, ruku, , 
267449, 3605, -542, -1891, 74, e10d4d39-f288-4008-9e6f-f80709457ab5, , ruku, ruku, , 
267489, 3623, -543, -1899, 74, e10d4d39-f288-4008-9e6f-f80709457ab5, , ruku, ruku, , 
267528, 3618, -548, -1875, 74, e10d4d39-f288-4008-9e6f-f80709457ab5, , ruku, ruku, , 
267567, 3656, -554, -1884, 74, e10d4d39-f288-4008-9e6f-f80709457ab5, , ruku, ruku, , 
267607, 3688, -566, -1855, 74, e10d4d39-f288-4008-9e6f-f80709457ab5, , ruku, ruku, , 
267646, 3820, -505, -1790, 74, e10d4d39-f288-4008-9e6f-f80709457ab5, , ruku, ruku, , 
267686, 3744, -526, -1782, 74, e10d4d39-f288-4008-9e6f-f80709457ab5, , ruku, ruku, , 
267728, 3873, -508, -1746, 74, e10d4d39-f288-4008-9e6f-f80709457ab5, , ruku, ruku, , 
267770, 3964, -568, -1672, 74, e10d4d39-f288-4008-9e6f-f80709457ab5, , ruku, ruku, , 
267813, 3872, -630, -1721, 74, e10d4d39-f288-4008-9e6f-f80709457ab5, , ruku, ruku, , 
