85475, 3737, -640, -2590, 107, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
85515, 4040, -1286, -2531, 107, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
85554, 3722, -895, -2629, 107, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
85594, 3463, -1543, -2826, 107, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
85634, 3217, -783, -2842, 107, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
85671, 3514, -1073, -2915, 107, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
85708, 3072, -1043, -2867, 107, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
85745, 2941, -1041, -2551, 107, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
85782, 2828, -770, -2503, 107, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
85819, 2682, -1056, -2836, 107, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
85856, 2723, -1090, -2777, 107, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
85893, 2856, -1225, -2720, 107, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
85930, 2806, -1239, -2539, 107, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
85967, 2900, -1176, -2611, 107, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
86005, 2756, -1225, -2695, 107, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
86042, 2887, -1320, -2700, 107, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
86080, 2649, -1166, -2855, 107, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
86118, 2841, -1691, -2948, 107, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
86156, 3010, -1644, -3242, 107, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
86194, 2819, -1660, -2771, 107, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
86231, 2696, -1571, -2485, 107, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
86269, 2636, -1491, -2374, 107, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
86307, 2532, -1344, -2986, 107, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
86345, 2608, -1620, -3035, 107, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
86383, 2708, -1288, -2780, 107, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
