231934, 3416, -262, -2461, 99, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
231970, 3346, -604, -2259, 99, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
232007, 3398, -219, -2180, 99, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
232044, 3399, -319, -2256, 99, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
232080, 3416, -331, -2321, 99, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
232117, 3401, -357, -2293, 99, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
232154, 3413, -318, -2250, 99, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
232191, 3435, -310, -2271, 99, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
232227, 3447, -315, -2212, 99, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
232264, 3434, -404, -2213, 99, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
232301, 3367, -355, -2247, 99, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
232338, 3511, -219, -2198, 99, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
232382, 3506, -239, -2193, 99, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
232427, 3449, -345, -2320, 99, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
232472, 3448, -295, -2343, 99, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
232517, 3409, -352, -2203, 99, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
232562, 3410, -340, -2214, 99, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
232606, 3389, -376, -2282, 99, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
232651, 3458, -383, -2283, 99, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
232696, 3491, -331, -2167, 99, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
232741, 3457, -310, -2235, 99, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
232786, 3406, -275, -2264, 99, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
232821, 3424, -366, -2236, 99, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
232857, 3446, -348, -2222, 99, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
232893, 3438, -346, -2252, 99, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
232929, 3438, -348, -2242, 99, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
232965, 3446, -340, -2216, 99, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
233000, 3423, -312, -2230, 99, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
233036, 3428, -366, -2261, 99, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
233072, 3449, -342, -2226, 99, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
233108, 3448, -370, -2212, 99, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
233144, 3462, -344, -2212, 99, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
233179, 3451, -345, -2212, 99, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
233215, 3481, -384, -2196, 99, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
233251, 3417, -326, -2245, 99, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
233287, 3453, -403, -2196, 99, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
233323, 3464, -335, -2212, 99, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
233359, 3453, -331, -2194, 99, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
233395, 3463, -352, -2213, 99, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
233431, 3475, -387, -2191, 99, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
233467, 3434, -405, -2172, 99, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
233503, 3444, -365, -2261, 99, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
233539, 3446, -381, -2247, 99, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
233579, 3439, -312, -2190, 99, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
233619, 3456, -373, -2214, 99, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
233659, 3467, -401, -2206, 99, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
233699, 3464, -411, -2176, 99, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
233739, 3498, -398, -2151, 99, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
233779, 3447, -362, -2183, 99, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
233819, 3469, -327, -2207, 99, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
233859, 3453, -342, -2183, 99, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
233899, 3485, -387, -2158, 99, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
233940, 3459, -400, -2171, 99, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
233980, 3475, -367, -2203, 99, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
234020, 3464, -377, -2164, 99, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
234060, 3463, -343, -2161, 99, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
234100, 3471, -399, -2152, 99, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
234140, 3496, -361, -2158, 99, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
234180, 3479, -344, -2141, 99, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
234220, 3477, -349, -2156, 99, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
234260, 3488, -326, -2182, 99, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
234300, 3460, -381, -2170, 99, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
234341, 3486, -353, -2171, 99, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
234376, 3474, -329, -2171, 98, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
234412, 3508, -387, -2167, 98, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
234448, 3505, -325, -2135, 98, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
234484, 3485, -304, -2151, 98, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
234520, 3467, -337, -2170, 98, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
234555, 3477, -369, -2155, 98, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
