83691, 3508, 1010, -1811, 68, 39fb7e86-761f-4cd5-b783-09d84fe14e8c, , ruku, ruku, , 
83725, 3701, 1168, -1876, 68, 39fb7e86-761f-4cd5-b783-09d84fe14e8c, , ruku, ruku, , 
83760, 3587, 1018, -1905, 68, 39fb7e86-761f-4cd5-b783-09d84fe14e8c, , ruku, ruku, , 
83794, 3929, 1056, -1835, 68, 39fb7e86-761f-4cd5-b783-09d84fe14e8c, , ruku, ruku, , 
83828, 3868, 1034, -1819, 68, 39fb7e86-761f-4cd5-b783-09d84fe14e8c, , ruku, ruku, , 
83863, 3653, 1231, -1892, 68, 39fb7e86-761f-4cd5-b783-09d84fe14e8c, , ruku, ruku, , 
83905, 3218, 1677, -2057, 68, 39fb7e86-761f-4cd5-b783-09d84fe14e8c, , ruku, ruku, , 
83947, 2858, 1330, -2194, 68, 39fb7e86-761f-4cd5-b783-09d84fe14e8c, , ruku, ruku, , 
83989, 3178, 1380, -2036, 68, 39fb7e86-761f-4cd5-b783-09d84fe14e8c, , ruku, ruku, , 
84031, 3419, 1318, -2118, 68, 39fb7e86-761f-4cd5-b783-09d84fe14e8c, , ruku, ruku, , 
84073, 3423, 1422, -2155, 68, 39fb7e86-761f-4cd5-b783-09d84fe14e8c, , ruku, ruku, , 
84115, 3240, 1124, -2314, 68, 39fb7e86-761f-4cd5-b783-09d84fe14e8c, , ruku, ruku, , 
84157, 3290, 1501, -2208, 68, 39fb7e86-761f-4cd5-b783-09d84fe14e8c, , ruku, ruku, , 
84199, 3158, 1597, -2159, 68, 39fb7e86-761f-4cd5-b783-09d84fe14e8c, , ruku, ruku, , 
84241, 3100, 1753, -2115, 68, 39fb7e86-761f-4cd5-b783-09d84fe14e8c, , ruku, ruku, , 
84283, 3043, 1810, -2230, 68, 39fb7e86-761f-4cd5-b783-09d84fe14e8c, , ruku, ruku, , 
84318, 3083, 1831, -2176, 68, 39fb7e86-761f-4cd5-b783-09d84fe14e8c, , ruku, ruku, , 
84353, 3095, 1588, -2196, 68, 39fb7e86-761f-4cd5-b783-09d84fe14e8c, , ruku, ruku, , 
84388, 3087, 1451, -2220, 68, 39fb7e86-761f-4cd5-b783-09d84fe14e8c, , ruku, ruku, , 
84423, 3053, 1405, -2264, 68, 39fb7e86-761f-4cd5-b783-09d84fe14e8c, , ruku, ruku, , 
84458, 3092, 1325, -2258, 68, 39fb7e86-761f-4cd5-b783-09d84fe14e8c, , ruku, ruku, , 
84493, 3033, 1452, -2293, 68, 39fb7e86-761f-4cd5-b783-09d84fe14e8c, , ruku, ruku, , 
84528, 3063, 1491, -2172, 68, 39fb7e86-761f-4cd5-b783-09d84fe14e8c, , ruku, ruku, , 
84563, 3092, 1357, -2216, 68, 39fb7e86-761f-4cd5-b783-09d84fe14e8c, , ruku, ruku, , 
84598, 3325, 1287, -2162, 68, 39fb7e86-761f-4cd5-b783-09d84fe14e8c, , ruku, ruku, , 
84633, 3202, 1132, -2234, 68, 39fb7e86-761f-4cd5-b783-09d84fe14e8c, , ruku, ruku, , 
84668, 3236, 1391, -2172, 68, 39fb7e86-761f-4cd5-b783-09d84fe14e8c, , ruku, ruku, , 
84707, 3171, 1279, -2203, 68, 39fb7e86-761f-4cd5-b783-09d84fe14e8c, , ruku, ruku, , 
84747, 3240, 1245, -2187, 68, 39fb7e86-761f-4cd5-b783-09d84fe14e8c, , ruku, ruku, , 
84786, 3239, 1214, -2234, 68, 39fb7e86-761f-4cd5-b783-09d84fe14e8c, , ruku, ruku, , 
84826, 3245, 1188, -2219, 68, 39fb7e86-761f-4cd5-b783-09d84fe14e8c, , ruku, ruku, , 
84865, 3251, 1224, -2290, 68, 39fb7e86-761f-4cd5-b783-09d84fe14e8c, , ruku, ruku, , 
84905, 3268, 1112, -2270, 68, 39fb7e86-761f-4cd5-b783-09d84fe14e8c, , ruku, ruku, , 
84944, 3232, 1106, -2265, 68, 39fb7e86-761f-4cd5-b783-09d84fe14e8c, , ruku, ruku, , 
84984, 3201, 1205, -2303, 68, 39fb7e86-761f-4cd5-b783-09d84fe14e8c, , ruku, ruku, , 
85023, 3194, 1168, -2221, 68, 39fb7e86-761f-4cd5-b783-09d84fe14e8c, , ruku, ruku, , 
85063, 3242, 1170, -2276, 68, 39fb7e86-761f-4cd5-b783-09d84fe14e8c, , ruku, ruku, , 
85103, 3278, 1136, -2231, 68, 39fb7e86-761f-4cd5-b783-09d84fe14e8c, , ruku, ruku, , 
85143, 3391, 1137, -2238, 68, 39fb7e86-761f-4cd5-b783-09d84fe14e8c, , ruku, ruku, , 
85183, 3324, 1179, -2246, 68, 39fb7e86-761f-4cd5-b783-09d84fe14e8c, , ruku, ruku, , 
85224, 3194, 1201, -2212, 68, 39fb7e86-761f-4cd5-b783-09d84fe14e8c, , ruku, ruku, , 
85264, 3222, 1294, -2148, 68, 39fb7e86-761f-4cd5-b783-09d84fe14e8c, , ruku, ruku, , 
