56970, 3410, -861, -1783, 49, 5c408a6c-2fd3-4733-9765-7a644defb577, , ruku, ruku, , 
57014, 3547, -924, -1975, 49, 5c408a6c-2fd3-4733-9765-7a644defb577, , ruku, ruku, , 
57057, 3705, -982, -1971, 49, 5c408a6c-2fd3-4733-9765-7a644defb577, , ruku, ruku, , 
57101, 3631, -1014, -1991, 49, 5c408a6c-2fd3-4733-9765-7a644defb577, , ruku, ruku, , 
57144, 3563, -592, -1719, 49, 5c408a6c-2fd3-4733-9765-7a644defb577, , ruku, ruku, , 
57188, 3563, -648, -2056, 49, 5c408a6c-2fd3-4733-9765-7a644defb577, , ruku, ruku, , 
57231, 3585, -919, -2053, 49, 5c408a6c-2fd3-4733-9765-7a644defb577, , ruku, ruku, , 
57275, 3582, -1010, -2003, 49, 5c408a6c-2fd3-4733-9765-7a644defb577, , ruku, ruku, , 
57306, 3575, -1048, -2065, 49, 5c408a6c-2fd3-4733-9765-7a644defb577, , ruku, ruku, , 
57338, 3462, -880, -2055, 49, 5c408a6c-2fd3-4733-9765-7a644defb577, , ruku, ruku, , 
57370, 3500, -1033, -2038, 49, 5c408a6c-2fd3-4733-9765-7a644defb577, , ruku, ruku, , 
57401, 3418, -1005, -2035, 49, 5c408a6c-2fd3-4733-9765-7a644defb577, , ruku, ruku, , 
57433, 3510, -1040, -1957, 49, 5c408a6c-2fd3-4733-9765-7a644defb577, , ruku, ruku, , 
57465, 3424, -901, -2040, 49, 5c408a6c-2fd3-4733-9765-7a644defb577, , ruku, ruku, , 
57497, 3377, -934, -2096, 49, 5c408a6c-2fd3-4733-9765-7a644defb577, , ruku, ruku, , 
57528, 3385, -1006, -2059, 49, 5c408a6c-2fd3-4733-9765-7a644defb577, , ruku, ruku, , 
57560, 3382, -1133, -2056, 49, 5c408a6c-2fd3-4733-9765-7a644defb577, , ruku, ruku, , 
57592, 3341, -1297, -1972, 49, 5c408a6c-2fd3-4733-9765-7a644defb577, , ruku, ruku, , 
57624, 3431, -1430, -1991, 49, 5c408a6c-2fd3-4733-9765-7a644defb577, , ruku, ruku, , 
57665, 3490, -1420, -2005, 49, 5c408a6c-2fd3-4733-9765-7a644defb577, , ruku, ruku, , 
57707, 3453, -1161, -2106, 49, 5c408a6c-2fd3-4733-9765-7a644defb577, , ruku, ruku, , 
57748, 3359, -1126, -2065, 49, 5c408a6c-2fd3-4733-9765-7a644defb577, , ruku, ruku, , 
