140955, 3490, -219, -2331, 90, c2ec39f3-53cc-4ac6-b6e2-6ceddef91e93, , ruku, ruku, , 
140995, 3475, -345, -2390, 90, c2ec39f3-53cc-4ac6-b6e2-6ceddef91e93, , ruku, ruku, , 
141035, 3291, -188, -2395, 90, c2ec39f3-53cc-4ac6-b6e2-6ceddef91e93, , ruku, ruku, , 
141075, 3195, -84, -2451, 90, c2ec39f3-53cc-4ac6-b6e2-6ceddef91e93, , ruku, ruku, , 
141115, 3176, -152, -2531, 90, c2ec39f3-53cc-4ac6-b6e2-6ceddef91e93, , ruku, ruku, , 
141155, 3176, -196, -2474, 90, c2ec39f3-53cc-4ac6-b6e2-6ceddef91e93, , ruku, ruku, , 
141195, 3241, -74, -2406, 90, c2ec39f3-53cc-4ac6-b6e2-6ceddef91e93, , ruku, ruku, , 
141235, 3411, -95, -2447, 90, c2ec39f3-53cc-4ac6-b6e2-6ceddef91e93, , ruku, ruku, , 
141272, 3356, -196, -2413, 92, c2ec39f3-53cc-4ac6-b6e2-6ceddef91e93, , ruku, ruku, , 
141309, 3370, -190, -2406, 92, c2ec39f3-53cc-4ac6-b6e2-6ceddef91e93, , ruku, ruku, , 
141346, 3338, -140, -2455, 92, c2ec39f3-53cc-4ac6-b6e2-6ceddef91e93, , ruku, ruku, , 
141383, 3323, -147, -2438, 92, c2ec39f3-53cc-4ac6-b6e2-6ceddef91e93, , ruku, ruku, , 
141420, 3297, -109, -2467, 92, c2ec39f3-53cc-4ac6-b6e2-6ceddef91e93, , ruku, ruku, , 
141457, 3310, -178, -2431, 92, c2ec39f3-53cc-4ac6-b6e2-6ceddef91e93, , ruku, ruku, , 
141494, 3278, -191, -2520, 92, c2ec39f3-53cc-4ac6-b6e2-6ceddef91e93, , ruku, ruku, , 
141531, 3265, -171, -2476, 92, c2ec39f3-53cc-4ac6-b6e2-6ceddef91e93, , ruku, ruku, , 
141568, 3301, -182, -2465, 92, c2ec39f3-53cc-4ac6-b6e2-6ceddef91e93, , ruku, ruku, , 
141605, 3258, -151, -2506, 92, c2ec39f3-53cc-4ac6-b6e2-6ceddef91e93, , ruku, ruku, , 
141642, 3314, -198, -2454, 92, c2ec39f3-53cc-4ac6-b6e2-6ceddef91e93, , ruku, ruku, , 
141678, 3246, -165, -2480, 92, c2ec39f3-53cc-4ac6-b6e2-6ceddef91e93, , ruku, ruku, , 
141715, 3265, -187, -2461, 92, c2ec39f3-53cc-4ac6-b6e2-6ceddef91e93, , ruku, ruku, , 
141752, 3334, -149, -2473, 92, c2ec39f3-53cc-4ac6-b6e2-6ceddef91e93, , ruku, ruku, , 
141788, 3284, -147, -2521, 92, c2ec39f3-53cc-4ac6-b6e2-6ceddef91e93, , ruku, ruku, , 
141825, 3255, -220, -2478, 92, c2ec39f3-53cc-4ac6-b6e2-6ceddef91e93, , ruku, ruku, , 
141862, 3267, -195, -2529, 92, c2ec39f3-53cc-4ac6-b6e2-6ceddef91e93, , ruku, ruku, , 
141898, 3266, -194, -2506, 92, c2ec39f3-53cc-4ac6-b6e2-6ceddef91e93, , ruku, ruku, , 
141935, 3227, -131, -2470, 92, c2ec39f3-53cc-4ac6-b6e2-6ceddef91e93, , ruku, ruku, , 
141972, 3265, -188, -2521, 92, c2ec39f3-53cc-4ac6-b6e2-6ceddef91e93, , ruku, ruku, , 
142009, 3299, -203, -2465, 92, c2ec39f3-53cc-4ac6-b6e2-6ceddef91e93, , ruku, ruku, , 
142047, 3240, -147, -2480, 92, c2ec39f3-53cc-4ac6-b6e2-6ceddef91e93, , ruku, ruku, , 
142086, 3270, -158, -2514, 92, c2ec39f3-53cc-4ac6-b6e2-6ceddef91e93, , ruku, ruku, , 
142124, 3255, -207, -2495, 92, c2ec39f3-53cc-4ac6-b6e2-6ceddef91e93, , ruku, ruku, , 
142163, 3238, -188, -2501, 92, c2ec39f3-53cc-4ac6-b6e2-6ceddef91e93, , ruku, ruku, , 
142202, 3205, -197, -2521, 92, c2ec39f3-53cc-4ac6-b6e2-6ceddef91e93, , ruku, ruku, , 
142240, 3274, -169, -2474, 92, c2ec39f3-53cc-4ac6-b6e2-6ceddef91e93, , ruku, ruku, , 
142279, 3253, -195, -2498, 92, c2ec39f3-53cc-4ac6-b6e2-6ceddef91e93, , ruku, ruku, , 
142318, 3230, -196, -2506, 92, c2ec39f3-53cc-4ac6-b6e2-6ceddef91e93, , ruku, ruku, , 
142356, 3261, -192, -2523, 92, c2ec39f3-53cc-4ac6-b6e2-6ceddef91e93, , ruku, ruku, , 
142395, 3261, -205, -2491, 92, c2ec39f3-53cc-4ac6-b6e2-6ceddef91e93, , ruku, ruku, , 
142434, 3287, -182, -2568, 92, c2ec39f3-53cc-4ac6-b6e2-6ceddef91e93, , ruku, ruku, , 
