109624, 3257, -297, -2127, 73, 57e19c2e-e215-4dd2-b057-4d8a254c9dfd, , ruku, ruku, , 
109662, 3235, -210, -2264, 73, 57e19c2e-e215-4dd2-b057-4d8a254c9dfd, , ruku, ruku, , 
109700, 3413, -487, -2439, 73, 57e19c2e-e215-4dd2-b057-4d8a254c9dfd, , ruku, ruku, , 
109738, 3599, 16, -2555, 73, 57e19c2e-e215-4dd2-b057-4d8a254c9dfd, , ruku, ruku, , 
109776, 3465, -80, -2531, 73, 57e19c2e-e215-4dd2-b057-4d8a254c9dfd, , ruku, ruku, , 
109815, 3596, -67, -2355, 73, 57e19c2e-e215-4dd2-b057-4d8a254c9dfd, , ruku, ruku, , 
109853, 3414, 36, -2304, 73, 57e19c2e-e215-4dd2-b057-4d8a254c9dfd, , ruku, ruku, , 
109891, 3447, -96, -2413, 73, 57e19c2e-e215-4dd2-b057-4d8a254c9dfd, , ruku, ruku, , 
109929, 3474, -187, -2367, 73, 57e19c2e-e215-4dd2-b057-4d8a254c9dfd, , ruku, ruku, , 
109967, 3323, -113, -2472, 73, 57e19c2e-e215-4dd2-b057-4d8a254c9dfd, , ruku, ruku, , 
110006, 3257, -136, -2466, 73, 57e19c2e-e215-4dd2-b057-4d8a254c9dfd, , ruku, ruku, , 
110045, 3182, -333, -2473, 73, 57e19c2e-e215-4dd2-b057-4d8a254c9dfd, , ruku, ruku, , 
110084, 3125, -265, -2524, 73, 57e19c2e-e215-4dd2-b057-4d8a254c9dfd, , ruku, ruku, , 
110123, 3180, -227, -2621, 73, 57e19c2e-e215-4dd2-b057-4d8a254c9dfd, , ruku, ruku, , 
110162, 3178, -389, -2586, 73, 57e19c2e-e215-4dd2-b057-4d8a254c9dfd, , ruku, ruku, , 
110202, 3160, -543, -2507, 73, 57e19c2e-e215-4dd2-b057-4d8a254c9dfd, , ruku, ruku, , 
110241, 3191, -405, -2482, 73, 57e19c2e-e215-4dd2-b057-4d8a254c9dfd, , ruku, ruku, , 
110280, 3252, -406, -2561, 73, 57e19c2e-e215-4dd2-b057-4d8a254c9dfd, , ruku, ruku, , 
110319, 3280, -473, -2513, 73, 57e19c2e-e215-4dd2-b057-4d8a254c9dfd, , ruku, ruku, , 
110358, 3228, -355, -2517, 73, 57e19c2e-e215-4dd2-b057-4d8a254c9dfd, , ruku, ruku, , 
110398, 3172, -345, -2590, 73, 57e19c2e-e215-4dd2-b057-4d8a254c9dfd, , ruku, ruku, , 
110436, 3219, -471, -2559, 73, 57e19c2e-e215-4dd2-b057-4d8a254c9dfd, , ruku, ruku, , 
110475, 3151, -344, -2578, 73, 57e19c2e-e215-4dd2-b057-4d8a254c9dfd, , ruku, ruku, , 
110514, 3186, -429, -2595, 73, 57e19c2e-e215-4dd2-b057-4d8a254c9dfd, , ruku, ruku, , 
110553, 3207, -471, -2556, 73, 57e19c2e-e215-4dd2-b057-4d8a254c9dfd, , ruku, ruku, , 
110592, 3182, -361, -2569, 73, 57e19c2e-e215-4dd2-b057-4d8a254c9dfd, , ruku, ruku, , 
110630, 3162, -366, -2580, 73, 57e19c2e-e215-4dd2-b057-4d8a254c9dfd, , ruku, ruku, , 
110669, 3171, -384, -2559, 73, 57e19c2e-e215-4dd2-b057-4d8a254c9dfd, , ruku, ruku, , 
110708, 3199, -450, -2577, 73, 57e19c2e-e215-4dd2-b057-4d8a254c9dfd, , ruku, ruku, , 
110747, 3190, -473, -2559, 73, 57e19c2e-e215-4dd2-b057-4d8a254c9dfd, , ruku, ruku, , 
110786, 3187, -436, -2594, 73, 57e19c2e-e215-4dd2-b057-4d8a254c9dfd, , ruku, ruku, , 
110823, 3152, -452, -2576, 73, 57e19c2e-e215-4dd2-b057-4d8a254c9dfd, , ruku, ruku, , 
110860, 3151, -418, -2565, 73, 57e19c2e-e215-4dd2-b057-4d8a254c9dfd, , ruku, ruku, , 
110897, 3171, -450, -2606, 73, 57e19c2e-e215-4dd2-b057-4d8a254c9dfd, , ruku, ruku, , 
110935, 3198, -432, -2578, 73, 57e19c2e-e215-4dd2-b057-4d8a254c9dfd, , ruku, ruku, , 
110972, 3170, -415, -2563, 73, 57e19c2e-e215-4dd2-b057-4d8a254c9dfd, , ruku, ruku, , 
111009, 3181, -445, -2584, 73, 57e19c2e-e215-4dd2-b057-4d8a254c9dfd, , ruku, ruku, , 
111046, 3177, -456, -2564, 73, 57e19c2e-e215-4dd2-b057-4d8a254c9dfd, , ruku, ruku, , 
111084, 3161, -464, -2581, 73, 57e19c2e-e215-4dd2-b057-4d8a254c9dfd, , ruku, ruku, , 
111121, 3168, -426, -2580, 73, 57e19c2e-e215-4dd2-b057-4d8a254c9dfd, , ruku, ruku, , 
111158, 3210, -444, -2564, 73, 57e19c2e-e215-4dd2-b057-4d8a254c9dfd, , ruku, ruku, , 
111196, 3178, -446, -2596, 73, 57e19c2e-e215-4dd2-b057-4d8a254c9dfd, , ruku, ruku, , 
111236, 3171, -407, -2530, 73, 57e19c2e-e215-4dd2-b057-4d8a254c9dfd, , ruku, ruku, , 
111277, 3196, -436, -2549, 73, 57e19c2e-e215-4dd2-b057-4d8a254c9dfd, , ruku, ruku, , 
111318, 3200, -392, -2554, 73, 57e19c2e-e215-4dd2-b057-4d8a254c9dfd, , ruku, ruku, , 
111358, 3186, -412, -2545, 73, 57e19c2e-e215-4dd2-b057-4d8a254c9dfd, , ruku, ruku, , 
111399, 3194, -411, -2554, 73, 57e19c2e-e215-4dd2-b057-4d8a254c9dfd, , ruku, ruku, , 
111440, 3209, -444, -2521, 73, 57e19c2e-e215-4dd2-b057-4d8a254c9dfd, , ruku, ruku, , 
111480, 3212, -471, -2552, 73, 57e19c2e-e215-4dd2-b057-4d8a254c9dfd, , ruku, ruku, , 
111521, 3188, -443, -2538, 73, 57e19c2e-e215-4dd2-b057-4d8a254c9dfd, , ruku, ruku, , 
111562, 3194, -424, -2551, 73, 57e19c2e-e215-4dd2-b057-4d8a254c9dfd, , ruku, ruku, , 
111603, 3206, -431, -2544, 73, 57e19c2e-e215-4dd2-b057-4d8a254c9dfd, , ruku, ruku, , 
111640, 3202, -424, -2534, 73, 57e19c2e-e215-4dd2-b057-4d8a254c9dfd, , ruku, ruku, , 
111678, 3217, -442, -2511, 73, 57e19c2e-e215-4dd2-b057-4d8a254c9dfd, , ruku, ruku, , 
111715, 3197, -407, -2543, 73, 57e19c2e-e215-4dd2-b057-4d8a254c9dfd, , ruku, ruku, , 
111753, 3217, -437, -2544, 73, 57e19c2e-e215-4dd2-b057-4d8a254c9dfd, , ruku, ruku, , 
111790, 3220, -442, -2516, 73, 57e19c2e-e215-4dd2-b057-4d8a254c9dfd, , ruku, ruku, , 
111828, 3223, -434, -2515, 73, 57e19c2e-e215-4dd2-b057-4d8a254c9dfd, , ruku, ruku, , 
111865, 3203, -404, -2524, 73, 57e19c2e-e215-4dd2-b057-4d8a254c9dfd, , ruku, ruku, , 
