214851, 3897, 742, -1223, 78, 624f4253-9927-426c-85ee-27db77ed370b, , ruku, ruku, , 
214890, 3803, 744, -1222, 78, 624f4253-9927-426c-85ee-27db77ed370b, , ruku, ruku, , 
214928, 3852, 799, -1387, 78, 624f4253-9927-426c-85ee-27db77ed370b, , ruku, ruku, , 
214967, 3917, 842, -1384, 78, 624f4253-9927-426c-85ee-27db77ed370b, , ruku, ruku, , 
215006, 4027, 816, -1386, 78, 624f4253-9927-426c-85ee-27db77ed370b, , ruku, ruku, , 
215044, 4096, 698, -1357, 78, 624f4253-9927-426c-85ee-27db77ed370b, , ruku, ruku, , 
215083, 3998, 647, -1290, 78, 624f4253-9927-426c-85ee-27db77ed370b, , ruku, ruku, , 
215122, 3867, 688, -1272, 78, 624f4253-9927-426c-85ee-27db77ed370b, , ruku, ruku, , 
215161, 3797, 650, -1277, 78, 624f4253-9927-426c-85ee-27db77ed370b, , ruku, ruku, , 
215199, 3785, 800, -1340, 78, 624f4253-9927-426c-85ee-27db77ed370b, , ruku, ruku, , 
215238, 3813, 758, -1329, 78, 624f4253-9927-426c-85ee-27db77ed370b, , ruku, ruku, , 
215277, 3788, 783, -1382, 78, 624f4253-9927-426c-85ee-27db77ed370b, , ruku, ruku, , 
215315, 3823, 748, -1356, 78, 624f4253-9927-426c-85ee-27db77ed370b, , ruku, ruku, , 
215354, 3838, 592, -1421, 78, 624f4253-9927-426c-85ee-27db77ed370b, , ruku, ruku, , 
215393, 3826, 636, -1386, 78, 624f4253-9927-426c-85ee-27db77ed370b, , ruku, ruku, , 
215432, 3824, 711, -1357, 78, 624f4253-9927-426c-85ee-27db77ed370b, , ruku, ruku, , 
215470, 3841, 675, -1347, 78, 624f4253-9927-426c-85ee-27db77ed370b, , ruku, ruku, , 
215509, 3847, 646, -1376, 78, 624f4253-9927-426c-85ee-27db77ed370b, , ruku, ruku, , 
215548, 3835, 664, -1472, 78, 624f4253-9927-426c-85ee-27db77ed370b, , ruku, ruku, , 
215587, 3807, 707, -1505, 78, 624f4253-9927-426c-85ee-27db77ed370b, , ruku, ruku, , 
215625, 3798, 676, -1551, 78, 624f4253-9927-426c-85ee-27db77ed370b, , ruku, ruku, , 
215664, 3844, 587, -1527, 78, 624f4253-9927-426c-85ee-27db77ed370b, , ruku, ruku, , 
215703, 3865, 689, -1436, 78, 624f4253-9927-426c-85ee-27db77ed370b, , ruku, ruku, , 
215742, 3806, 612, -1495, 78, 624f4253-9927-426c-85ee-27db77ed370b, , ruku, ruku, , 
215781, 3798, 628, -1554, 78, 624f4253-9927-426c-85ee-27db77ed370b, , ruku, ruku, , 
215820, 3795, 621, -1656, 78, 624f4253-9927-426c-85ee-27db77ed370b, , ruku, ruku, , 
215859, 3746, 593, -1726, 78, 624f4253-9927-426c-85ee-27db77ed370b, , ruku, ruku, , 
215898, 3664, 513, -1743, 78, 624f4253-9927-426c-85ee-27db77ed370b, , ruku, ruku, , 
215937, 3632, 636, -1722, 78, 624f4253-9927-426c-85ee-27db77ed370b, , ruku, ruku, , 
215976, 3657, 776, -1768, 78, 624f4253-9927-426c-85ee-27db77ed370b, , ruku, ruku, , 
216011, 3732, 548, -1717, 79, 624f4253-9927-426c-85ee-27db77ed370b, , ruku, ruku, , 
216046, 3718, 544, -1610, 79, 624f4253-9927-426c-85ee-27db77ed370b, , ruku, ruku, , 
216081, 3646, 647, -1588, 79, 624f4253-9927-426c-85ee-27db77ed370b, , ruku, ruku, , 
216116, 3538, 564, -1574, 79, 624f4253-9927-426c-85ee-27db77ed370b, , ruku, ruku, , 
216151, 3568, 692, -1645, 79, 624f4253-9927-426c-85ee-27db77ed370b, , ruku, ruku, , 
216186, 3721, 619, -1673, 79, 624f4253-9927-426c-85ee-27db77ed370b, , ruku, ruku, , 
216221, 3742, 541, -1688, 79, 624f4253-9927-426c-85ee-27db77ed370b, , ruku, ruku, , 
216256, 3742, 592, -1661, 79, 624f4253-9927-426c-85ee-27db77ed370b, , ruku, ruku, , 
216291, 3809, 592, -1549, 79, 624f4253-9927-426c-85ee-27db77ed370b, , ruku, ruku, , 
216326, 3833, 718, -1512, 79, 624f4253-9927-426c-85ee-27db77ed370b, , ruku, ruku, , 
216361, 3873, 584, -1561, 79, 624f4253-9927-426c-85ee-27db77ed370b, , ruku, ruku, , 
216402, 3816, 679, -1587, 79, 624f4253-9927-426c-85ee-27db77ed370b, , ruku, ruku, , 
216443, 3728, 663, -1538, 79, 624f4253-9927-426c-85ee-27db77ed370b, , ruku, ruku, , 
216485, 3713, 750, -1630, 79, 624f4253-9927-426c-85ee-27db77ed370b, , ruku, ruku, , 
216526, 3768, 589, -1554, 79, 624f4253-9927-426c-85ee-27db77ed370b, , ruku, ruku, , 
216568, 3775, 629, -1554, 79, 624f4253-9927-426c-85ee-27db77ed370b, , ruku, ruku, , 
216609, 3777, 609, -1503, 79, 624f4253-9927-426c-85ee-27db77ed370b, , ruku, ruku, , 
216650, 3801, 709, -1502, 79, 624f4253-9927-426c-85ee-27db77ed370b, , ruku, ruku, , 
216692, 3795, 654, -1499, 79, 624f4253-9927-426c-85ee-27db77ed370b, , ruku, ruku, , 
216733, 3814, 653, -1494, 79, 624f4253-9927-426c-85ee-27db77ed370b, , ruku, ruku, , 
216775, 3743, 607, -1488, 79, 624f4253-9927-426c-85ee-27db77ed370b, , ruku, ruku, , 
216814, 3787, 649, -1446, 80, 624f4253-9927-426c-85ee-27db77ed370b, , ruku, ruku, , 
216854, 3808, 656, -1420, 80, 624f4253-9927-426c-85ee-27db77ed370b, , ruku, ruku, , 
216894, 3851, 656, -1409, 80, 624f4253-9927-426c-85ee-27db77ed370b, , ruku, ruku, , 
216934, 3897, 667, -1342, 80, 624f4253-9927-426c-85ee-27db77ed370b, , ruku, ruku, , 
216974, 3895, 645, -1319, 80, 624f4253-9927-426c-85ee-27db77ed370b, , ruku, ruku, , 
217013, 3822, 660, -1337, 80, 624f4253-9927-426c-85ee-27db77ed370b, , ruku, ruku, , 
217053, 3779, 704, -1374, 80, 624f4253-9927-426c-85ee-27db77ed370b, , ruku, ruku, , 
217093, 3772, 756, -1389, 80, 624f4253-9927-426c-85ee-27db77ed370b, , ruku, ruku, , 
217133, 3803, 681, -1371, 80, 624f4253-9927-426c-85ee-27db77ed370b, , ruku, ruku, , 
217173, 3813, 624, -1381, 80, 624f4253-9927-426c-85ee-27db77ed370b, , ruku, ruku, , 
217209, 3814, 796, -1386, 80, 624f4253-9927-426c-85ee-27db77ed370b, , ruku, ruku, , 
217246, 3803, 698, -1353, 80, 624f4253-9927-426c-85ee-27db77ed370b, , ruku, ruku, , 
217282, 3785, 735, -1326, 80, 624f4253-9927-426c-85ee-27db77ed370b, , ruku, ruku, , 
217319, 3875, 726, -1309, 80, 624f4253-9927-426c-85ee-27db77ed370b, , ruku, ruku, , 
217356, 3853, 686, -1327, 80, 624f4253-9927-426c-85ee-27db77ed370b, , ruku, ruku, , 
217392, 3836, 675, -1269, 80, 624f4253-9927-426c-85ee-27db77ed370b, , ruku, ruku, , 
217429, 3847, 758, -1325, 80, 624f4253-9927-426c-85ee-27db77ed370b, , ruku, ruku, , 
217466, 3867, 717, -1297, 80, 624f4253-9927-426c-85ee-27db77ed370b, , ruku, ruku, , 
217502, 3851, 605, -1318, 80, 624f4253-9927-426c-85ee-27db77ed370b, , ruku, ruku, , 
217539, 3837, 654, -1344, 80, 624f4253-9927-426c-85ee-27db77ed370b, , ruku, ruku, , 
217576, 3837, 637, -1323, 80, 624f4253-9927-426c-85ee-27db77ed370b, , ruku, ruku, , 
217615, 3844, 672, -1343, 81, 624f4253-9927-426c-85ee-27db77ed370b, , ruku, ruku, , 
217655, 3858, 604, -1333, 81, 624f4253-9927-426c-85ee-27db77ed370b, , ruku, ruku, , 
217695, 3834, 692, -1323, 81, 624f4253-9927-426c-85ee-27db77ed370b, , ruku, ruku, , 
217735, 3861, 684, -1361, 81, 624f4253-9927-426c-85ee-27db77ed370b, , ruku, ruku, , 
217775, 3909, 716, -1375, 81, 624f4253-9927-426c-85ee-27db77ed370b, , ruku, ruku, , 
