44184, 2759, -1478, -2640, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
44223, 2750, -1553, -2591, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
44261, 2827, -1474, -2638, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
44300, 2820, -1451, -2633, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
44338, 2807, -1480, -2626, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
44377, 2802, -1429, -2687, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
44415, 2835, -1435, -2638, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
44454, 2803, -1523, -2619, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
44492, 2792, -1509, -2628, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
44531, 2786, -1419, -2672, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
44571, 2791, -1487, -2627, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
44612, 2813, -1485, -2638, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
44653, 2798, -1477, -2642, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
44694, 2800, -1481, -2628, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
44735, 2789, -1470, -2654, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
44775, 2792, -1444, -2651, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
44816, 2810, -1436, -2658, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
44857, 2796, -1465, -2644, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
44898, 2804, -1474, -2646, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
44939, 2816, -1433, -2661, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
44980, 2778, -1444, -2655, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
45016, 2809, -1466, -2622, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
45052, 2817, -1495, -2613, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
45089, 2796, -1476, -2640, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
45125, 2800, -1414, -2655, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
45162, 2813, -1466, -2643, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
45198, 2789, -1471, -2650, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
45234, 2784, -1446, -2631, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
45271, 2775, -1461, -2656, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
45307, 2801, -1437, -2653, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
45344, 2770, -1431, -2662, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
45378, 2802, -1463, -2645, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
