261592, 3109, -1452, -2255, 81, c51b52a1-5043-474e-9d9d-f39a972ff0a2, , ruku, ruku, , 
261633, 3092, -1465, -2226, 81, c51b52a1-5043-474e-9d9d-f39a972ff0a2, , ruku, ruku, , 
261674, 3141, -1542, -2171, 81, c51b52a1-5043-474e-9d9d-f39a972ff0a2, , ruku, ruku, , 
261715, 3160, -1534, -2121, 81, c51b52a1-5043-474e-9d9d-f39a972ff0a2, , ruku, ruku, , 
261756, 3203, -1540, -2146, 81, c51b52a1-5043-474e-9d9d-f39a972ff0a2, , ruku, ruku, , 
261796, 3148, -1532, -2187, 81, c51b52a1-5043-474e-9d9d-f39a972ff0a2, , ruku, ruku, , 
261837, 3189, -1511, -2179, 81, c51b52a1-5043-474e-9d9d-f39a972ff0a2, , ruku, ruku, , 
261878, 3095, -1461, -2226, 81, c51b52a1-5043-474e-9d9d-f39a972ff0a2, , ruku, ruku, , 
261919, 3142, -1552, -2190, 81, c51b52a1-5043-474e-9d9d-f39a972ff0a2, , ruku, ruku, , 
261960, 3118, -1533, -2157, 81, c51b52a1-5043-474e-9d9d-f39a972ff0a2, , ruku, ruku, , 
261997, 3161, -1581, -2165, 81, c51b52a1-5043-474e-9d9d-f39a972ff0a2, , ruku, ruku, , 
262034, 3129, -1563, -2168, 81, c51b52a1-5043-474e-9d9d-f39a972ff0a2, , ruku, ruku, , 
262072, 3115, -1570, -2153, 81, c51b52a1-5043-474e-9d9d-f39a972ff0a2, , ruku, ruku, , 
262109, 3142, -1518, -2185, 81, c51b52a1-5043-474e-9d9d-f39a972ff0a2, , ruku, ruku, , 
262146, 3171, -1554, -2142, 81, c51b52a1-5043-474e-9d9d-f39a972ff0a2, , ruku, ruku, , 
262184, 3161, -1556, -2140, 81, c51b52a1-5043-474e-9d9d-f39a972ff0a2, , ruku, ruku, , 
262221, 3115, -1564, -2168, 81, c51b52a1-5043-474e-9d9d-f39a972ff0a2, , ruku, ruku, , 
262258, 3171, -1537, -2181, 81, c51b52a1-5043-474e-9d9d-f39a972ff0a2, , ruku, ruku, , 
