48737, 3154, -1217, -2368, 82, 52bb3b79-b186-4397-89f7-5c29c6a102fe, , ruku, ruku, , 
48775, 3044, -1136, -2303, 82, 52bb3b79-b186-4397-89f7-5c29c6a102fe, , ruku, ruku, , 
48814, 3140, -1386, -2411, 82, 52bb3b79-b186-4397-89f7-5c29c6a102fe, , ruku, ruku, , 
48853, 2983, -1372, -2310, 82, 52bb3b79-b186-4397-89f7-5c29c6a102fe, , ruku, ruku, , 
48891, 3167, -1401, -2263, 82, 52bb3b79-b186-4397-89f7-5c29c6a102fe, , ruku, ruku, , 
48930, 3046, -1583, -2607, 82, 52bb3b79-b186-4397-89f7-5c29c6a102fe, , ruku, ruku, , 
48968, 2995, -1570, -2590, 82, 52bb3b79-b186-4397-89f7-5c29c6a102fe, , ruku, ruku, , 
49007, 3019, -1229, -2429, 82, 52bb3b79-b186-4397-89f7-5c29c6a102fe, , ruku, ruku, , 
49046, 3030, -1362, -2486, 82, 52bb3b79-b186-4397-89f7-5c29c6a102fe, , ruku, ruku, , 
49084, 2983, -1157, -2513, 82, 52bb3b79-b186-4397-89f7-5c29c6a102fe, , ruku, ruku, , 
49122, 2919, -1378, -2530, 82, 52bb3b79-b186-4397-89f7-5c29c6a102fe, , ruku, ruku, , 
49161, 2959, -1303, -2613, 82, 52bb3b79-b186-4397-89f7-5c29c6a102fe, , ruku, ruku, , 
49199, 2922, -1451, -2613, 82, 52bb3b79-b186-4397-89f7-5c29c6a102fe, , ruku, ruku, , 
49237, 2838, -1415, -2701, 82, 52bb3b79-b186-4397-89f7-5c29c6a102fe, , ruku, ruku, , 
49276, 3200, -1315, -2560, 82, 52bb3b79-b186-4397-89f7-5c29c6a102fe, , ruku, ruku, , 
49314, 3037, -1182, -2550, 82, 52bb3b79-b186-4397-89f7-5c29c6a102fe, , ruku, ruku, , 
49352, 3050, -1277, -2539, 82, 52bb3b79-b186-4397-89f7-5c29c6a102fe, , ruku, ruku, , 
49391, 3007, -1406, -2452, 82, 52bb3b79-b186-4397-89f7-5c29c6a102fe, , ruku, ruku, , 
49429, 3026, -1366, -2428, 82, 52bb3b79-b186-4397-89f7-5c29c6a102fe, , ruku, ruku, , 
49468, 3076, -1352, -2444, 82, 52bb3b79-b186-4397-89f7-5c29c6a102fe, , ruku, ruku, , 
49506, 3002, -1249, -2518, 83, 52bb3b79-b186-4397-89f7-5c29c6a102fe, , ruku, ruku, , 
49545, 3031, -1341, -2577, 83, 52bb3b79-b186-4397-89f7-5c29c6a102fe, , ruku, ruku, , 
49583, 3051, -1310, -2592, 83, 52bb3b79-b186-4397-89f7-5c29c6a102fe, , ruku, ruku, , 
49622, 3044, -1306, -2455, 83, 52bb3b79-b186-4397-89f7-5c29c6a102fe, , ruku, ruku, , 
49661, 3063, -1361, -2386, 83, 52bb3b79-b186-4397-89f7-5c29c6a102fe, , ruku, ruku, , 
49699, 2998, -1282, -2485, 83, 52bb3b79-b186-4397-89f7-5c29c6a102fe, , ruku, ruku, , 
49738, 3010, -1259, -2462, 83, 52bb3b79-b186-4397-89f7-5c29c6a102fe, , ruku, ruku, , 
49776, 2999, -1312, -2462, 83, 52bb3b79-b186-4397-89f7-5c29c6a102fe, , ruku, ruku, , 
49815, 3066, -1191, -2497, 83, 52bb3b79-b186-4397-89f7-5c29c6a102fe, , ruku, ruku, , 
49854, 3054, -1183, -2464, 83, 52bb3b79-b186-4397-89f7-5c29c6a102fe, , ruku, ruku, , 
49899, 3064, -1262, -2452, 83, 52bb3b79-b186-4397-89f7-5c29c6a102fe, , ruku, ruku, , 
49945, 3096, -1274, -2406, 83, 52bb3b79-b186-4397-89f7-5c29c6a102fe, , ruku, ruku, , 
49991, 3092, -1246, -2447, 83, 52bb3b79-b186-4397-89f7-5c29c6a102fe, , ruku, ruku, , 
50036, 2954, -1214, -2347, 83, 52bb3b79-b186-4397-89f7-5c29c6a102fe, , ruku, ruku, , 
50082, 3016, -1173, -2436, 83, 52bb3b79-b186-4397-89f7-5c29c6a102fe, , ruku, ruku, , 
50128, 2823, -903, -2001, 83, 52bb3b79-b186-4397-89f7-5c29c6a102fe, , ruku, ruku, , 
50173, 2949, -1051, -2446, 83, 52bb3b79-b186-4397-89f7-5c29c6a102fe, , ruku, ruku, , 
50219, 3128, -1486, -2662, 83, 52bb3b79-b186-4397-89f7-5c29c6a102fe, , ruku, ruku, , 
50265, 3171, -1420, -2593, 83, 52bb3b79-b186-4397-89f7-5c29c6a102fe, , ruku, ruku, , 
50311, 3132, -1300, -2347, 83, 52bb3b79-b186-4397-89f7-5c29c6a102fe, , ruku, ruku, , 
50343, 3134, -1136, -2369, 83, 52bb3b79-b186-4397-89f7-5c29c6a102fe, , ruku, ruku, , 
50376, 3093, -1253, -2395, 83, 52bb3b79-b186-4397-89f7-5c29c6a102fe, , ruku, ruku, , 
50409, 3108, -1260, -2407, 83, 52bb3b79-b186-4397-89f7-5c29c6a102fe, , ruku, ruku, , 
50442, 3077, -1266, -2466, 83, 52bb3b79-b186-4397-89f7-5c29c6a102fe, , ruku, ruku, , 
50475, 3091, -1337, -2422, 83, 52bb3b79-b186-4397-89f7-5c29c6a102fe, , ruku, ruku, , 
50508, 3111, -1387, -2196, 83, 52bb3b79-b186-4397-89f7-5c29c6a102fe, , ruku, ruku, , 
50541, 3084, -1392, -2333, 83, 52bb3b79-b186-4397-89f7-5c29c6a102fe, , ruku, ruku, , 
50574, 3128, -1352, -2431, 83, 52bb3b79-b186-4397-89f7-5c29c6a102fe, , ruku, ruku, , 
50607, 3123, -1253, -2367, 83, 52bb3b79-b186-4397-89f7-5c29c6a102fe, , ruku, ruku, , 
50640, 2997, -1220, -2375, 83, 52bb3b79-b186-4397-89f7-5c29c6a102fe, , ruku, ruku, , 
50673, 3154, -1291, -2283, 83, 52bb3b79-b186-4397-89f7-5c29c6a102fe, , ruku, ruku, , 
50713, 3138, -1271, -2364, 83, 52bb3b79-b186-4397-89f7-5c29c6a102fe, , ruku, ruku, , 
50753, 3131, -1254, -2405, 83, 52bb3b79-b186-4397-89f7-5c29c6a102fe, , ruku, ruku, , 
50793, 3163, -1336, -2330, 83, 52bb3b79-b186-4397-89f7-5c29c6a102fe, , ruku, ruku, , 
50833, 3155, -1291, -2331, 83, 52bb3b79-b186-4397-89f7-5c29c6a102fe, , ruku, ruku, , 
50874, 3115, -1211, -2399, 83, 52bb3b79-b186-4397-89f7-5c29c6a102fe, , ruku, ruku, , 
50914, 3171, -1144, -2492, 83, 52bb3b79-b186-4397-89f7-5c29c6a102fe, , ruku, ruku, , 
50954, 3124, -1136, -2383, 83, 52bb3b79-b186-4397-89f7-5c29c6a102fe, , ruku, ruku, , 
50994, 3103, -1346, -2306, 83, 52bb3b79-b186-4397-89f7-5c29c6a102fe, , ruku, ruku, , 
51034, 3053, -1292, -2647, 83, 52bb3b79-b186-4397-89f7-5c29c6a102fe, , ruku, ruku, , 
51075, 2965, -567, -2184, 83, 52bb3b79-b186-4397-89f7-5c29c6a102fe, , ruku, ruku, , 
51110, 2937, -1249, -2235, 83, 52bb3b79-b186-4397-89f7-5c29c6a102fe, , ruku, ruku, , 
51146, 3127, -1272, -2917, 83, 52bb3b79-b186-4397-89f7-5c29c6a102fe, , ruku, ruku, , 
51182, 3473, -2117, -2422, 83, 52bb3b79-b186-4397-89f7-5c29c6a102fe, , ruku, ruku, , 
51218, 3332, -704, -2085, 83, 52bb3b79-b186-4397-89f7-5c29c6a102fe, , ruku, ruku, , 
51254, 3250, -1015, -2197, 83, 52bb3b79-b186-4397-89f7-5c29c6a102fe, , ruku, ruku, , 
51290, 3074, -851, -2425, 83, 52bb3b79-b186-4397-89f7-5c29c6a102fe, , ruku, ruku, , 
51326, 3313, -1399, -2441, 83, 52bb3b79-b186-4397-89f7-5c29c6a102fe, , ruku, ruku, , 
