286163, 3640, -769, -1879, 86, 52bd6ab4-9f13-4f4a-bed4-172c603694a0, , ruku, ruku, , 
286201, 3510, -875, -1930, 86, 52bd6ab4-9f13-4f4a-bed4-172c603694a0, , ruku, ruku, , 
286239, 3616, -921, -1913, 86, 52bd6ab4-9f13-4f4a-bed4-172c603694a0, , ruku, ruku, , 
286277, 3673, -862, -1950, 86, 52bd6ab4-9f13-4f4a-bed4-172c603694a0, , ruku, ruku, , 
286315, 3662, -850, -1959, 86, 52bd6ab4-9f13-4f4a-bed4-172c603694a0, , ruku, ruku, , 
286353, 3547, -911, -1874, 86, 52bd6ab4-9f13-4f4a-bed4-172c603694a0, , ruku, ruku, , 
286391, 3612, -837, -1920, 86, 52bd6ab4-9f13-4f4a-bed4-172c603694a0, , ruku, ruku, , 
286430, 3576, -696, -1970, 86, 52bd6ab4-9f13-4f4a-bed4-172c603694a0, , ruku, ruku, , 
286473, 3577, -848, -2000, 86, 52bd6ab4-9f13-4f4a-bed4-172c603694a0, , ruku, ruku, , 
286517, 3615, -791, -1908, 86, 52bd6ab4-9f13-4f4a-bed4-172c603694a0, , ruku, ruku, , 
286561, 3694, -897, -1898, 86, 52bd6ab4-9f13-4f4a-bed4-172c603694a0, , ruku, ruku, , 
286605, 3668, -833, -1979, 86, 52bd6ab4-9f13-4f4a-bed4-172c603694a0, , ruku, ruku, , 
286649, 3633, -896, -1898, 86, 52bd6ab4-9f13-4f4a-bed4-172c603694a0, , ruku, ruku, , 
286693, 3606, -766, -1874, 86, 52bd6ab4-9f13-4f4a-bed4-172c603694a0, , ruku, ruku, , 
286736, 3574, -769, -1941, 86, 52bd6ab4-9f13-4f4a-bed4-172c603694a0, , ruku, ruku, , 
286780, 3556, -837, -1937, 86, 52bd6ab4-9f13-4f4a-bed4-172c603694a0, , ruku, ruku, , 
286824, 3564, -784, -1947, 86, 52bd6ab4-9f13-4f4a-bed4-172c603694a0, , ruku, ruku, , 
286868, 3527, -871, -1973, 86, 52bd6ab4-9f13-4f4a-bed4-172c603694a0, , ruku, ruku, , 
286912, 3559, -780, -1938, 86, 52bd6ab4-9f13-4f4a-bed4-172c603694a0, , ruku, ruku, , 
286956, 3604, -1024, -1996, 86, 52bd6ab4-9f13-4f4a-bed4-172c603694a0, , ruku, ruku, , 
287000, 3568, -697, -1994, 86, 52bd6ab4-9f13-4f4a-bed4-172c603694a0, , ruku, ruku, , 
287034, 3530, -1039, -1965, 86, 52bd6ab4-9f13-4f4a-bed4-172c603694a0, , ruku, ruku, , 
287068, 3573, -792, -1905, 86, 52bd6ab4-9f13-4f4a-bed4-172c603694a0, , ruku, ruku, , 
287102, 3537, -897, -1921, 86, 52bd6ab4-9f13-4f4a-bed4-172c603694a0, , ruku, ruku, , 
287136, 3559, -885, -1952, 86, 52bd6ab4-9f13-4f4a-bed4-172c603694a0, , ruku, ruku, , 
287170, 3524, -945, -1896, 86, 52bd6ab4-9f13-4f4a-bed4-172c603694a0, , ruku, ruku, , 
287204, 3500, -827, -1901, 86, 52bd6ab4-9f13-4f4a-bed4-172c603694a0, , ruku, ruku, , 
287238, 3539, -782, -1948, 86, 52bd6ab4-9f13-4f4a-bed4-172c603694a0, , ruku, ruku, , 
287272, 3561, -802, -1959, 86, 52bd6ab4-9f13-4f4a-bed4-172c603694a0, , ruku, ruku, , 
287306, 3586, -913, -1867, 86, 52bd6ab4-9f13-4f4a-bed4-172c603694a0, , ruku, ruku, , 
287340, 3517, -857, -1942, 86, 52bd6ab4-9f13-4f4a-bed4-172c603694a0, , ruku, ruku, , 
287374, 3531, -786, -1912, 86, 52bd6ab4-9f13-4f4a-bed4-172c603694a0, , ruku, ruku, , 
287408, 3535, -844, -1972, 86, 52bd6ab4-9f13-4f4a-bed4-172c603694a0, , ruku, ruku, , 
287443, 3553, -784, -1908, 86, 52bd6ab4-9f13-4f4a-bed4-172c603694a0, , ruku, ruku, , 
287484, 3557, -823, -1969, 86, 52bd6ab4-9f13-4f4a-bed4-172c603694a0, , ruku, ruku, , 
287525, 3541, -803, -1955, 86, 52bd6ab4-9f13-4f4a-bed4-172c603694a0, , ruku, ruku, , 
287566, 3556, -746, -1927, 86, 52bd6ab4-9f13-4f4a-bed4-172c603694a0, , ruku, ruku, , 
287607, 3553, -849, -1960, 86, 52bd6ab4-9f13-4f4a-bed4-172c603694a0, , ruku, ruku, , 
287649, 3527, -775, -1946, 86, 52bd6ab4-9f13-4f4a-bed4-172c603694a0, , ruku, ruku, , 
287690, 3526, -766, -1952, 86, 52bd6ab4-9f13-4f4a-bed4-172c603694a0, , ruku, ruku, , 
287731, 3546, -749, -1930, 86, 52bd6ab4-9f13-4f4a-bed4-172c603694a0, , ruku, ruku, , 
287772, 3555, -799, -1943, 86, 52bd6ab4-9f13-4f4a-bed4-172c603694a0, , ruku, ruku, , 
287814, 3579, -731, -1950, 86, 52bd6ab4-9f13-4f4a-bed4-172c603694a0, , ruku, ruku, , 
287855, 3609, -773, -1938, 86, 52bd6ab4-9f13-4f4a-bed4-172c603694a0, , ruku, ruku, , 
287896, 3596, -782, -1958, 86, 52bd6ab4-9f13-4f4a-bed4-172c603694a0, , ruku, ruku, , 
287937, 3542, -803, -1974, 86, 52bd6ab4-9f13-4f4a-bed4-172c603694a0, , ruku, ruku, , 
287979, 3568, -705, -1889, 86, 52bd6ab4-9f13-4f4a-bed4-172c603694a0, , ruku, ruku, , 
