397161, 2881, -1223, -2661, 82, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
397200, 2869, -1170, -2734, 82, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
397240, 2862, -1234, -2681, 82, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
397280, 2851, -1172, -2725, 82, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
397321, 2867, -1213, -2689, 82, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
397362, 2907, -1152, -2693, 82, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
397403, 2879, -1183, -2669, 82, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
397444, 2865, -1223, -2658, 82, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
397484, 2900, -1156, -2695, 82, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
397525, 2858, -1171, -2661, 82, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
397566, 2899, -1205, -2690, 82, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
397607, 2924, -1187, -2687, 82, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
397648, 2885, -1223, -2632, 82, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
397683, 2903, -1231, -2654, 82, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
397718, 2865, -1169, -2683, 82, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
397753, 2908, -1151, -2678, 82, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
397789, 2887, -1175, -2658, 82, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
397824, 2891, -1230, -2648, 82, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
397859, 2929, -1145, -2648, 82, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
397894, 2896, -1220, -2646, 82, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
397930, 2904, -1217, -2662, 82, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
397965, 2877, -1193, -2678, 82, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
398000, 2884, -1203, -2665, 82, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
398036, 2894, -1204, -2666, 82, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
398079, 2898, -1193, -2668, 81, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
398122, 2941, -1219, -2668, 81, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
398165, 2944, -1226, -2621, 81, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
398209, 2927, -1196, -2663, 81, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
398252, 2911, -1161, -2654, 81, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
398295, 2860, -1181, -2665, 81, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
398339, 2920, -1267, -2638, 81, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
398382, 2897, -1207, -2663, 81, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
398425, 2902, -1238, -2655, 81, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
398469, 2902, -1186, -2652, 81, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
398503, 2919, -1202, -2647, 81, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
398538, 2886, -1257, -2636, 81, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
398572, 2897, -1221, -2655, 81, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
398607, 2897, -1207, -2643, 81, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
398642, 2939, -1200, -2646, 81, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
398676, 2901, -1251, -2642, 81, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
