69821, 3509, -481, -2064, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
69866, 3389, -597, -2121, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
69911, 3468, -547, -2024, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
69956, 3553, -561, -2132, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
69993, 3481, -592, -2116, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
70030, 3429, -540, -2118, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
70067, 3473, -570, -2099, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
70104, 3502, -610, -2099, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
70141, 3467, -634, -2143, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
70178, 3486, -550, -2142, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
70215, 3449, -482, -2110, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
70252, 3496, -579, -2147, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
70289, 3453, -564, -2173, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
70326, 3447, -576, -2171, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
70362, 3475, -585, -2178, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
70399, 3424, -564, -2120, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
70435, 3517, -566, -2154, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
70472, 3496, -504, -2156, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
70509, 3477, -535, -2195, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
70545, 3417, -564, -2181, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
70582, 3434, -563, -2164, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
70619, 3392, -520, -2175, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
70655, 3488, -559, -2195, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
70692, 3405, -574, -2188, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
70729, 3473, -580, -2175, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
70768, 3429, -605, -2206, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
70808, 3459, -571, -2154, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
70847, 3432, -594, -2173, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
70887, 3455, -560, -2196, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
70927, 3452, -585, -2173, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
70966, 3455, -582, -2178, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
71006, 3417, -588, -2210, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
71045, 3440, -594, -2171, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
71085, 3461, -568, -2166, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
71125, 3430, -579, -2199, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
71161, 3427, -567, -2187, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
71197, 3413, -588, -2179, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
71233, 3451, -590, -2176, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
71269, 3413, -598, -2206, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
71305, 3436, -530, -2200, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
71341, 3429, -610, -2150, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
71377, 3434, -565, -2198, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
71413, 3457, -597, -2226, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
71449, 3440, -553, -2150, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
71485, 3429, -563, -2188, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
71522, 3422, -595, -2219, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
71567, 3412, -603, -2188, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
71612, 3435, -583, -2195, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
71657, 3424, -573, -2220, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
71702, 3409, -604, -2185, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
71747, 3412, -596, -2184, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
71792, 3449, -624, -2203, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
71837, 3433, -578, -2197, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
71882, 3425, -581, -2177, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
