166996, 3384, -1275, -2126, 93, 2683f732-1a9b-4a02-9c79-1d1d6b4e5dfd, , ruku, ruku, , 
167032, 3317, -1192, -2174, 93, 2683f732-1a9b-4a02-9c79-1d1d6b4e5dfd, , ruku, ruku, , 
167069, 3304, -1086, -2225, 93, 2683f732-1a9b-4a02-9c79-1d1d6b4e5dfd, , ruku, ruku, , 
167106, 3415, -1278, -2190, 93, 2683f732-1a9b-4a02-9c79-1d1d6b4e5dfd, , ruku, ruku, , 
167143, 3320, -1140, -2189, 93, 2683f732-1a9b-4a02-9c79-1d1d6b4e5dfd, , ruku, ruku, , 
167180, 3242, -1148, -2238, 93, 2683f732-1a9b-4a02-9c79-1d1d6b4e5dfd, , ruku, ruku, , 
167217, 3274, -1275, -2233, 93, 2683f732-1a9b-4a02-9c79-1d1d6b4e5dfd, , ruku, ruku, , 
167254, 3262, -1156, -2264, 93, 2683f732-1a9b-4a02-9c79-1d1d6b4e5dfd, , ruku, ruku, , 
167291, 3162, -1151, -2155, 93, 2683f732-1a9b-4a02-9c79-1d1d6b4e5dfd, , ruku, ruku, , 
167328, 3126, -1339, -2322, 93, 2683f732-1a9b-4a02-9c79-1d1d6b4e5dfd, , ruku, ruku, , 
167365, 3262, -1581, -2394, 93, 2683f732-1a9b-4a02-9c79-1d1d6b4e5dfd, , ruku, ruku, , 
167402, 3207, -1381, -2298, 93, 2683f732-1a9b-4a02-9c79-1d1d6b4e5dfd, , ruku, ruku, , 
167439, 3137, -1321, -2323, 93, 2683f732-1a9b-4a02-9c79-1d1d6b4e5dfd, , ruku, ruku, , 
167476, 3143, -1323, -2292, 93, 2683f732-1a9b-4a02-9c79-1d1d6b4e5dfd, , ruku, ruku, , 
167518, 3197, -1322, -2268, 93, 2683f732-1a9b-4a02-9c79-1d1d6b4e5dfd, , ruku, ruku, , 
167561, 3175, -1298, -2338, 93, 2683f732-1a9b-4a02-9c79-1d1d6b4e5dfd, , ruku, ruku, , 
167604, 3129, -1352, -2294, 93, 2683f732-1a9b-4a02-9c79-1d1d6b4e5dfd, , ruku, ruku, , 
167647, 3145, -1353, -2344, 93, 2683f732-1a9b-4a02-9c79-1d1d6b4e5dfd, , ruku, ruku, , 
167690, 3099, -1412, -2274, 93, 2683f732-1a9b-4a02-9c79-1d1d6b4e5dfd, , ruku, ruku, , 
167732, 3102, -1349, -2367, 93, 2683f732-1a9b-4a02-9c79-1d1d6b4e5dfd, , ruku, ruku, , 
167775, 3053, -1317, -2429, 93, 2683f732-1a9b-4a02-9c79-1d1d6b4e5dfd, , ruku, ruku, , 
167818, 3109, -1346, -2331, 93, 2683f732-1a9b-4a02-9c79-1d1d6b4e5dfd, , ruku, ruku, , 
167861, 3110, -1386, -2315, 93, 2683f732-1a9b-4a02-9c79-1d1d6b4e5dfd, , ruku, ruku, , 
167904, 3068, -1381, -2353, 93, 2683f732-1a9b-4a02-9c79-1d1d6b4e5dfd, , ruku, ruku, , 
167939, 3106, -1346, -2380, 94, 2683f732-1a9b-4a02-9c79-1d1d6b4e5dfd, , ruku, ruku, , 
167974, 3102, -1369, -2344, 94, 2683f732-1a9b-4a02-9c79-1d1d6b4e5dfd, , ruku, ruku, , 
168009, 3085, -1398, -2340, 94, 2683f732-1a9b-4a02-9c79-1d1d6b4e5dfd, , ruku, ruku, , 
168044, 3075, -1407, -2359, 94, 2683f732-1a9b-4a02-9c79-1d1d6b4e5dfd, , ruku, ruku, , 
168079, 3069, -1391, -2345, 94, 2683f732-1a9b-4a02-9c79-1d1d6b4e5dfd, , ruku, ruku, , 
168114, 3079, -1379, -2377, 94, 2683f732-1a9b-4a02-9c79-1d1d6b4e5dfd, , ruku, ruku, , 
168149, 3096, -1368, -2380, 94, 2683f732-1a9b-4a02-9c79-1d1d6b4e5dfd, , ruku, ruku, , 
168184, 3087, -1401, -2345, 94, 2683f732-1a9b-4a02-9c79-1d1d6b4e5dfd, , ruku, ruku, , 
168219, 3061, -1405, -2331, 94, 2683f732-1a9b-4a02-9c79-1d1d6b4e5dfd, , ruku, ruku, , 
168254, 3068, -1374, -2359, 94, 2683f732-1a9b-4a02-9c79-1d1d6b4e5dfd, , ruku, ruku, , 
168291, 3048, -1400, -2357, 94, 2683f732-1a9b-4a02-9c79-1d1d6b4e5dfd, , ruku, ruku, , 
168329, 3104, -1371, -2379, 94, 2683f732-1a9b-4a02-9c79-1d1d6b4e5dfd, , ruku, ruku, , 
168367, 3083, -1405, -2330, 94, 2683f732-1a9b-4a02-9c79-1d1d6b4e5dfd, , ruku, ruku, , 
168404, 3071, -1381, -2358, 94, 2683f732-1a9b-4a02-9c79-1d1d6b4e5dfd, , ruku, ruku, , 
168442, 3081, -1388, -2357, 94, 2683f732-1a9b-4a02-9c79-1d1d6b4e5dfd, , ruku, ruku, , 
168480, 3116, -1369, -2359, 94, 2683f732-1a9b-4a02-9c79-1d1d6b4e5dfd, , ruku, ruku, , 
168518, 3061, -1401, -2347, 94, 2683f732-1a9b-4a02-9c79-1d1d6b4e5dfd, , ruku, ruku, , 
168555, 3075, -1412, -2354, 94, 2683f732-1a9b-4a02-9c79-1d1d6b4e5dfd, , ruku, ruku, , 
168593, 3072, -1393, -2368, 94, 2683f732-1a9b-4a02-9c79-1d1d6b4e5dfd, , ruku, ruku, , 
168631, 3118, -1382, -2373, 94, 2683f732-1a9b-4a02-9c79-1d1d6b4e5dfd, , ruku, ruku, , 
