329349, 3376, -1199, -2515, 80, 4005f281-7bca-40df-aab7-064f0057d44d, , ruku, ruku, , 
329388, 3317, -1015, -2321, 80, 4005f281-7bca-40df-aab7-064f0057d44d, , ruku, ruku, , 
329426, 3388, -808, -2370, 80, 4005f281-7bca-40df-aab7-064f0057d44d, , ruku, ruku, , 
329465, 3302, -887, -2370, 80, 4005f281-7bca-40df-aab7-064f0057d44d, , ruku, ruku, , 
329503, 3348, -827, -2406, 80, 4005f281-7bca-40df-aab7-064f0057d44d, , ruku, ruku, , 
329542, 3322, -1021, -2373, 80, 4005f281-7bca-40df-aab7-064f0057d44d, , ruku, ruku, , 
329580, 3282, -961, -2354, 80, 4005f281-7bca-40df-aab7-064f0057d44d, , ruku, ruku, , 
329619, 3238, -789, -2282, 80, 4005f281-7bca-40df-aab7-064f0057d44d, , ruku, ruku, , 
329655, 3240, -905, -2366, 80, 4005f281-7bca-40df-aab7-064f0057d44d, , ruku, ruku, , 
329691, 3272, -907, -2311, 80, 4005f281-7bca-40df-aab7-064f0057d44d, , ruku, ruku, , 
329727, 3285, -896, -2375, 80, 4005f281-7bca-40df-aab7-064f0057d44d, , ruku, ruku, , 
329763, 3257, -959, -2305, 80, 4005f281-7bca-40df-aab7-064f0057d44d, , ruku, ruku, , 
329799, 3271, -895, -2299, 80, 4005f281-7bca-40df-aab7-064f0057d44d, , ruku, ruku, , 
329836, 3222, -1020, -2367, 80, 4005f281-7bca-40df-aab7-064f0057d44d, , ruku, ruku, , 
329872, 3233, -876, -2318, 80, 4005f281-7bca-40df-aab7-064f0057d44d, , ruku, ruku, , 
329908, 3285, -884, -2434, 80, 4005f281-7bca-40df-aab7-064f0057d44d, , ruku, ruku, , 
329944, 3258, -902, -2366, 80, 4005f281-7bca-40df-aab7-064f0057d44d, , ruku, ruku, , 
329980, 3202, -1051, -2416, 80, 4005f281-7bca-40df-aab7-064f0057d44d, , ruku, ruku, , 
330017, 3210, -1047, -2237, 80, 4005f281-7bca-40df-aab7-064f0057d44d, , ruku, ruku, , 
330056, 3230, -1042, -2320, 80, 4005f281-7bca-40df-aab7-064f0057d44d, , ruku, ruku, , 
330096, 3234, -1088, -2375, 80, 4005f281-7bca-40df-aab7-064f0057d44d, , ruku, ruku, , 
330136, 3235, -1053, -2267, 80, 4005f281-7bca-40df-aab7-064f0057d44d, , ruku, ruku, , 
330175, 3249, -1082, -2395, 80, 4005f281-7bca-40df-aab7-064f0057d44d, , ruku, ruku, , 
330215, 3236, -1035, -2358, 80, 4005f281-7bca-40df-aab7-064f0057d44d, , ruku, ruku, , 
330255, 3248, -1054, -2374, 80, 4005f281-7bca-40df-aab7-064f0057d44d, , ruku, ruku, , 
330294, 3200, -1164, -2354, 80, 4005f281-7bca-40df-aab7-064f0057d44d, , ruku, ruku, , 
330334, 3232, -1051, -2308, 80, 4005f281-7bca-40df-aab7-064f0057d44d, , ruku, ruku, , 
330374, 3211, -1208, -2324, 80, 4005f281-7bca-40df-aab7-064f0057d44d, , ruku, ruku, , 
330414, 3173, -1019, -2388, 80, 4005f281-7bca-40df-aab7-064f0057d44d, , ruku, ruku, , 
330450, 3195, -1045, -2373, 81, 4005f281-7bca-40df-aab7-064f0057d44d, , ruku, ruku, , 
330487, 3193, -1012, -2364, 81, 4005f281-7bca-40df-aab7-064f0057d44d, , ruku, ruku, , 
330524, 3180, -1136, -2323, 81, 4005f281-7bca-40df-aab7-064f0057d44d, , ruku, ruku, , 
330561, 3210, -1061, -2336, 81, 4005f281-7bca-40df-aab7-064f0057d44d, , ruku, ruku, , 
330598, 3177, -1141, -2404, 81, 4005f281-7bca-40df-aab7-064f0057d44d, , ruku, ruku, , 
330634, 3211, -998, -2340, 81, 4005f281-7bca-40df-aab7-064f0057d44d, , ruku, ruku, , 
330671, 3205, -1142, -2390, 81, 4005f281-7bca-40df-aab7-064f0057d44d, , ruku, ruku, , 
330708, 3203, -1013, -2320, 81, 4005f281-7bca-40df-aab7-064f0057d44d, , ruku, ruku, , 
330745, 3195, -1101, -2369, 81, 4005f281-7bca-40df-aab7-064f0057d44d, , ruku, ruku, , 
330782, 3194, -1247, -2376, 81, 4005f281-7bca-40df-aab7-064f0057d44d, , ruku, ruku, , 
330819, 3125, -940, -2314, 81, 4005f281-7bca-40df-aab7-064f0057d44d, , ruku, ruku, , 
330859, 3172, -1077, -2372, 81, 4005f281-7bca-40df-aab7-064f0057d44d, , ruku, ruku, , 
330900, 3222, -1153, -2351, 81, 4005f281-7bca-40df-aab7-064f0057d44d, , ruku, ruku, , 
330940, 3186, -1195, -2357, 81, 4005f281-7bca-40df-aab7-064f0057d44d, , ruku, ruku, , 
330981, 3196, -1164, -2344, 81, 4005f281-7bca-40df-aab7-064f0057d44d, , ruku, ruku, , 
331022, 3202, -1261, -2365, 81, 4005f281-7bca-40df-aab7-064f0057d44d, , ruku, ruku, , 
331062, 3217, -1265, -2362, 81, 4005f281-7bca-40df-aab7-064f0057d44d, , ruku, ruku, , 
331103, 3138, -1091, -2343, 81, 4005f281-7bca-40df-aab7-064f0057d44d, , ruku, ruku, , 
331143, 3134, -1152, -2474, 81, 4005f281-7bca-40df-aab7-064f0057d44d, , ruku, ruku, , 
331184, 3171, -1053, -2353, 81, 4005f281-7bca-40df-aab7-064f0057d44d, , ruku, ruku, , 
331225, 3176, -1144, -2332, 81, 4005f281-7bca-40df-aab7-064f0057d44d, , ruku, ruku, , 
331269, 3170, -1129, -2352, 83, 4005f281-7bca-40df-aab7-064f0057d44d, , ruku, ruku, , 
331313, 3191, -1229, -2378, 83, 4005f281-7bca-40df-aab7-064f0057d44d, , ruku, ruku, , 
331357, 3184, -1135, -2334, 83, 4005f281-7bca-40df-aab7-064f0057d44d, , ruku, ruku, , 
331401, 3159, -1194, -2352, 83, 4005f281-7bca-40df-aab7-064f0057d44d, , ruku, ruku, , 
331445, 3180, -1171, -2373, 83, 4005f281-7bca-40df-aab7-064f0057d44d, , ruku, ruku, , 
331489, 3184, -1165, -2384, 83, 4005f281-7bca-40df-aab7-064f0057d44d, , ruku, ruku, , 
331533, 3172, -1083, -2342, 83, 4005f281-7bca-40df-aab7-064f0057d44d, , ruku, ruku, , 
331577, 3159, -1131, -2385, 83, 4005f281-7bca-40df-aab7-064f0057d44d, , ruku, ruku, , 
331621, 3165, -1135, -2365, 83, 4005f281-7bca-40df-aab7-064f0057d44d, , ruku, ruku, , 
331665, 3176, -1151, -2351, 83, 4005f281-7bca-40df-aab7-064f0057d44d, , ruku, ruku, , 
331697, 3172, -1154, -2386, 83, 4005f281-7bca-40df-aab7-064f0057d44d, , ruku, ruku, , 
331729, 3176, -1167, -2348, 83, 4005f281-7bca-40df-aab7-064f0057d44d, , ruku, ruku, , 
331761, 3167, -1156, -2376, 83, 4005f281-7bca-40df-aab7-064f0057d44d, , ruku, ruku, , 
331793, 3145, -1079, -2362, 83, 4005f281-7bca-40df-aab7-064f0057d44d, , ruku, ruku, , 
331825, 3201, -1151, -2372, 83, 4005f281-7bca-40df-aab7-064f0057d44d, , ruku, ruku, , 
331858, 3162, -1158, -2385, 83, 4005f281-7bca-40df-aab7-064f0057d44d, , ruku, ruku, , 
331890, 3148, -1079, -2353, 83, 4005f281-7bca-40df-aab7-064f0057d44d, , ruku, ruku, , 
331922, 3180, -1182, -2362, 83, 4005f281-7bca-40df-aab7-064f0057d44d, , ruku, ruku, , 
331954, 3135, -1194, -2383, 83, 4005f281-7bca-40df-aab7-064f0057d44d, , ruku, ruku, , 
331986, 3134, -1165, -2387, 83, 4005f281-7bca-40df-aab7-064f0057d44d, , ruku, ruku, , 
332019, 3155, -1069, -2396, 83, 4005f281-7bca-40df-aab7-064f0057d44d, , ruku, ruku, , 
332058, 3149, -1204, -2416, 83, 4005f281-7bca-40df-aab7-064f0057d44d, , ruku, ruku, , 
332098, 3144, -1171, -2369, 83, 4005f281-7bca-40df-aab7-064f0057d44d, , ruku, ruku, , 
332137, 3112, -1167, -2406, 83, 4005f281-7bca-40df-aab7-064f0057d44d, , ruku, ruku, , 
332177, 3097, -1177, -2432, 83, 4005f281-7bca-40df-aab7-064f0057d44d, , ruku, ruku, , 
332216, 3125, -1170, -2429, 83, 4005f281-7bca-40df-aab7-064f0057d44d, , ruku, ruku, , 
332256, 3079, -1056, -2458, 83, 4005f281-7bca-40df-aab7-064f0057d44d, , ruku, ruku, , 
332295, 3090, -1084, -2441, 83, 4005f281-7bca-40df-aab7-064f0057d44d, , ruku, ruku, , 
332335, 3081, -1259, -2427, 83, 4005f281-7bca-40df-aab7-064f0057d44d, , ruku, ruku, , 
332374, 3108, -1300, -2470, 83, 4005f281-7bca-40df-aab7-064f0057d44d, , ruku, ruku, , 
