511875, 2886, 516, -2628, 74, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
511918, 3055, 298, -2726, 74, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
511961, 3025, 374, -2551, 74, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
512005, 2958, 436, -2717, 74, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
512048, 3067, 838, -2430, 74, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
512091, 3331, 668, -2411, 74, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
512135, 3213, 1010, -2506, 74, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
512167, 3182, 687, -2786, 74, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
512199, 3141, 763, -2773, 74, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
512232, 3101, 554, -2770, 74, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
512264, 3082, 169, -2739, 74, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
512297, 3084, 464, -2716, 74, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
512329, 2934, 705, -2683, 74, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
512362, 2943, 823, -2701, 74, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
512394, 2905, 663, -2744, 74, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
512427, 3033, 589, -2726, 74, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
512459, 3053, 546, -2667, 74, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
512492, 3092, 528, -2675, 74, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
512531, 3061, 696, -2679, 74, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
512571, 3049, 738, -2673, 74, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
512610, 3015, 798, -2684, 74, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
512650, 2992, 697, -2710, 74, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
512690, 2958, 677, -2700, 74, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
512729, 2955, 724, -2693, 74, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
512769, 2979, 768, -2703, 74, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
512808, 2926, 784, -2672, 74, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
