207352, 3559, -743, -2004, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
207388, 3605, -575, -1926, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
207425, 3642, -515, -2024, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
207462, 3640, -470, -1894, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
207499, 3624, -641, -1873, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
207536, 3624, -677, -1793, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
207572, 3686, -779, -1926, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
207609, 3666, -726, -1822, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
207646, 3644, -706, -1925, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
207683, 3644, -535, -1747, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
207720, 3575, -632, -1780, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
207759, 3647, -578, -1865, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
207798, 3656, -655, -1854, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
207837, 3621, -689, -1770, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
207877, 3666, -649, -1788, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
207916, 3672, -672, -1784, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
207955, 3623, -661, -1807, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
207994, 3609, -625, -1832, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
208034, 3636, -569, -1843, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
208073, 3644, -607, -1787, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
208112, 3687, -596, -1790, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
208152, 3713, -627, -1800, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
208187, 3679, -676, -1805, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
208222, 3661, -641, -1768, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
208257, 3606, -605, -1790, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
