71156, 3050, -557, -2660, 88, 19c3e724-7e82-47e4-80df-78d0a2ee8f20, , ruku, ruku, , 
71198, 2991, -477, -2733, 88, 19c3e724-7e82-47e4-80df-78d0a2ee8f20, , ruku, ruku, , 
71239, 2964, -505, -2696, 88, 19c3e724-7e82-47e4-80df-78d0a2ee8f20, , ruku, ruku, , 
71281, 3032, -554, -2705, 88, 19c3e724-7e82-47e4-80df-78d0a2ee8f20, , ruku, ruku, , 
71323, 3063, -509, -2663, 88, 19c3e724-7e82-47e4-80df-78d0a2ee8f20, , ruku, ruku, , 
71364, 3069, -522, -2665, 88, 19c3e724-7e82-47e4-80df-78d0a2ee8f20, , ruku, ruku, , 
71406, 3078, -531, -2666, 88, 19c3e724-7e82-47e4-80df-78d0a2ee8f20, , ruku, ruku, , 
71447, 3105, -530, -2665, 88, 19c3e724-7e82-47e4-80df-78d0a2ee8f20, , ruku, ruku, , 
71489, 3072, -531, -2669, 88, 19c3e724-7e82-47e4-80df-78d0a2ee8f20, , ruku, ruku, , 
71531, 3084, -563, -2672, 88, 19c3e724-7e82-47e4-80df-78d0a2ee8f20, , ruku, ruku, , 
71566, 3068, -553, -2675, 88, 19c3e724-7e82-47e4-80df-78d0a2ee8f20, , ruku, ruku, , 
71601, 3051, -603, -2694, 88, 19c3e724-7e82-47e4-80df-78d0a2ee8f20, , ruku, ruku, , 
71637, 3046, -634, -2666, 88, 19c3e724-7e82-47e4-80df-78d0a2ee8f20, , ruku, ruku, , 
71672, 3084, -600, -2676, 88, 19c3e724-7e82-47e4-80df-78d0a2ee8f20, , ruku, ruku, , 
71707, 3040, -585, -2665, 88, 19c3e724-7e82-47e4-80df-78d0a2ee8f20, , ruku, ruku, , 
71743, 3041, -556, -2698, 88, 19c3e724-7e82-47e4-80df-78d0a2ee8f20, , ruku, ruku, , 
71778, 3079, -575, -2666, 88, 19c3e724-7e82-47e4-80df-78d0a2ee8f20, , ruku, ruku, , 
71813, 3094, -599, -2642, 88, 19c3e724-7e82-47e4-80df-78d0a2ee8f20, , ruku, ruku, , 
71849, 3069, -584, -2645, 88, 19c3e724-7e82-47e4-80df-78d0a2ee8f20, , ruku, ruku, , 
71884, 3103, -616, -2631, 88, 19c3e724-7e82-47e4-80df-78d0a2ee8f20, , ruku, ruku, , 
71920, 3144, -615, -2633, 88, 19c3e724-7e82-47e4-80df-78d0a2ee8f20, , ruku, ruku, , 
71959, 3089, -611, -2687, 88, 19c3e724-7e82-47e4-80df-78d0a2ee8f20, , ruku, ruku, , 
71998, 3064, -655, -2672, 88, 19c3e724-7e82-47e4-80df-78d0a2ee8f20, , ruku, ruku, , 
72038, 3022, -630, -2675, 88, 19c3e724-7e82-47e4-80df-78d0a2ee8f20, , ruku, ruku, , 
72077, 3056, -669, -2665, 88, 19c3e724-7e82-47e4-80df-78d0a2ee8f20, , ruku, ruku, , 
72117, 3097, -716, -2631, 88, 19c3e724-7e82-47e4-80df-78d0a2ee8f20, , ruku, ruku, , 
72156, 3032, -710, -2659, 88, 19c3e724-7e82-47e4-80df-78d0a2ee8f20, , ruku, ruku, , 
72195, 3033, -685, -2696, 88, 19c3e724-7e82-47e4-80df-78d0a2ee8f20, , ruku, ruku, , 
72235, 3044, -674, -2670, 88, 19c3e724-7e82-47e4-80df-78d0a2ee8f20, , ruku, ruku, , 
72274, 3068, -663, -2669, 88, 19c3e724-7e82-47e4-80df-78d0a2ee8f20, , ruku, ruku, , 
72314, 3046, -701, -2690, 88, 19c3e724-7e82-47e4-80df-78d0a2ee8f20, , ruku, ruku, , 
72354, 3058, -692, -2659, 88, 19c3e724-7e82-47e4-80df-78d0a2ee8f20, , ruku, ruku, , 
72394, 3085, -733, -2667, 88, 19c3e724-7e82-47e4-80df-78d0a2ee8f20, , ruku, ruku, , 
72434, 3058, -705, -2685, 88, 19c3e724-7e82-47e4-80df-78d0a2ee8f20, , ruku, ruku, , 
72474, 3005, -700, -2706, 88, 19c3e724-7e82-47e4-80df-78d0a2ee8f20, , ruku, ruku, , 
72514, 2967, -722, -2711, 88, 19c3e724-7e82-47e4-80df-78d0a2ee8f20, , ruku, ruku, , 
72554, 3022, -711, -2683, 88, 19c3e724-7e82-47e4-80df-78d0a2ee8f20, , ruku, ruku, , 
72594, 3013, -726, -2678, 88, 19c3e724-7e82-47e4-80df-78d0a2ee8f20, , ruku, ruku, , 
72634, 2979, -721, -2721, 88, 19c3e724-7e82-47e4-80df-78d0a2ee8f20, , ruku, ruku, , 
72674, 3009, -706, -2694, 88, 19c3e724-7e82-47e4-80df-78d0a2ee8f20, , ruku, ruku, , 
72714, 3047, -726, -2685, 88, 19c3e724-7e82-47e4-80df-78d0a2ee8f20, , ruku, ruku, , 
72749, 3014, -735, -2674, 88, 19c3e724-7e82-47e4-80df-78d0a2ee8f20, , ruku, ruku, , 
72785, 3042, -727, -2693, 88, 19c3e724-7e82-47e4-80df-78d0a2ee8f20, , ruku, ruku, , 
72820, 3060, -708, -2667, 88, 19c3e724-7e82-47e4-80df-78d0a2ee8f20, , ruku, ruku, , 
72856, 3069, -714, -2671, 88, 19c3e724-7e82-47e4-80df-78d0a2ee8f20, , ruku, ruku, , 
72892, 3025, -704, -2686, 88, 19c3e724-7e82-47e4-80df-78d0a2ee8f20, , ruku, ruku, , 
72927, 3020, -727, -2695, 88, 19c3e724-7e82-47e4-80df-78d0a2ee8f20, , ruku, ruku, , 
72963, 3052, -712, -2678, 88, 19c3e724-7e82-47e4-80df-78d0a2ee8f20, , ruku, ruku, , 
72999, 3014, -711, -2688, 88, 19c3e724-7e82-47e4-80df-78d0a2ee8f20, , ruku, ruku, , 
73034, 3029, -714, -2678, 88, 19c3e724-7e82-47e4-80df-78d0a2ee8f20, , ruku, ruku, , 
73070, 3057, -703, -2696, 88, 19c3e724-7e82-47e4-80df-78d0a2ee8f20, , ruku, ruku, , 
73106, 3043, -691, -2692, 88, 19c3e724-7e82-47e4-80df-78d0a2ee8f20, , ruku, ruku, , 
73147, 3051, -680, -2701, 88, 19c3e724-7e82-47e4-80df-78d0a2ee8f20, , ruku, ruku, , 
73189, 3030, -683, -2686, 88, 19c3e724-7e82-47e4-80df-78d0a2ee8f20, , ruku, ruku, , 
