46530, 3097, -1292, -2403, 74, 66de88c7-9ef5-4bac-ab82-2a80dfb08fd4, , ruku, ruku, , 
46570, 3204, -1384, -2286, 74, 66de88c7-9ef5-4bac-ab82-2a80dfb08fd4, , ruku, ruku, , 
46610, 3180, -1448, -2281, 74, 66de88c7-9ef5-4bac-ab82-2a80dfb08fd4, , ruku, ruku, , 
46650, 3199, -1496, -2364, 74, 66de88c7-9ef5-4bac-ab82-2a80dfb08fd4, , ruku, ruku, , 
46690, 3210, -1382, -2317, 74, 66de88c7-9ef5-4bac-ab82-2a80dfb08fd4, , ruku, ruku, , 
46730, 3229, -1264, -2371, 74, 66de88c7-9ef5-4bac-ab82-2a80dfb08fd4, , ruku, ruku, , 
46770, 3164, -1433, -2350, 74, 66de88c7-9ef5-4bac-ab82-2a80dfb08fd4, , ruku, ruku, , 
46810, 3194, -1290, -2406, 74, 66de88c7-9ef5-4bac-ab82-2a80dfb08fd4, , ruku, ruku, , 
46846, 3110, -1308, -2366, 74, 66de88c7-9ef5-4bac-ab82-2a80dfb08fd4, , ruku, ruku, , 
46883, 3117, -1300, -2356, 74, 66de88c7-9ef5-4bac-ab82-2a80dfb08fd4, , ruku, ruku, , 
46920, 3080, -1210, -2385, 74, 66de88c7-9ef5-4bac-ab82-2a80dfb08fd4, , ruku, ruku, , 
46957, 3101, -1272, -2420, 74, 66de88c7-9ef5-4bac-ab82-2a80dfb08fd4, , ruku, ruku, , 
46994, 3070, -1287, -2327, 74, 66de88c7-9ef5-4bac-ab82-2a80dfb08fd4, , ruku, ruku, , 
47030, 3127, -1238, -2336, 74, 66de88c7-9ef5-4bac-ab82-2a80dfb08fd4, , ruku, ruku, , 
47067, 3203, -1219, -2354, 74, 66de88c7-9ef5-4bac-ab82-2a80dfb08fd4, , ruku, ruku, , 
47104, 3196, -1264, -2353, 74, 66de88c7-9ef5-4bac-ab82-2a80dfb08fd4, , ruku, ruku, , 
47141, 3179, -1288, -2304, 74, 66de88c7-9ef5-4bac-ab82-2a80dfb08fd4, , ruku, ruku, , 
47178, 3172, -1234, -2369, 74, 66de88c7-9ef5-4bac-ab82-2a80dfb08fd4, , ruku, ruku, , 
