116085, 3557, -1005, -1642, 60, 7b16f942-69a7-48fd-ba73-f237848ef816, , ruku, ruku, , 
116124, 3612, -616, -1585, 60, 7b16f942-69a7-48fd-ba73-f237848ef816, , ruku, ruku, , 
116164, 3598, -961, -1683, 60, 7b16f942-69a7-48fd-ba73-f237848ef816, , ruku, ruku, , 
116203, 3659, -938, -1886, 60, 7b16f942-69a7-48fd-ba73-f237848ef816, , ruku, ruku, , 
116243, 3706, -940, -2140, 60, 7b16f942-69a7-48fd-ba73-f237848ef816, , ruku, ruku, , 
116282, 3743, -797, -1882, 60, 7b16f942-69a7-48fd-ba73-f237848ef816, , ruku, ruku, , 
116321, 3623, -789, -1875, 60, 7b16f942-69a7-48fd-ba73-f237848ef816, , ruku, ruku, , 
116361, 3853, -871, -1922, 60, 7b16f942-69a7-48fd-ba73-f237848ef816, , ruku, ruku, , 
116400, 3635, -745, -2104, 60, 7b16f942-69a7-48fd-ba73-f237848ef816, , ruku, ruku, , 
116440, 3592, -919, -1962, 60, 7b16f942-69a7-48fd-ba73-f237848ef816, , ruku, ruku, , 
116480, 3361, -843, -1961, 60, 7b16f942-69a7-48fd-ba73-f237848ef816, , ruku, ruku, , 
116520, 3468, -801, -1954, 60, 7b16f942-69a7-48fd-ba73-f237848ef816, , ruku, ruku, , 
116560, 3467, -766, -2107, 60, 7b16f942-69a7-48fd-ba73-f237848ef816, , ruku, ruku, , 
116601, 3499, -984, -2293, 60, 7b16f942-69a7-48fd-ba73-f237848ef816, , ruku, ruku, , 
116641, 3347, -767, -2082, 60, 7b16f942-69a7-48fd-ba73-f237848ef816, , ruku, ruku, , 
116681, 3526, -858, -2226, 60, 7b16f942-69a7-48fd-ba73-f237848ef816, , ruku, ruku, , 
116722, 3395, -959, -2243, 60, 7b16f942-69a7-48fd-ba73-f237848ef816, , ruku, ruku, , 
116762, 3427, -940, -2287, 60, 7b16f942-69a7-48fd-ba73-f237848ef816, , ruku, ruku, , 
116802, 3327, -963, -2231, 60, 7b16f942-69a7-48fd-ba73-f237848ef816, , ruku, ruku, , 
