125448, 3661, 577, -2280, 97, 4180443e-df0a-4362-869e-37533d4dcf23, , ruku, ruku, , 
125489, 3676, 450, -2118, 97, 4180443e-df0a-4362-869e-37533d4dcf23, , ruku, ruku, , 
125529, 3820, 532, -2256, 97, 4180443e-df0a-4362-869e-37533d4dcf23, , ruku, ruku, , 
125570, 3690, 239, -2170, 97, 4180443e-df0a-4362-869e-37533d4dcf23, , ruku, ruku, , 
125610, 3560, 325, -2240, 97, 4180443e-df0a-4362-869e-37533d4dcf23, , ruku, ruku, , 
125650, 3487, 413, -2295, 97, 4180443e-df0a-4362-869e-37533d4dcf23, , ruku, ruku, , 
125691, 3253, 333, -2378, 97, 4180443e-df0a-4362-869e-37533d4dcf23, , ruku, ruku, , 
125731, 3205, 214, -2311, 97, 4180443e-df0a-4362-869e-37533d4dcf23, , ruku, ruku, , 
125772, 3323, 462, -2423, 97, 4180443e-df0a-4362-869e-37533d4dcf23, , ruku, ruku, , 
125811, 3289, 363, -2292, 97, 4180443e-df0a-4362-869e-37533d4dcf23, , ruku, ruku, , 
125850, 3256, 390, -2261, 97, 4180443e-df0a-4362-869e-37533d4dcf23, , ruku, ruku, , 
125889, 3445, 365, -2189, 97, 4180443e-df0a-4362-869e-37533d4dcf23, , ruku, ruku, , 
125928, 3574, 327, -2094, 97, 4180443e-df0a-4362-869e-37533d4dcf23, , ruku, ruku, , 
125967, 3651, 287, -2174, 97, 4180443e-df0a-4362-869e-37533d4dcf23, , ruku, ruku, , 
126006, 3526, 370, -2208, 97, 4180443e-df0a-4362-869e-37533d4dcf23, , ruku, ruku, , 
126045, 3443, 281, -2217, 97, 4180443e-df0a-4362-869e-37533d4dcf23, , ruku, ruku, , 
126084, 3391, 410, -2322, 97, 4180443e-df0a-4362-869e-37533d4dcf23, , ruku, ruku, , 
126123, 3346, 352, -2278, 97, 4180443e-df0a-4362-869e-37533d4dcf23, , ruku, ruku, , 
126162, 3361, 404, -2263, 97, 4180443e-df0a-4362-869e-37533d4dcf23, , ruku, ruku, , 
126200, 3382, 328, -2288, 97, 4180443e-df0a-4362-869e-37533d4dcf23, , ruku, ruku, , 
126238, 3354, 358, -2322, 97, 4180443e-df0a-4362-869e-37533d4dcf23, , ruku, ruku, , 
126276, 3400, 416, -2257, 97, 4180443e-df0a-4362-869e-37533d4dcf23, , ruku, ruku, , 
126315, 3451, 386, -2266, 97, 4180443e-df0a-4362-869e-37533d4dcf23, , ruku, ruku, , 
126353, 3441, 329, -2303, 97, 4180443e-df0a-4362-869e-37533d4dcf23, , ruku, ruku, , 
126391, 3348, 416, -2243, 97, 4180443e-df0a-4362-869e-37533d4dcf23, , ruku, ruku, , 
126429, 3413, 424, -2271, 97, 4180443e-df0a-4362-869e-37533d4dcf23, , ruku, ruku, , 
126468, 3403, 324, -2264, 97, 4180443e-df0a-4362-869e-37533d4dcf23, , ruku, ruku, , 
126506, 3413, 353, -2294, 97, 4180443e-df0a-4362-869e-37533d4dcf23, , ruku, ruku, , 
126544, 3384, 363, -2299, 97, 4180443e-df0a-4362-869e-37533d4dcf23, , ruku, ruku, , 
126583, 3408, 417, -2261, 97, 4180443e-df0a-4362-869e-37533d4dcf23, , ruku, ruku, , 
126620, 3420, 375, -2278, 97, 4180443e-df0a-4362-869e-37533d4dcf23, , ruku, ruku, , 
126658, 3419, 366, -2256, 97, 4180443e-df0a-4362-869e-37533d4dcf23, , ruku, ruku, , 
126695, 3398, 306, -2275, 97, 4180443e-df0a-4362-869e-37533d4dcf23, , ruku, ruku, , 
126733, 3422, 347, -2276, 97, 4180443e-df0a-4362-869e-37533d4dcf23, , ruku, ruku, , 
126770, 3390, 426, -2242, 97, 4180443e-df0a-4362-869e-37533d4dcf23, , ruku, ruku, , 
126808, 3385, 390, -2272, 97, 4180443e-df0a-4362-869e-37533d4dcf23, , ruku, ruku, , 
126845, 3378, 382, -2264, 97, 4180443e-df0a-4362-869e-37533d4dcf23, , ruku, ruku, , 
126883, 3432, 324, -2222, 97, 4180443e-df0a-4362-869e-37533d4dcf23, , ruku, ruku, , 
126920, 3435, 350, -2267, 97, 4180443e-df0a-4362-869e-37533d4dcf23, , ruku, ruku, , 
126958, 3420, 327, -2236, 97, 4180443e-df0a-4362-869e-37533d4dcf23, , ruku, ruku, , 
126994, 3472, 339, -2206, 97, 4180443e-df0a-4362-869e-37533d4dcf23, , ruku, ruku, , 
127031, 3407, 345, -2260, 97, 4180443e-df0a-4362-869e-37533d4dcf23, , ruku, ruku, , 
127068, 3441, 334, -2233, 97, 4180443e-df0a-4362-869e-37533d4dcf23, , ruku, ruku, , 
127105, 3415, 344, -2228, 97, 4180443e-df0a-4362-869e-37533d4dcf23, , ruku, ruku, , 
127142, 3458, 346, -2194, 97, 4180443e-df0a-4362-869e-37533d4dcf23, , ruku, ruku, , 
127178, 3623, 351, -2017, 97, 4180443e-df0a-4362-869e-37533d4dcf23, , ruku, ruku, , 
