295633, 3229, -377, -2528, 93, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
295674, 3222, -537, -2293, 93, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
295715, 3316, -319, -2283, 93, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
295756, 3439, -454, -2278, 93, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
295797, 3388, -360, -2311, 93, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
295838, 3397, -607, -2430, 93, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
295879, 3523, -548, -2216, 93, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
295920, 3489, -528, -2210, 93, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
295955, 3539, -533, -2226, 93, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
295990, 3418, -464, -2254, 93, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
296025, 3382, -406, -2281, 93, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
296060, 3375, -443, -2322, 93, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
296095, 3309, -402, -2308, 93, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
296130, 3331, -411, -2256, 93, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
296165, 3366, -405, -2401, 93, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
296200, 3371, -440, -2319, 93, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
296235, 3390, -428, -2319, 93, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
296270, 3400, -427, -2281, 93, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
296305, 3389, -461, -2252, 93, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
296345, 3385, -462, -2298, 95, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
296385, 3393, -440, -2263, 95, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
296426, 3403, -460, -2342, 95, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
296466, 3367, -389, -2288, 95, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
296507, 3354, -404, -2368, 95, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
296547, 3346, -414, -2341, 95, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
296587, 3362, -405, -2330, 95, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
296628, 3359, -420, -2319, 95, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
296668, 3350, -420, -2341, 95, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
296709, 3365, -394, -2336, 95, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
296749, 3377, -404, -2315, 95, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
296790, 3391, -410, -2314, 95, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
296830, 3361, -416, -2330, 95, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
296871, 3370, -411, -2339, 95, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
296912, 3363, -399, -2321, 95, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
296952, 3357, -419, -2364, 95, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
296993, 3343, -386, -2314, 95, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
297033, 3377, -434, -2304, 95, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
297074, 3378, -401, -2321, 95, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
297115, 3376, -382, -2287, 95, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
297154, 3366, -405, -2321, 96, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
297193, 3416, -424, -2338, 96, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
297233, 3373, -408, -2317, 96, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
297272, 3356, -451, -2297, 96, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
297312, 3377, -386, -2295, 96, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
297351, 3407, -383, -2310, 96, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
297391, 3359, -436, -2253, 96, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
297430, 3411, -396, -2329, 96, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
297470, 3400, -399, -2306, 96, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
297509, 3394, -436, -2282, 96, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
