300423, 141, 4158, -214, 81, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
300462, 149, 4077, -141, 81, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
300502, 188, 4121, -185, 81, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
300541, 176, 4000, -153, 81, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
300581, 202, 3963, -104, 81, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
300621, 156, 4102, -133, 81, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
300660, 161, 4207, -138, 81, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
300700, 176, 4196, -184, 81, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
300739, 184, 4103, -201, 81, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
300779, 187, 4024, -235, 81, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
300819, 233, 4095, -240, 81, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
300859, 256, 4119, -227, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
300899, 238, 4112, -249, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
300939, 209, 4136, -285, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
300979, 209, 4114, -268, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
301020, 209, 4071, -254, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
301060, 238, 4055, -264, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
301100, 187, 4093, -284, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
301140, 232, 4123, -382, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
301180, 268, 4103, -300, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
301221, 220, 4081, -242, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
301257, 215, 4064, -262, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
301294, 206, 4098, -273, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
301330, 222, 4102, -332, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
301367, 215, 4088, -314, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
301403, 248, 4052, -297, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
301440, 237, 4075, -299, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
301476, 245, 4112, -310, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
301513, 251, 3957, -222, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
301549, 212, 4083, -368, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
301586, 243, 4181, -367, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
301623, 266, 4061, -338, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
301669, 218, 4046, -350, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
301715, 231, 4097, -377, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
301761, 256, 4040, -286, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
301808, 264, 4077, -320, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
301854, 218, 4066, -418, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
301900, 253, 4144, -356, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
301947, 275, 4072, -315, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
301993, 256, 4048, -347, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
