186876, 194, 3818, -1187, 75, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
186916, 176, 3829, -1255, 75, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
186954, 163, 3876, -1277, 75, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
186993, 150, 3865, -1183, 75, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
187032, 123, 3872, -1259, 75, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
187070, 127, 3969, -1261, 75, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
187109, 155, 3950, -1203, 75, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
187148, 186, 3924, -1143, 75, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
187186, 240, 3921, -1177, 75, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
187225, 234, 3920, -1253, 75, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
187264, 202, 3872, -1187, 75, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
187303, 129, 3894, -1222, 75, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
187339, 96, 3912, -1190, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
187376, 69, 3875, -1173, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
187413, 41, 3932, -1136, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
187450, 86, 3938, -1208, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
187487, 73, 3937, -1263, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
187524, 97, 3916, -1198, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
187561, 117, 3891, -1205, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
187598, 120, 3928, -1234, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
187635, 118, 3931, -1220, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
187672, 135, 3922, -1250, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
