240326, -1276, 3751, -1635, 81, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
240368, -1225, 3617, -1707, 81, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
240405, -1267, 3323, -1498, 81, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
240442, -1297, 3440, -1474, 81, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
240479, -1332, 3483, -1457, 81, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
240516, -1347, 3512, -1520, 81, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
240553, -1307, 3606, -1578, 81, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
240590, -1348, 3487, -1507, 81, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
240627, -1300, 3506, -1525, 81, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
240664, -1297, 3611, -1521, 81, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
240701, -1288, 3467, -1537, 81, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
240738, -1306, 3517, -1542, 81, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
240775, -1316, 3565, -1525, 81, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
240817, -1331, 3542, -1550, 79, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
240859, -1364, 3519, -1579, 79, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
240901, -1398, 3473, -1492, 79, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
240944, -1353, 3635, -1690, 79, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
240986, -1317, 3566, -1587, 79, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
241028, -1310, 3535, -1589, 79, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
241071, -1265, 3406, -1640, 79, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
241113, -1313, 3505, -1645, 79, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
241155, -1327, 3577, -1644, 79, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
241198, -1361, 3540, -1641, 79, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
241235, -1319, 3549, -1622, 79, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
241272, -1366, 3477, -1580, 79, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
241309, -1350, 3533, -1635, 79, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
241346, -1355, 3498, -1602, 79, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
241384, -1285, 3471, -1604, 79, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
241421, -1322, 3557, -1634, 79, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
241458, -1315, 3523, -1684, 79, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
241495, -1344, 3509, -1622, 79, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
241532, -1371, 3431, -1571, 79, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
241570, -1341, 3526, -1663, 79, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
241606, -1307, 3542, -1671, 79, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
241643, -1338, 3511, -1627, 79, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
241680, -1323, 3474, -1596, 79, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
241716, -1356, 3491, -1675, 79, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
241753, -1362, 3503, -1664, 79, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
241790, -1338, 3487, -1633, 79, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
241827, -1361, 3515, -1651, 79, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
241863, -1354, 3489, -1637, 79, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
241900, -1343, 3465, -1582, 79, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
241937, -1376, 3515, -1626, 79, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
241974, -1354, 3484, -1635, 79, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
242014, -1364, 3533, -1601, 79, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
242055, -1381, 3483, -1616, 79, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
242096, -1359, 3503, -1608, 79, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
242136, -1357, 3481, -1607, 79, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
242177, -1358, 3493, -1624, 79, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
242218, -1393, 3486, -1619, 79, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
242258, -1369, 3486, -1652, 79, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
242299, -1350, 3504, -1686, 79, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
242340, -1366, 3463, -1578, 79, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
242381, -1337, 3597, -1661, 79, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
242416, -1367, 3495, -1659, 79, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
242451, -1371, 3524, -1635, 79, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
242486, -1301, 3484, -1645, 79, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
242521, -1332, 3476, -1624, 79, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
242556, -1339, 3490, -1632, 79, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
242592, -1354, 3485, -1626, 79, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
242627, -1344, 3509, -1645, 79, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
242662, -1326, 3497, -1654, 79, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
