214242, -642, 3632, -2012, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
214280, -655, 3510, -1890, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
214319, -637, 3527, -1928, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
214357, -553, 3544, -1949, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
214395, -602, 3467, -1870, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
214434, -572, 3522, -2004, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
214477, -610, 3524, -1906, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
214520, -557, 3481, -1979, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
214563, -558, 3555, -1952, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
214606, -644, 3521, -1999, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
214649, -585, 3575, -1996, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
214692, -635, 3565, -2055, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
214735, -607, 3472, -2019, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
214778, -589, 3496, -2087, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
214821, -653, 3573, -1873, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
214864, -470, 3464, -2077, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
214907, -539, 3538, -1965, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
214950, -556, 3577, -2074, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
214993, -558, 3524, -2022, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
215027, -559, 3616, -2079, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
215062, -597, 3617, -2035, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
215096, -644, 3578, -1856, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
215131, -616, 3587, -1879, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
215166, -618, 3577, -1829, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
215200, -576, 3594, -1854, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
215235, -558, 3567, -1862, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
215269, -598, 3620, -1853, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
215304, -584, 3601, -1888, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
215339, -549, 3517, -1888, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
215373, -616, 3656, -1795, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
215408, -506, 3607, -1931, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
215443, -521, 3615, -1839, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
215480, -562, 3637, -1893, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
215517, -610, 3575, -1829, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
215555, -574, 3612, -1819, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
215592, -553, 3592, -1880, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
215630, -529, 3602, -1846, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
215667, -560, 3590, -1835, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
215705, -542, 3636, -1827, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
215742, -577, 3662, -1840, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
215780, -549, 3629, -1826, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
215817, -563, 3583, -1829, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
215855, -550, 3593, -1828, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
215892, -526, 3590, -1841, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
215930, -578, 3627, -1790, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
