29654, 115, 4079, -64, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
29694, 134, 4124, -169, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
29734, 170, 4134, -223, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
29775, 158, 4149, -254, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
29815, 163, 4213, -238, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
29855, 174, 4253, -144, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
29895, 313, 4001, -189, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
29936, 316, 3902, -323, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
29976, 210, 4089, -175, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
30016, 148, 4363, -144, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
30057, 103, 4218, -116, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
30097, 220, 3936, -132, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
30137, 173, 3966, -281, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
30178, 138, 4138, -230, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
30213, 204, 4148, -209, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
30249, 181, 4174, -281, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
30285, 183, 4139, -211, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
30321, 164, 4070, -246, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
30357, 199, 4048, -206, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
30392, 191, 4037, -253, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
30428, 182, 4031, -238, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
30464, 222, 4067, -317, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
30500, 233, 4096, -395, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
30536, 224, 4052, -316, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
30572, 200, 4061, -361, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
30612, 205, 4049, -316, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
30652, 222, 4088, -349, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
30692, 205, 4172, -385, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
30732, 218, 4132, -340, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
30772, 243, 4017, -272, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
30812, 228, 4069, -357, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
30852, 227, 4064, -332, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
30892, 236, 4094, -361, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
30932, 190, 4102, -342, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
30972, 215, 4076, -288, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
31007, 181, 4090, -331, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
31043, 205, 4073, -333, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
31079, 215, 4076, -333, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
31114, 225, 4085, -319, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
31150, 201, 4104, -308, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
31186, 216, 4101, -320, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
31222, 221, 4042, -348, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
31257, 206, 4079, -297, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
31293, 192, 4131, -365, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
31329, 201, 4069, -301, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
31365, 203, 4092, -290, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
31405, 235, 4062, -279, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
31446, 249, 4074, -311, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
31487, 204, 4107, -376, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
31528, 195, 4120, -346, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
31569, 186, 4088, -362, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
31610, 206, 4094, -345, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
31651, 216, 4078, -317, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
31692, 220, 4071, -339, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
