213257, 33, 4298, -495, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
213297, 3, 4111, -521, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
213338, -61, 3977, -531, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
213379, -121, 3996, -603, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
213419, -101, 4028, -559, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
213460, -116, 4115, -564, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
213501, -87, 4034, -540, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
213542, -36, 4047, -514, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
213577, 27, 4198, -553, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
213613, 72, 4136, -545, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
213649, 73, 4023, -639, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
213684, 24, 4016, -689, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
213720, 7, 4149, -726, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
213756, -69, 4162, -710, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
213792, -39, 3920, -553, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
213827, -30, 3907, -541, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
213863, -74, 4121, -570, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
213899, -71, 4131, -629, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
213935, -165, 4048, -724, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
213975, -218, 4024, -681, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
214015, -201, 4043, -641, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
214055, -123, 3947, -620, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
214095, -71, 3942, -633, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
214135, -45, 4022, -647, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
214175, -102, 4077, -641, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
214215, -196, 4152, -607, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
214255, -199, 4167, -561, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
214295, -174, 4138, -655, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
214335, -188, 4054, -751, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
214375, -155, 4040, -769, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
214416, -78, 4368, -1042, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
214457, -119, 4752, -901, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
214498, 8, 4770, -434, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
214539, 544, 3867, -181, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
214580, 897, 2235, -16, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
214621, -113, 3366, 200, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
214662, -120, 4311, -50, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
214703, 26, 4288, -69, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
214744, 49, 4036, -18, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
214779, -18, 4083, -156, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
214814, -43, 4058, -113, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
214850, -34, 4187, -139, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
214885, -87, 4075, -199, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
214921, -18, 4079, -139, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
214956, -3, 4171, -138, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
214992, 28, 4058, -122, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
