19980, -1188, 3729, -1254, , cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
20025, -1161, 3765, -1330, , cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
20070, -1155, 3700, -1256, , cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
20114, -1138, 3688, -1277, , cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
20159, -1161, 3658, -1283, , cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
20204, -1144, 3699, -1249, , cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
20248, -1160, 3703, -1289, , cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
20293, -1140, 3716, -1273, , cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
20338, -1164, 3724, -1250, , cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
20383, -1170, 3733, -1290, , cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
20416, -1169, 3753, -1229, , cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
20449, -1140, 3703, -1219, , cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
20483, -1176, 3699, -1217, , cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
20516, -1155, 3676, -1273, , cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
20549, -1153, 3705, -1178, , cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
20583, -1100, 3737, -1342, , cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
20616, -1137, 3776, -1212, , cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
20649, -1147, 3705, -1230, , cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
20683, -1151, 3735, -1261, , cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
20716, -1142, 3706, -1239, , cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
20750, -1172, 3728, -1271, , cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
20794, -1145, 3744, -1262, , cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
20839, -1134, 3719, -1238, , cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
20884, -1164, 3704, -1253, , cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
20929, -1151, 3727, -1264, , cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
20974, -1137, 3722, -1234, , cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
21018, -1161, 3743, -1243, , cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
21063, -1157, 3762, -1275, , cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
21108, -1131, 3724, -1257, , cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
21153, -1155, 3722, -1253, , cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
21198, -1167, 3739, -1271, , cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
21236, -1136, 3790, -1240, , cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
21275, -1109, 3739, -1234, , cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
21313, -1135, 3703, -1254, , cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
21352, -1103, 3704, -1263, , cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
21390, -1104, 3744, -1267, , cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
21429, -1105, 3753, -1261, , cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
21467, -1076, 3717, -1268, , cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
21506, -1134, 3740, -1275, , cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
21544, -1115, 3695, -1248, , cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
21583, -1165, 3728, -1270, , cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
21619, -1135, 3737, -1245, , cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
21655, -1120, 3676, -1271, , cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
21692, -1110, 3714, -1256, , cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
21728, -1148, 3723, -1309, , cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
21765, -1122, 3757, -1274, , cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
21801, -1088, 3728, -1332, , cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
21838, -1127, 3717, -1267, , cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
21874, -1120, 3729, -1282, , cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
21911, -1124, 3741, -1288, , cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
21947, -1123, 3727, -1278, , cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
21984, -1133, 3715, -1298, , cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
22020, -1095, 3665, -1239, , cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
22056, -1138, 3743, -1290, , cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
22092, -1122, 3728, -1285, , cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
22129, -1145, 3741, -1293, , cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
22165, -1099, 3704, -1272, , cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
22201, -1113, 3730, -1273, , cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
22238, -1129, 3745, -1291, , cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
22274, -1088, 3695, -1267, , cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
22310, -1108, 3674, -1263, , cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
22347, -1112, 3740, -1248, , cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
22386, -1117, 3775, -1253, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
22425, -1082, 3725, -1256, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
22465, -1146, 3705, -1273, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
22504, -1132, 3700, -1273, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
22544, -1147, 3745, -1321, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
22583, -1132, 3723, -1288, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
22623, -1111, 3722, -1252, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
22662, -1142, 3752, -1275, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
22702, -1128, 3740, -1276, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
22741, -1106, 3711, -1308, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
22781, -1132, 3718, -1280, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
22816, -1084, 3720, -1288, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
22852, -1108, 3688, -1275, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
22887, -1113, 3732, -1324, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
22923, -1100, 3741, -1293, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
22958, -1094, 3685, -1314, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
22994, -1100, 3719, -1247, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
23029, -1114, 3730, -1301, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
23065, -1144, 3729, -1303, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
23100, -1122, 3697, -1244, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
23136, -1164, 3793, -1297, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
23181, -1143, 3781, -1253, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
23226, -1140, 3730, -1238, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
23272, -1142, 3751, -1288, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
23317, -1100, 3738, -1285, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
23363, -1111, 3721, -1261, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
23408, -1101, 3717, -1289, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
23453, -1162, 3695, -1235, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
23499, -1114, 3715, -1317, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
23544, -1148, 3785, -1207, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
23590, -1111, 3679, -1291, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
23622, -1167, 3804, -1218, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
23654, -1138, 3705, -1269, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
23686, -1151, 3643, -1182, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
23718, -1165, 3707, -1216, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
23750, -1110, 3719, -1268, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
23782, -1134, 3674, -1208, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
23814, -1127, 3668, -1260, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
23846, -1142, 3652, -1225, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
23878, -1132, 3719, -1287, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
23910, -1118, 3738, -1256, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
23942, -1151, 3743, -1235, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
23981, -1176, 3735, -1224, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
24021, -1142, 3646, -1269, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
24061, -1159, 3725, -1260, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
24100, -1124, 3696, -1300, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
24140, -1177, 3788, -1243, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
24180, -1157, 3724, -1270, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
24219, -1115, 3673, -1235, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
24259, -1149, 3757, -1269, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
24299, -1147, 3786, -1316, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
24339, -1143, 3723, -1226, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
24378, -1168, 3735, -1248, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
24418, -1133, 3750, -1278, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
24458, -1160, 3705, -1246, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
24498, -1149, 3758, -1262, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
24538, -1153, 3701, -1269, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
