20237, -1071, 3746, -1315, , 1de9b0fb-5614-44f6-be92-2c04a818176d, , berdiri, bersedekap, , 
20280, -1070, 3729, -1354, , 1de9b0fb-5614-44f6-be92-2c04a818176d, , berdiri, bersedekap, , 
20324, -1066, 3712, -1388, , 1de9b0fb-5614-44f6-be92-2c04a818176d, , berdiri, bersedekap, , 
20367, -1074, 3686, -1358, , 1de9b0fb-5614-44f6-be92-2c04a818176d, , berdiri, bersedekap, , 
20411, -1117, 3694, -1361, , 1de9b0fb-5614-44f6-be92-2c04a818176d, , berdiri, bersedekap, , 
20455, -1080, 3717, -1437, , 1de9b0fb-5614-44f6-be92-2c04a818176d, , berdiri, bersedekap, , 
20498, -1153, 3732, -1410, , 1de9b0fb-5614-44f6-be92-2c04a818176d, , berdiri, bersedekap, , 
20542, -1111, 3727, -1324, , 1de9b0fb-5614-44f6-be92-2c04a818176d, , berdiri, bersedekap, , 
20585, -1125, 3752, -1440, , 1de9b0fb-5614-44f6-be92-2c04a818176d, , berdiri, bersedekap, , 
20629, -1051, 3742, -1326, , 1de9b0fb-5614-44f6-be92-2c04a818176d, , berdiri, bersedekap, , 
20673, -1055, 3712, -1457, , 1de9b0fb-5614-44f6-be92-2c04a818176d, , berdiri, bersedekap, , 
20706, -1065, 3636, -1401, , 1de9b0fb-5614-44f6-be92-2c04a818176d, , berdiri, bersedekap, , 
20739, -1100, 3693, -1379, , 1de9b0fb-5614-44f6-be92-2c04a818176d, , berdiri, bersedekap, , 
20772, -940, 3657, -1386, , 1de9b0fb-5614-44f6-be92-2c04a818176d, , berdiri, bersedekap, , 
20805, -1070, 3684, -1389, , 1de9b0fb-5614-44f6-be92-2c04a818176d, , berdiri, bersedekap, , 
20838, -1078, 3671, -1383, , 1de9b0fb-5614-44f6-be92-2c04a818176d, , berdiri, bersedekap, , 
20871, -1076, 3621, -1365, , 1de9b0fb-5614-44f6-be92-2c04a818176d, , berdiri, bersedekap, , 
20904, -1064, 3644, -1389, , 1de9b0fb-5614-44f6-be92-2c04a818176d, , berdiri, bersedekap, , 
20937, -1055, 3644, -1413, , 1de9b0fb-5614-44f6-be92-2c04a818176d, , berdiri, bersedekap, , 
20970, -1106, 3709, -1389, , 1de9b0fb-5614-44f6-be92-2c04a818176d, , berdiri, bersedekap, , 
21004, -1099, 3713, -1437, , 1de9b0fb-5614-44f6-be92-2c04a818176d, , berdiri, bersedekap, , 
21040, -1132, 3693, -1401, , 1de9b0fb-5614-44f6-be92-2c04a818176d, , berdiri, bersedekap, , 
21077, -1126, 3705, -1403, , 1de9b0fb-5614-44f6-be92-2c04a818176d, , berdiri, bersedekap, , 
21113, -1078, 3653, -1416, , 1de9b0fb-5614-44f6-be92-2c04a818176d, , berdiri, bersedekap, , 
21150, -1152, 3667, -1365, , 1de9b0fb-5614-44f6-be92-2c04a818176d, , berdiri, bersedekap, , 
21186, -1111, 3655, -1459, , 1de9b0fb-5614-44f6-be92-2c04a818176d, , berdiri, bersedekap, , 
21223, -1104, 3729, -1357, , 1de9b0fb-5614-44f6-be92-2c04a818176d, , berdiri, bersedekap, , 
21259, -1104, 3709, -1408, , 1de9b0fb-5614-44f6-be92-2c04a818176d, , berdiri, bersedekap, , 
21296, -1093, 3675, -1434, , 1de9b0fb-5614-44f6-be92-2c04a818176d, , berdiri, bersedekap, , 
21332, -1111, 3667, -1417, , 1de9b0fb-5614-44f6-be92-2c04a818176d, , berdiri, bersedekap, , 
21369, -1128, 3718, -1378, , 1de9b0fb-5614-44f6-be92-2c04a818176d, , berdiri, bersedekap, , 
21406, -1123, 3673, -1432, , 1de9b0fb-5614-44f6-be92-2c04a818176d, , berdiri, bersedekap, , 
21445, -1128, 3679, -1384, , 1de9b0fb-5614-44f6-be92-2c04a818176d, , berdiri, bersedekap, , 
21484, -1115, 3668, -1409, , 1de9b0fb-5614-44f6-be92-2c04a818176d, , berdiri, bersedekap, , 
21523, -1147, 3655, -1379, , 1de9b0fb-5614-44f6-be92-2c04a818176d, , berdiri, bersedekap, , 
21563, -1120, 3684, -1389, , 1de9b0fb-5614-44f6-be92-2c04a818176d, , berdiri, bersedekap, , 
21602, -1114, 3674, -1400, , 1de9b0fb-5614-44f6-be92-2c04a818176d, , berdiri, bersedekap, , 
21641, -1110, 3684, -1432, , 1de9b0fb-5614-44f6-be92-2c04a818176d, , berdiri, bersedekap, , 
21681, -1143, 3648, -1414, , 1de9b0fb-5614-44f6-be92-2c04a818176d, , berdiri, bersedekap, , 
21720, -1171, 3663, -1372, , 1de9b0fb-5614-44f6-be92-2c04a818176d, , berdiri, bersedekap, , 
21759, -1151, 3630, -1447, , 1de9b0fb-5614-44f6-be92-2c04a818176d, , berdiri, bersedekap, , 
21799, -1126, 3685, -1414, , 1de9b0fb-5614-44f6-be92-2c04a818176d, , berdiri, bersedekap, , 
