148239, -989, 4003, -629, 96, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
148276, -1038, 3927, -631, 96, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
148318, -965, 3976, -612, 96, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
148360, -974, 3879, -625, 96, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
148402, -1007, 3958, -496, 96, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
148444, -880, 3878, -580, 96, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
148486, -911, 3887, -461, 96, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
148528, -886, 3921, -504, 96, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
148570, -998, 3957, -558, 96, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
148612, -1057, 3991, -562, 96, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
148654, -1024, 3991, -593, 96, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
148697, -1036, 3889, -507, 96, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
148734, -1008, 3924, -563, 95, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
148771, -1033, 3890, -565, 95, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
148808, -1033, 3797, -566, 95, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
148845, -1048, 3845, -563, 95, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
148882, -1022, 3930, -615, 95, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
148919, -1035, 3900, -609, 95, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
148956, -1051, 3944, -651, 95, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
148993, -1089, 3856, -540, 95, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
149030, -1048, 4027, -606, 95, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
149067, -1029, 4025, -742, 95, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
149104, -1033, 3970, -613, 95, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
149137, -1013, 3866, -576, 95, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
149171, -1018, 3846, -629, 95, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
149205, -1071, 3805, -595, 95, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
149238, -1087, 3845, -584, 95, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
149272, -1130, 3977, -648, 95, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
149306, -1110, 3916, -570, 95, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
